crop,mode,s,peak_base,peak_shortfall_ratio,trough_surplus_ratio,mean_shortfall_ratio,mean_surplus_ratio
wheat,onesided,0.005,212.66392864101988,1.0297893640022233,0.9909442649274798,1.0179318797003944,0.9848923080625858
wheat,onesided,0.01,212.66392864101988,1.0600749850664661,0.9727977519835281,1.036419026019831,0.9643509987842522
wheat,onesided,0.02,212.66392864101988,1.1524660326652778,0.9425738487792092,1.075708811751352,0.9337896401661973
wheat,onesided,0.05,212.66392864101988,1.4121254936265553,0.8349771059802248,1.2309011768814437,0.8697354786519912
wheat,onesided,0.1,212.66392864101988,2.80467511961193,0.7002583447618227,1.7733620614142847,0.7977935323133185
wheat,onesided,0.2,212.66392864101988,5.642705877147691,0.5886850805782162,3.1685062534807575,0.7236673152044998
wheat,twosided,0.005,212.77097741107963,1.0299762129277814,0.9924413011761694,1.017849597281763,0.9850387605527586
wheat,twosided,0.01,212.77097741107963,1.0604337320093442,0.9745704873760275,1.0362790448080377,0.9645115212458523
wheat,twosided,0.02,212.77097741107963,1.1524893818191635,0.9406311863005974,1.0773324194996858,0.9333331893759756
wheat,twosided,0.05,212.77097741107963,1.4135204160482733,0.8008157763119271,1.2324366848175503,0.861892929830936
wheat,twosided,0.1,212.77097741107963,2.8315189976578217,0.5991681859750215,1.780803738234688,0.7742646303416371
wheat,twosided,0.2,212.77097741107963,5.63986693392664,0.41515982048217936,3.176926005339778,0.6787726589134994
maize,onesided,0.005,115.98791438894712,1.001853697870457,0.9990217990364546,1.00685686466014,0.9936401942159597
maize,onesided,0.01,115.98791438894712,1.0035943820232809,0.9980472445179707,1.0144435450585774,0.9874543095097711
maize,onesided,0.02,115.98791438894712,1.0449203728332153,0.9961089545241713,1.0376612743168556,0.9757029313120644
maize,onesided,0.05,115.98791438894712,1.1360423944248212,0.9903927124336879,1.083121842800879,0.9412785937531969
maize,onesided,0.1,115.98791438894712,1.352947774848618,0.9193696296283275,1.1835813475420351,0.8876551670825363
maize,onesided,0.2,115.98791438894712,2.2415942195291234,0.8470378378368333,1.5624266151553923,0.8353536681482944
maize,twosided,0.005,115.9889089159123,1.001852671868879,0.9990217775189182,1.0068575154980672,0.9936399222100419
maize,twosided,0.01,115.9889089159123,1.0035933399105654,0.9980472016168545,1.0144443210120369,0.9874538722792001
maize,twosided,0.02,115.9889089159123,1.0449198318574242,0.9961088692492781,1.0376614497061472,0.9757024464718977
maize,twosided,0.05,115.9889089159123,1.1360411642942323,0.9903924072719431,1.0831220994200628,0.9412785264715419
maize,twosided,0.1,115.9889089159123,1.3529450818311894,0.9193758383278732,1.183581786313308,0.8876542646989592
maize,twosided,0.2,115.9889089159123,2.24158695331241,0.8458799935539474,1.5624261342528682,0.8346636624700406
rice,onesided,0.005,369.42881235405343,1.0217224336692892,0.9743105267464083,1.0191200009418562,0.9818238390043884
rice,onesided,0.01,369.42881235405343,1.0568835475513727,0.9333354464448281,1.0391606445727075,0.9647617668981194
rice,onesided,0.02,369.42881235405343,1.1324039198423477,0.8729934030925388,1.082638185738735,0.9333601913462917
rice,onesided,0.05,369.42881235405343,1.457277740053051,0.729487651690705,1.2374520999445935,0.8603871658336215
rice,onesided,0.1,369.42881235405343,2.2575314092767744,0.5658676066368274,1.5778072475371954,0.7741640368058418
rice,onesided,0.2,369.42881235405343,3.2482577424143715,0.4160015943696832,2.1539463779526398,0.6574834416771042
rice,twosided,0.005,369.50712257847783,1.0217328187132506,0.9726217070938488,1.0190858052255807,0.9817890919487601
rice,twosided,0.01,369.50712257847783,1.0567715251209806,0.930595339978255,1.0390797876354771,0.9644768588093505
rice,twosided,0.02,369.50712257847783,1.1323647798410716,0.8602851916436227,1.082465168330621,0.9326684361806518
rice,twosided,0.05,369.50712257847783,1.456255912925442,0.703454755980121,1.2369361330031388,0.8578488352901902
rice,twosided,0.1,369.50712257847783,2.25598702242123,0.5422466216752287,1.5767299573858362,0.7667167309363198
rice,twosided,0.2,369.50712257847783,3.2475693340529257,0.38912252403030806,2.1520734040564795,0.6389096726223101
