crop,mode,s,logp_base,logp_shortfall,logp_surplus,resp_shortfall_pct,resp_surplus_pct,flex_shortfall,flex_surplus,asym_ratio,surplus_lowers_price
wheat,onesided,0.005,5.24320902825611,5.267566316543813,5.2194129009521575,2.4656350210048084,-2.3515231951743765,-4.859268839073863,-4.7711136340988896,1.0235820298228875,True
wheat,onesided,0.01,5.24320902825611,5.29212813875984,5.19614038442331,5.0135402380645955,-4.59780923776586,-4.867410524065952,-4.730359676212538,1.0393142126104975,True
wheat,onesided,0.02,5.24320902825611,5.341917739772825,5.150014637107874,10.374474459593985,-8.898361043970981,-4.885915039273796,-4.706162962841543,1.0591700884628128,True
wheat,onesided,0.05,5.24320902825611,5.496133152754438,5.015240920677034,28.77855617520433,-20.385034942965994,-4.930939365823139,-4.672419358693249,1.1094715273301798,True
wheat,onesided,0.1,5.24320902825611,5.774751911650928,4.837650729470174,70.15555862517988,-33.33954575571033,-5.044991286119765,-4.255141471966171,1.3106448197115574,True
wheat,onesided,0.2,5.24320902825611,6.443055870569039,4.656751089706012,231.9608460246321,-44.370577250000466,-5.377017777329439,-3.2166132675845116,2.045921392554283,True
wheat,twosided,0.005,5.242977811637936,5.2671966354584745,5.219269734183622,2.4514481536600963,-2.342924882939823,-4.8316452357126805,-4.753459675842466,1.0215431372370192,True
wheat,twosided,0.01,5.242977811637936,5.291658608549236,5.196063419112774,4.988517065836073,-4.583092190056504,-4.84369852121307,-4.714857547699002,1.0376516521063437,True
wheat,twosided,0.02,5.242977811637936,5.341199369135467,5.150058484108272,10.320718185601185,-8.873298850811151,-4.861801735471082,-4.692272704015885,1.0570627242881598,True
wheat,twosided,0.05,5.242977811637936,5.494739949839527,5.0134182449185625,28.629004163136695,-20.511638138183287,-4.9082855996610775,-4.7050378006966636,1.096718127671668,True
wheat,twosided,0.1,5.242977811637936,5.77279359532708,4.8170130771270125,69.86193664016783,-34.686062500596535,-5.028599000120675,-4.469246993190485,1.2438019882032207,True
wheat,twosided,0.2,5.242977811637936,6.439456577723223,4.551689544697516,230.84465735006287,-49.90696787647284,-5.361924012764851,-3.7915882197169886,1.7307957089750625,True
maize,onesided,0.005,4.65300958776059,4.66707527676622,4.6391478762901945,1.4165076245859165,-1.3766080328335706,-2.8060990812210838,-2.7792673884950307,1.0147151768141818,True
maize,onesided,0.01,4.65300958776059,4.681172843361763,4.625266957031554,2.856358948247628,-2.7361338105944433,-2.8022203448415657,-2.788111384276539,1.0151616793751326,True
maize,onesided,0.02,4.65300958776059,4.709850275644786,4.5970377825759625,5.848716713225199,-5.443420443240954,-2.8135183562702366,-2.8264837966942795,1.0155235782855692,True
maize,onesided,0.05,4.65300958776059,4.80600429097328,4.513731538641227,16.5318806480524,-13.001390404258872,-2.98274277445948,-2.8546337461726354,1.0984839619742977,True
maize,onesided,0.1,4.65300958776059,4.980954198924322,4.410284536051461,38.8112084247106,-21.551282246932125,-3.1125949708596705,-2.546685487399692,1.351095030589283,True
maize,onesided,0.2,4.65300958776059,5.385014396457845,4.292766884542686,107.92449202541445,-30.24929816717643,-3.2804210759669887,-1.9758645634263785,2.0319767816490026,True
maize,twosided,0.005,4.65289872636087,4.667004765565344,4.638881735131376,1.4205998833958455,-1.3919210604472654,-2.8141489290357953,-2.810400915655523,1.0063528594348456,True
maize,twosided,0.01,4.65289872636087,4.6811510392938445,4.62479541416905,2.8655194690341945,-2.7712087583056655,-2.8110814747680246,-2.824359572211801,1.005301892536299,True
maize,twosided,0.02,4.65289872636087,4.7098502970646825,4.596485684661944,5.860454168116203,-5.485133055567881,-2.8190068691647756,-2.8487655125342033,1.0095461791931326,True
maize,twosided,0.05,4.65289872636087,4.806004371871102,4.512281883626723,16.544809679803407,-13.117785655285985,-2.9849056750660243,-2.8820735721616217,1.0888144160632065,True
maize,twosided,0.1,4.65289872636087,4.980954198924322,4.40832369071343,38.82659808261724,-21.696276954463332,-3.113647180969203,-2.566095627450927,1.341328528052844,True
maize,twosided,0.2,4.65289872636087,5.385014396457845,4.2819677236926745,107.94754410340582,-30.9908445607855,-3.2809178924739766,-2.034487908017328,1.9737246680129,True
rice,onesided,0.005,5.817149429244064,5.842835516736723,5.79171195110068,2.6018817775992575,-2.5116671423933368,-5.124363725407593,-5.100203795213076,1.0097733489095784,True
rice,onesided,0.01,5.817149429244064,5.8686924291661,5.766764761412837,5.289445969842932,-4.91364124916357,-5.128485323610267,-5.063617338431009,1.0229897732915367,True
rice,onesided,0.02,5.817149429244064,5.91994449970744,5.718208012699161,10.826426971977,-9.420422888489243,-5.088182927554158,-4.996378261585064,1.038948845216135,True
rice,onesided,0.05,5.817149429244064,6.083370585140617,5.581902642760447,30.50236404481992,-20.962422849898175,-5.19017464320186,-4.821602683415513,1.1316675559140674,True
rice,onesided,0.1,5.817149429244064,6.363892479983927,5.383909643759324,72.76170836910778,-35.15950049432579,-5.189259442460318,-4.54557725496055,1.2619871698258915,True
