crop,omega,is_shipped,is_agrimate_definition,corr,h0708,h1011,obs_h0708,obs_h1011,abs_err_sum,mean_price
wheat,0.0,False,False,0.5618128611605904,1.4297444898942355,1.0291038470951674,1.82,1.16,0.521151663010597,302.6608359017924
wheat,0.3,False,False,0.7043022186827883,1.6825798176219862,1.3831926721740992,1.82,1.16,0.3606128545521132,313.1210405088311
wheat,0.5,False,False,0.7505155406533822,1.9382211322618295,1.551000759845286,1.82,1.16,0.5092218921071154,324.07231103657705
wheat,0.7,True,False,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,0.7346441755595228,342.0601402372471
wheat,0.9,False,False,0.46573505536431825,2.463073977240905,1.3198613666842263,1.82,1.16,0.8029353439251314,379.680087280553
wheat,1.0,False,True,0.18815630666958663,1.414475375163737,1.8439917592382493,1.82,1.16,1.0895163840745126,297.5764447398147
maize,0.0,False,False,0.4226734328856742,1.5701715036642838,1.6664301669369812,1.84,1.44,0.4962586632726975,207.47106600297397
maize,0.3,False,False,0.5522711294588841,1.6681820004028007,1.6748824634307125,1.84,1.44,0.40670046302791185,207.02888330252128
maize,0.5,False,False,0.6197939473023092,1.7410445183457586,1.6954162820377539,1.84,1.44,0.3543717636919954,207.28018941810782
maize,0.8,True,False,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,0.3905939497881725,207.842460889847
maize,0.9,False,False,0.7541690106387123,2.1534282904876445,1.6909938412807486,1.84,1.44,0.5644221317683931,205.66352045723826
maize,1.0,False,True,0.45448050196140716,0.9072773219325332,1.2284218087698129,1.84,1.44,1.144300869297654,98.25854952588233
rice,0.0,False,False,0.24865080638882564,0.8382818872969193,0.4065598575608796,1.84,0.79,1.3851582551422013,487.4451954086127
rice,0.3,False,False,0.33773110267016176,0.9691365610790449,0.578890952341465,1.84,0.79,1.0819724865794902,514.0723499051714
rice,0.5,False,False,0.47863260812490416,1.195930178236717,0.7163057600487289,1.84,0.79,0.7177640617145541,556.8942504282196
rice,0.72,True,False,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,0.14856355791777032,640.8274338835955
rice,0.9,False,False,0.7413296595487197,2.124413790849618,0.9481187187514328,1.84,0.79,0.4425325096010506,722.2027089380214
rice,1.0,False,True,0.7506335470357091,2.326750607735307,0.9998549480409025,1.84,0.79,0.6966055557762094,762.2956408568241
