crop,variant,detail,corr,h0708,h1011,d_corr,d_h0708,d_h1011,max_abs_d
wheat,baseline (phi blend),phi=0.55,0.7198612368258547,2.2673764846341906,1.4472676909253321,0.0,0.0,0.0,0.0
wheat,injection round-trip,must equal baseline,0.7198612368258547,2.2673764846341906,1.4472676909253321,0.0,0.0,0.0,0.0
wheat,static blend,phi=0.00,0.7240241431171899,2.2766036739501656,1.4577151216615414,0.0041629062913352,0.009227189315974993,0.01044743073620924,0.01044743073620924
wheat,static blend,phi=0.25,0.718648369606791,2.269473916846579,1.444074298751702,-0.0012128672190636625,0.0020974322123885614,-0.0031933921736302384,0.0031933921736302384
wheat,static blend,phi=0.75,0.7267327809504553,2.2833284944221184,1.4419451305277444,0.00687154412460067,0.015952009787927768,-0.005322560397587717,0.015952009787927768
wheat,static blend,phi=1.00,0.7211708282757121,2.272860358413522,1.4321817574592894,0.001309591449857428,0.005483873779331461,-0.0150859334660427,0.0150859334660427
wheat,Agrimate w_n equivalent,phi=0.754,0.7267585457021609,2.2833833678901514,1.4419867512649778,0.006897308876306241,0.01600688325596078,-0.005280939660354367,0.01600688325596078
wheat,adaptive EWMA (backward),theta=0.05,0.7323131266836309,2.2839136036806162,1.4568346861947306,0.012451889857776233,0.01653711904642563,0.009566995269398415,0.01653711904642563
wheat,adaptive EWMA (backward),theta=0.15,0.7356969514092858,2.295251792268982,1.451524530076438,0.015835714583431137,0.02787530763479129,0.004256839151105751,0.02787530763479129
wheat,adaptive EWMA (backward),theta=0.35,0.7337590871323176,2.2909135590461176,1.4538345548073504,0.013897850306462955,0.023537074411926984,0.006566863882018215,0.023537074411926984
wheat,adaptive EWMA (backward),theta=1.00,0.729610607664739,2.2832232883563788,1.4422848727332067,0.009749370838884275,0.015846803722188163,-0.004982818192125427,0.015846803722188163
wheat,climatology belief,H_exp = H_seas,0.7240241431171899,2.2766036739501656,1.4577151216615414,0.0041629062913352,0.009227189315974993,0.01044743073620924,0.01044743073620924
maize,baseline (phi blend),phi=0.5,0.7115343015231028,1.9716551959162116,1.698938753871961,0.0,0.0,0.0,0.0
maize,injection round-trip,must equal baseline,0.7115343015231028,1.9716551959162116,1.698938753871961,0.0,0.0,0.0,0.0
maize,static blend,phi=0.00,0.7813865896555319,2.2753058655345066,1.625627954241324,0.06985228813242905,0.303650669618295,-0.07331079963063702,0.303650669618295
maize,static blend,phi=0.25,0.7927206133900639,2.237039538776824,1.6293130600666994,0.08118631186696113,0.2653843428606122,-0.06962569380526151,0.2653843428606122
maize,static blend,phi=0.75,0.7692764199278775,2.213767626602065,1.6348938523653591,0.05774211840477472,0.24211243068585353,-0.0640449015066018,0.24211243068585353
maize,static blend,phi=1.00,0.7648541782637341,2.2247452503791068,1.5956045707357005,0.05331987674063132,0.2530900544628951,-0.10333418313626042,0.2530900544628951
maize,Agrimate w_n equivalent,phi=0.484,0.7738036029025066,2.241281284160876,1.614075743090608,0.062269301379403785,0.2696260882446644,-0.08486301078135283,0.2696260882446644
maize,adaptive EWMA (backward),theta=0.05,0.7536632011602301,2.073845997846633,1.7014443288936076,0.04212889963712729,0.10219080193042118,0.002505575021646722,0.10219080193042118
maize,adaptive EWMA (backward),theta=0.15,0.8127563829231634,2.377080841162407,1.659537393340097,0.10122208140006062,0.4054256452461955,-0.03940136053186394,0.4054256452461955
maize,adaptive EWMA (backward),theta=0.35,0.297050822872913,2.2120782534313266,1.8868458691669836,-0.4144834786501898,0.24042305751511495,0.1879071152950227,0.4144834786501898
maize,adaptive EWMA (backward),theta=1.00,0.6530175623472365,1.9296296627435863,1.78415450876358,-0.058516739175866306,-0.04202553317262536,0.08521575489161903,0.08521575489161903
maize,climatology belief,H_exp = H_seas,0.7813865896555319,2.2753058655345066,1.625627954241324,0.06985228813242905,0.303650669618295,-0.07331079963063702,0.303650669618295
rice,baseline (phi blend),phi=0.55,0.6777409747204022,1.7218949303223503,0.8204584882401206,0.0,0.0,0.0,0.0
rice,injection round-trip,must equal baseline,0.6777409747204022,1.7218949303223503,0.8204584882401206,0.0,0.0,0.0,0.0
rice,static blend,phi=0.00,0.6777655685314068,1.7272805095288242,0.8200327360065492,2.4593811004613997e-05,0.005385579206473867,-0.0004257522335713304,0.005385579206473867
rice,static blend,phi=0.25,0.6778270974211806,1.7238260295357037,0.8200581169244546,8.612270077845707e-05,0.0019310992133534377,-0.0004003713156659483,0.0019310992133534377
rice,static blend,phi=0.75,0.6775641608521702,1.7194663191112611,0.8204750585950458,-0.0001768138682319842,-0.002428611211089171,1.6570354925193875e-05,0.002428611211089171
rice,static blend,phi=1.00,0.6773216090162648,1.7163488694771534,0.8204901308840465,-0.0004193657041373644,-0.005546060845196932,3.1642643925966496e-05,0.005546060845196932
rice,Agrimate w_n equivalent,phi=0.804,0.6775087559888747,1.7188250723044447,0.8204787894700111,-0.00023221873152745598,-0.0030698580179056023,2.0301229890495875e-05,0.0030698580179056023
rice,adaptive EWMA (backward),theta=0.05,0.6772457756315987,1.7266611643404737,0.8206686043750527,-0.0004951990888034663,0.004766234018123372,0.00021011613493215897,0.004766234018123372
rice,adaptive EWMA (backward),theta=0.15,0.6767277949246919,1.7250574039441506,0.8213942387940644,-0.0010131797957102506,0.0031624736218003324,0.0009357505539437927,0.0031624736218003324
rice,adaptive EWMA (backward),theta=0.35,0.6765559215278386,1.7232543269112623,0.8214001506757751,-0.0011850531925635677,0.001359396588912043,0.0009416624356545222,0.001359396588912043
rice,adaptive EWMA (backward),theta=1.00,0.676546438242384,1.7195289531437232,0.821250215684844,-0.0011945364780181489,-0.0023659771786270767,0.0007917274447234446,0.0023659771786270767
rice,climatology belief,H_exp = H_seas,0.6777655685314068,1.7272805095288242,0.8200327360065492,2.4593811004613997e-05,0.005385579206473867,-0.0004257522335713304,0.005385579206473867
