arm,variant,crop,n_freed,corr,h0708,h1011,d_corr,d_h0708,d_h1011,material,asserts,assert_msg
pooling,R0 current,wheat,0,0.7198612368258547,2.2673764846341906,1.4472676909253321,0.0,0.0,0.0,False,all:P,
pooling,R0 current,maize,0,0.7115343015231028,1.9716551959162116,1.698938753871961,0.0,0.0,0.0,False,all:P,
pooling,R0 current,rice,0,0.6777409747204022,1.7218949303223503,0.8204584882401206,0.0,0.0,0.0,False,all:P,
pooling,"R1 pool kappa_b, phi",wheat,2,0.7198612368258547,2.2673764846341906,1.4472676909253321,0.0,0.0,0.0,False,twin:P tau_up:P spring:P cut:P,
pooling,"R1 pool kappa_b, phi",maize,2,0.7131082975022905,1.9674220347031972,1.7379223858920498,0.0015739959791877256,-0.004233161213014425,0.03898363202008892,False,twin:P tau_up:P spring:P cut:P,
pooling,"R1 pool kappa_b, phi",rice,2,0.6823982483075752,1.7051580521313288,0.8230818747903828,0.00465727358717305,-0.016736878191021543,0.0026233865502621745,False,twin:P tau_up:P spring:P cut:P,
pooling,R2 + eta = 1 (unit elastic),wheat,4,0.7198612368258547,2.2673764846341906,1.4472676909253321,0.0,0.0,0.0,False,twin:P tau_up:P spring:P cut:P,
pooling,R2 + eta = 1 (unit elastic),maize,4,0.5655998170632658,1.8615311571181696,1.8202767930852883,-0.14593448445983703,-0.110124038798042,0.12133803921332742,True,twin:P tau_up:P spring:P cut:P,
pooling,R2 + eta = 1 (unit elastic),rice,4,0.6806798295077995,1.6915074040530997,0.8222111613665165,0.0029388547873973048,-0.030387526269250564,0.0017526731263959316,False,twin:P tau_up:P spring:P cut:P,
pooling,R3 + omega = 0.75 shared,wheat,6,0.6890516164744874,2.35313910847565,1.3941092714108687,-0.03080962035136725,0.08576262384145927,-0.05315841951446343,False,twin:P tau_up:P spring:P cut:P,
pooling,R3 + omega = 0.75 shared,maize,6,0.4797484299897731,1.8007670738425758,1.801679382002946,-0.23178587153332975,-0.1708881220736358,0.10274062813098506,True,twin:P tau_up:P spring:P cut:P,
pooling,R3 + omega = 0.75 shared,rice,6,0.6955663492949903,1.756320453445479,0.8361110842167472,0.017825374574588104,0.03442552312312874,0.015652595976626604,False,twin:P tau_up:P spring:P cut:P,
pooling,R4 + sigma_max = 0.22 shared,wheat,8,0.6768021333817291,2.2747524804776766,1.3967749767296525,-0.04305910344412556,0.007375995843486027,-0.05049271419567969,False,twin:P tau_up:P spring:P cut:P,
pooling,R4 + sigma_max = 0.22 shared,maize,8,0.5084837826581138,1.80310672383957,1.6968415970126034,-0.20305051886498904,-0.1685484720766417,-0.0020971568593575185,True,twin:P tau_up:P spring:P cut:P,
pooling,R4 + sigma_max = 0.22 shared,rice,8,0.6955663492949903,1.756320453445479,0.8361110842167472,0.017825374574588104,0.03442552312312874,0.015652595976626604,False,twin:P tau_up:P spring:P cut:P,
pooling,R5 + sigma_stu = 0.18 shared,wheat,10,0.6989949699607084,2.341651571751833,1.4257575164550977,-0.020866266865146255,0.07427508711764252,-0.0215101744702344,False,twin:P tau_up:P spring:P cut:P,
pooling,R5 + sigma_stu = 0.18 shared,maize,10,0.6946056439749452,1.9035572050197112,1.714013300091989,-0.016928657548157644,-0.06809799089650048,0.015074546220028129,False,twin:P tau_up:P spring:P cut:P,
pooling,R5 + sigma_stu = 0.18 shared,rice,10,0.6955663492949903,1.756320453445479,0.8361110842167472,0.017825374574588104,0.03442552312312874,0.015652595976626604,False,twin:P tau_up:P spring:P cut:P,
pooling,R6 + epsilon = -0.20 shared,wheat,12,0.6835405022408386,2.1917864638402955,1.425169715334475,-0.03632073458501606,-0.0755900207938951,-0.022097975590857244,False,twin:P tau_up:P spring:P cut:P,
pooling,R6 + epsilon = -0.20 shared,maize,12,0.7455387654693545,2.018748973603625,1.7493607516044347,0.03400446394625167,0.047093777687413185,0.0504219977324738,False,twin:P tau_up:P spring:P cut:P,
pooling,R6 + epsilon = -0.20 shared,rice,12,0.6955663492949903,1.756320453445479,0.8361110842167472,0.017825374574588104,0.03442552312312874,0.015652595976626604,False,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda = 1 (import demand jumps to target),wheat,1,0.7451072947395074,2.0861933129093377,1.728073414028769,0.025246057913652753,-0.18118317172485288,0.2808057231034369,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda = 1 (import demand jumps to target),maize,1,0.5466961679111781,1.6256515665512048,1.5248113366908027,-0.16483813361192468,-0.34600362936500684,-0.1741274171811582,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda = 1 (import demand jumps to target),rice,1,0.6545445720595694,1.7920779554386737,0.8168652865325309,-0.023196402660832782,0.07018302511632335,-0.0035932017075896994,False,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda_W = 1 (stock hard-clipped at capacity),wheat,1,0.49468288921888565,2.0606720352524395,1.0374466896355143,-0.22517834760696903,-0.20670444938175114,-0.4098210012898178,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda_W = 1 (stock hard-clipped at capacity),maize,1,0.2835388580433246,2.0892595441404285,1.5884082461700202,-0.4279954434797782,0.11760434822421684,-0.11053050770194073,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda_W = 1 (stock hard-clipped at capacity),rice,1,0.7077732695723272,1.9495705194849444,0.7689215602528283,0.030032294851925045,0.22767558916259412,-0.05153692798729226,True,twin:P tau_up:P spring:P cut:P,
hard_bound,rho = 0 (no price smoothing),wheat,1,0.7728473667947315,2.495933378776729,1.6733772805755167,0.05298612996887686,0.22855689414253844,0.22610958965018457,True,twin:P tau_up:P spring:P cut:P,
hard_bound,rho = 0 (no price smoothing),maize,1,0.5208634589427803,2.215935105329853,1.8123871721754508,-0.19067084258032252,0.2442799094136412,0.11344841830348984,True,twin:P tau_up:P spring:P cut:P,
hard_bound,rho = 0 (no price smoothing),rice,1,0.5698980905512585,1.5370635680963896,0.5917515360135132,-0.10784288416914367,-0.18483136222596075,-0.22870695222660742,True,twin:P tau_up:P spring:P cut:P,
hard_bound,all three hard bounds together,wheat,1,0.6327108416324285,2.103623994808735,1.2484497742075769,-0.08715039519342616,-0.16375248982545543,-0.19881791671775528,True,twin:P tau_up:P spring:P cut:P,
hard_bound,all three hard bounds together,maize,1,0.21850492052952242,1.3492792370303344,1.3968225984287537,-0.4930293809935804,-0.6223759588858773,-0.30211615544320725,True,twin:P tau_up:P spring:P cut:P,
hard_bound,all three hard bounds together,rice,1,0.5971749124390826,2.0099615652567477,0.6719213313246634,-0.08056606228131957,0.28806663493439744,-0.1485371569154572,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda = 0 (no stock rebuilding),wheat,1,0.6420386879813637,2.1293572158089282,1.4925308171018843,-0.07782254884449102,-0.1380192688252624,0.04526312617655215,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda = 0 (no stock rebuilding),maize,1,0.5583814193862524,1.5988078600772575,1.5884239746751694,-0.1531528821368504,-0.37284733583895413,-0.11051477919679153,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda = 0 (no stock rebuilding),rice,1,0.6768288342573217,1.4943219148666325,0.7982855735558453,-0.0009121404630805241,-0.22757301545571784,-0.02217291468427529,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda_W = 0 (no capacity limit at all),wheat,1,0.7718264324436476,2.6269500119277494,1.272837834657148,0.05196519561779289,0.35957352729355874,-0.17442985626818408,True,twin:P tau_up:P spring:P cut:F,cut: wheat: Russia export ratio=0.875 > 0.85
hard_bound,lambda_W = 0 (no capacity limit at all),maize,1,0.6934080539670138,2.0426334679310045,1.160222319200365,-0.018126247556089048,0.0709782720147929,-0.538716434671596,True,twin:P tau_up:P spring:P cut:P,
hard_bound,lambda_W = 0 (no capacity limit at all),rice,1,0.7471051386308465,2.659538150012241,0.9644838345956799,0.06936416391044431,0.9376432196898905,0.1440253463555593,True,twin:P tau_up:P spring:P cut:F,cut: rice: Vietnam offer ratio=0.815 > 0.7
