h,param,norm
0.1,elast,0.9094463111472567
0.1,stu_target,1.6300750256155903
0.1,max_stu,1.4249362545149997
0.1,rebuild_lambda,0.8638297489213445
0.1,warehouse_lambda,1.4013788707601154
0.1,inv_eta,2.2137263062575214
0.1,smooth,2.3516236296667326
0.1,trade_w,4.517799684530213
0.1,unmet_kappa,0.38235103650356833
0.1,block_kappa,0.7322390676685374
0.1,ask_alpha,2.182261306388347
0.1,ask_target_fill,2.233396141790155
0.1,ask_comp_elast,0.0
0.1,ask_beta,0.4583430835135448
0.1,ask_rival,2.2108487903270206
0.1,foresight_phi,2.0004328241706433
0.1,harvest_pulse_frac,1.6175649251524644
0.1,residual_subst,0.3767320171620617
0.2,elast,1.3675664594262742
0.2,stu_target,2.361982456089166
0.2,max_stu,2.3071692915199002
0.2,rebuild_lambda,1.3901004040692644
0.2,warehouse_lambda,2.2461985699630818
0.2,inv_eta,4.861939764661146
0.2,smooth,4.69583255472427
0.2,trade_w,7.786816964782106
0.2,unmet_kappa,0.7765597192685504
0.2,block_kappa,1.4497629616551766
0.2,ask_alpha,4.129132089212137
0.2,ask_target_fill,4.15235584713218
0.2,ask_comp_elast,1.134912907874289e-14
0.2,ask_beta,0.8894681975957356
0.2,ask_rival,4.428644326880065
0.2,foresight_phi,0.6187992344519293
0.2,harvest_pulse_frac,3.100850291994935
0.2,residual_subst,0.8391153412184189
