h,a,b,abs_cos,norm_a,norm_b,both_active,sign
0.1,elast,stu_target,0.11280692395318283,0.9094463111472567,1.6300750256155903,True,-1
0.1,elast,max_stu,0.47448004643169656,0.9094463111472567,1.4249362545149997,True,1
0.1,elast,rebuild_lambda,0.606801515757114,0.9094463111472567,0.8638297489213445,True,-1
0.1,elast,warehouse_lambda,0.44383374229631195,0.9094463111472567,1.4013788707601154,True,-1
0.1,elast,inv_eta,0.24650631648540813,0.9094463111472567,2.2137263062575214,True,-1
0.1,elast,smooth,0.8195108699450102,0.9094463111472567,2.3516236296667326,True,1
0.1,elast,trade_w,0.24855146021408733,0.9094463111472567,4.517799684530213,True,1
0.1,elast,unmet_kappa,0.2631172607685256,0.9094463111472567,0.38235103650356833,True,-1
0.1,elast,block_kappa,0.32877470007067766,0.9094463111472567,0.7322390676685374,True,-1
0.1,elast,ask_alpha,0.12774569730753654,0.9094463111472567,2.182261306388347,True,-1
0.1,elast,ask_target_fill,0.07733796571543107,0.9094463111472567,2.233396141790155,True,-1
0.1,elast,ask_comp_elast,0.0,0.9094463111472567,0.0,False,1
0.1,elast,ask_beta,0.4379683073114316,0.9094463111472567,0.4583430835135448,True,1
0.1,elast,ask_rival,0.291555194922364,0.9094463111472567,2.2108487903270206,True,-1
0.1,elast,foresight_phi,0.07970880025161428,0.9094463111472567,2.0004328241706433,True,1
0.1,elast,harvest_pulse_frac,0.05159970863769427,0.9094463111472567,1.6175649251524644,True,-1
0.1,elast,residual_subst,0.37299480781777483,0.9094463111472567,0.3767320171620617,True,1
0.1,stu_target,max_stu,0.5351636993899076,1.6300750256155903,1.4249362545149997,True,-1
0.1,stu_target,rebuild_lambda,0.362880190616918,1.6300750256155903,0.8638297489213445,True,1
0.1,stu_target,warehouse_lambda,0.46426618061589897,1.6300750256155903,1.4013788707601154,True,1
0.1,stu_target,inv_eta,0.21809413272546546,1.6300750256155903,2.2137263062575214,True,1
0.1,stu_target,smooth,0.16323999703079545,1.6300750256155903,2.3516236296667326,True,-1
0.1,stu_target,trade_w,0.38881378381397697,1.6300750256155903,4.517799684530213,True,-1
0.1,stu_target,unmet_kappa,0.029342282706180774,1.6300750256155903,0.38235103650356833,True,1
0.1,stu_target,block_kappa,0.2690449336071988,1.6300750256155903,0.7322390676685374,True,-1
0.1,stu_target,ask_alpha,0.21418941109765896,1.6300750256155903,2.182261306388347,True,1
0.1,stu_target,ask_target_fill,0.14494794858881443,1.6300750256155903,2.233396141790155,True,1
0.1,stu_target,ask_comp_elast,0.0,1.6300750256155903,0.0,False,1
0.1,stu_target,ask_beta,0.33651590922553254,1.6300750256155903,0.4583430835135448,True,-1
0.1,stu_target,ask_rival,0.26378957694325306,1.6300750256155903,2.2108487903270206,True,-1
0.1,stu_target,foresight_phi,0.15680937981036705,1.6300750256155903,2.0004328241706433,True,-1
0.1,stu_target,harvest_pulse_frac,0.27679853007200456,1.6300750256155903,1.6175649251524644,True,-1
0.1,stu_target,residual_subst,0.7223363778225887,1.6300750256155903,0.3767320171620617,True,1
0.1,max_stu,rebuild_lambda,0.7150785292655111,1.4249362545149997,0.8638297489213445,True,-1
0.1,max_stu,warehouse_lambda,0.9798884807548522,1.4249362545149997,1.4013788707601154,True,-1
