region,production,consumption,exports,ending_stocks,model_H_annual
Argentina,13.866666666666667,5.6000000000000005,7.700333333333333,1.9829999999999999,13.866666666666667
Australia,18.941000000000003,6.3999999999999995,12.353666666666667,3.970666666666667,18.941
Brazil,4.910333333333333,10.666666666666666,0.7783333333333333,2.1773333333333333,4.910333333333333
Canada,25.219666666666665,7.314333333333334,18.011333333333337,6.251333333333334,25.21966666666666
China,112.72966666666667,107.11133333333333,1.547,46.645999999999994,112.72966666666669
EU-27,137.49166666666667,123.29266666666668,20.037,16.456333333333333,137.4916666666667
India,78.352,75.16433333333333,0.043333333333333335,11.783333333333333,78.352
Kazakhstan,15.351666666666668,7.6000000000000005,7.440333333333332,4.3996666666666675,15.35166666666667
Pakistan,22.762333333333334,22.733333333333334,1.5333333333333334,3.251,22.762333333333334
Russia,58.30100000000001,38.827333333333335,16.389666666666667,9.978333333333333,58.301
Turkey,16.916666666666668,16.933333333333334,2.7423333333333333,1.9613333333333334,16.916666666666668
USA,61.43366666666666,31.327333333333332,28.643,17.58066666666667,61.43366666666667
Ukraine,20.22966666666667,12.166666666666666,7.87,2.513,20.22966666666667
Central America,3.976333333333333,9.265666666666666,1.308,0.9250000000000002,3.976333333333333
Rest of Central Asia,8.730666666666666,11.39,0.26966666666666667,2.409666666666667,8.730666666666664
Eastern Africa,3.3143333333333334,6.555,0.036333333333333336,0.5526666666666666,3.3143333333333334
Rest of Eastern Asia,1.4126666666666665,10.69,0.399,2.4356666666666666,1.4126666666666663
Rest of Europe,6.44,7.385666666666666,0.7939999999999999,2.260666666666667,6.44
Middle Africa,0.022000000000000002,1.8236666666666668,0.0,0.035666666666666666,0.022000000000000002
Northern Africa,16.115,39.551,0.4023333333333334,9.764000000000001,16.115
Rest of Oceania,0.36366666666666675,0.9393333333333334,0.020666666666666667,0.2456666666666667,0.36366666666666675
Rest of South America,4.336666666666667,8.68,1.7026666666666666,2.3080000000000003,4.336666666666668
Rest of Southern Asia,18.14,26.947666666666667,0.25866666666666666,4.967666666666667,18.139999999999997
Southeast Asia,0.156,12.06,0.6676666666666667,3.0423333333333336,0.6623076096719959
Southern Africa,2.0036666666666667,3.050333333333333,0.3463333333333334,0.682,2.0036666666666667
Western Africa,0.10000000000000002,5.1193333333333335,0.46466666666666673,0.24233333333333337,0.4637930443818029
Rest of Western Asia,9.550666666666666,24.3,0.637,8.513666666666667,9.550666666666668
