,model_usd,pink_usd
2006-01,14.72188361321396,185.92291666666668
2006-02,24.566893372749732,199.9338541666667
2006-03,46.988919522848434,193.92916666666667
2006-04,122.39698273736852,200.48984375000003
2006-05,140.67301752022846,214.834375
2006-06,177.5860178611072,217.0583333333333
2006-07,135.31984208491644,225.06458333333336
2006-08,21.006905137518807,211.16484375
2006-09,22.73563632349854,217.94791666666669
2006-10,18.257855074826928,235.85078125
2006-11,31.945661119104173,233.18203125
2006-12,27.946155443017684,227.17734375000003
2007-01,37.890904216079036,205.4746865203761
2007-02,65.50808863646681,209.56112852664572
2007-03,142.6173051248303,208.61810344827583
2007-04,217.84729240795718,207.77985893416923
2007-05,284.82604805737964,205.05556426332285
2007-06,384.62370060686555,233.66065830721
2007-07,163.29774252519303,249.7968652037617
2007-08,10.079312058012443,272.1151253918495
2007-09,2.867168429443936,342.1085423197492
2007-10,3.7816840484669108,351.11967084639497
2007-11,8.260180206392556,337.183855799373
2007-12,7.7814414483483025,386.2211598746081
2008-01,11.21979188502895,360.5796625766871
2008-02,20.69160238351668,413.3972392638037
2008-03,51.42939658512828,427.6959202453988
2008-04,99.57269745820209,352.31171779141107
2008-05,140.95464552163605,319.82355828220864
2008-06,150.6923071612884,339.08300613496937
2008-07,64.23607125496603,319.2399386503067
2008-08,10.480138414212544,320.30990797546013
2008-09,6.4406061264881345,287.5299386503068
2008-10,7.959038416348815,230.91883435582824
2008-11,13.74694483075285,220.6082208588957
2008-12,15.792574630434672,214.0911349693252
2009-01,21.082138016205988,247.8488621151272
2009-02,32.370369068302885,232.9219544846051
2009-03,52.338707782638565,239.4524765729585
2009-04,80.34310883797959,242.0439535921464
2009-05,126.09973428379493,271.06849620705043
2009-06,169.17211168091774,265.98920124944226
2009-07,111.10608951863541,233.12927264614012
2009-08,49.70877357193372,218.09870593485053
2009-09,30.829207214831,198.09250334672024
2009-10,31.474161544454876,206.07425256581885
2009-11,47.406428294631674,218.7206604194556
2009-12,54.59016162102054,213.84868362338244
2010-01,67.48386695549839,201.2
2010-02,103.95521140024863,194.0
2010-03,173.06996807817572,191.1
2010-04,250.46330987112137,192.9
2010-05,342.8587192672029,181.6
2010-06,416.7190575172228,157.7
2010-07,187.1956299770399,195.8
2010-08,56.436328727359495,246.2
2010-09,31.045177852004556,271.7
2010-10,37.84551376969975,270.2
2010-11,52.384613080807604,274.1
2010-12,55.15453224780134,306.5
2011-01,72.10708464747128,294.07423332279484
2011-02,116.0182738453926,313.43306987037624
2011-03,239.3018444491617,285.16016440088526
2011-04,299.61431534188415,302.6281378438192
2011-05,428.63577773492176,319.9160290863105
2011-06,461.4200475879291,293.8941511223522
2011-07,204.5882850854489,273.6349035725577
2011-08,21.167985396079303,294.5244388239014
2011-09,12.021620033436765,284.4398355991148
2011-10,12.6699824029359,260.2187796395827
2011-11,14.474898931006074,253.015491621878
2011-12,17.44445330607754,242.2105595953209
