year,production,consumption,exports,ending_stocks,S_producer,S_consumer,stock_to_use,price_index_mean
2003,662.0377673207206,552.0914013923801,174.64030434498395,267.94028613066575,24.120030881722776,243.820255248943,0.48531870892196044,0.9934018981884852
2004,662.0377673207206,672.7944494451117,164.3404454082957,256.3667897206458,20.687875839338556,235.67891388130724,0.381047718113734,0.6456779481978975
2005,672.8136801689504,681.4768406376668,240.47787254067396,247.15472114867762,38.25149456464481,208.9032265840328,0.36267515843592235,0.5640279504678
2006,632.0989573861608,684.2991999364423,191.74424691227603,201.22820045201223,24.114982350164336,177.1132181018479,0.29406464375627256,0.3814322189060739
2007,634.494842600534,637.4048375378271,173.34448901423497,196.46628148413353,27.949097230092175,168.51718425404135,0.30822841295501485,0.47709527242154365
2008,700.0950922324615,643.9203279936467,187.13758139339748,247.10835106176847,59.26706295687208,187.8412881048964,0.3837560957761946,0.5944088701674243
2009,689.6581287473942,662.2660173082181,156.25553951111962,276.07154185881524,57.14375144149115,218.92779041732408,0.4168589881463475,0.5098833940624968
2010,636.6171726424362,675.1065961253048,192.21063368155788,241.5346835577778,32.88489825864835,208.64978529912946,0.3577726613012491,0.5897804899889874
2011,675.3227869640091,639.0082839388579,175.8343256636678,272.88182136148833,38.0240860285355,234.85773533295284,0.42703956774932583,0.5584396550112473
