scenario,region,field,corr,rmse,mean_host,mean_author
undisturbed,Ukraine,production,,1.1266666666666758,20.229666666666677,19.103000000000005
undisturbed,Ukraine,consumption,-0.030820101160700036,3.2018363985587537,9.338280403197718,12.172368749999999
undisturbed,Ukraine,exports,0.016082954617907614,4.833798067926133,11.442117619000747,6.944872466666667
undisturbed,Ukraine,S_producer,0.32189411410835755,7.81985951363983,0.03822022247947479,7.857629366666667
undisturbed,Ukraine,S_consumer,-0.007400899091700992,1.7166370622949152,0.6639032436430953,2.086655416666667
undisturbed,Eastern Africa,production,,2.762966366666667,0.3314333333333333,3.0943997000000003
undisturbed,Eastern Africa,consumption,0.6643151799859681,0.8027094768400178,6.670531911750217,5.998895916666668
undisturbed,Eastern Africa,exports,0.6500416407296765,0.5949565573107841,0.013827199642526856,0.6083114833333333
undisturbed,Eastern Africa,S_producer,,1.5571592567641928,0.0,1.5571304000000001
undisturbed,Eastern Africa,S_consumer,-0.3905119335105665,2.296031820642963,2.7575037699999645,0.6222921166666666
harvest,Ukraine,production,0.9975463398966705,1.7152411269916703,20.213125885990348,18.530118716666667
harvest,Ukraine,consumption,-0.08273057639311755,4.524132202634876,9.818328173247936,11.092447516666667
harvest,Ukraine,exports,-0.6768381222474532,4.815636509491309,9.838347619417062,7.517838950000001
harvest,Ukraine,S_producer,0.908692982732595,3.9974292020675897,4.3470569484100166,7.9468031166666675
harvest,Ukraine,S_consumer,-0.48785363307613916,1.9803731118587875,1.9888706535450063,2.17439825
harvest,Eastern Africa,production,0.6579531635796019,2.616394466450398,0.3250258566228135,2.9372763
harvest,Eastern Africa,consumption,-0.3362809330960659,1.2124715510361013,5.94771887982247,5.895726000000001
harvest,Eastern Africa,exports,-0.07771728803220034,0.9082833798443178,0.015269167179731584,0.8315808333333333
harvest,Eastern Africa,S_producer,0.5169181269316439,1.303277783557333,1.3611424214905385e-07,1.29036025
harvest,Eastern Africa,S_consumer,-0.08790106864858237,2.299520912696475,2.4647677497974505,0.6163644
harvest_amis,Ukraine,production,0.9975463398966705,1.7152411269916703,20.213125885990348,18.530118716666667
harvest_amis,Ukraine,consumption,-0.23331786971668292,3.637937480938453,10.030688641357314,11.0775849
harvest_amis,Ukraine,exports,0.42343802449205437,3.9039615569640933,9.293149887344203,7.672966900000001
harvest_amis,Ukraine,S_producer,0.9046500906890486,3.265553850691503,4.808793104233696,7.559632583333332
harvest_amis,Ukraine,S_consumer,0.5037937051106153,1.766187093757394,2.2631857969726297,2.1955146666666665
harvest_amis,Eastern Africa,production,0.6579531635796019,2.616394466450398,0.3250258566228135,2.9372763
harvest_amis,Eastern Africa,consumption,-0.1422842773719712,1.1678379552785036,5.651930389526904,5.798626733333333
harvest_amis,Eastern Africa,exports,-0.27999029912390155,1.0745081350507006,0.021767630919487847,0.9516608
harvest_amis,Eastern Africa,S_producer,0.6889662425230482,1.1913952150869977,1.3611424214901806e-07,1.16582725
harvest_amis,Eastern Africa,S_consumer,-0.30152761251490384,1.6946551565871615,1.8644678480297454,0.6094397833333333
