,undisturbed
2003-01,213.5463324652778
2003-02,33240.02481888104
2003-03,562607.8480945388
2003-04,1621371.4857412893
2003-05,15473.068746646459
2003-06,1168.9829044270812
2003-07,12.282047280603422
2003-08,0.2687387327779689
2003-09,1.8117465650743485
2003-10,50.52696638279596
2003-11,248.1127438971171
2003-12,250.62398090170734
2004-01,245.20175692194175
2004-02,264.36324144105055
2004-03,338.49907219917316
2004-04,316.2821947267556
2004-05,1007.9233211227912
2004-06,1545.9106235407162
2004-07,18.470667189069808
2004-08,1.158063432118757
2004-09,2.783975401514955
2004-10,47.06829193950734
2004-11,196.92361256294794
2004-12,220.17198762696222
2005-01,221.6948953633186
2005-02,221.1531025122904
2005-03,281.86477368164424
2005-04,578.3451077498337
2005-05,1175.5180556214268
2005-06,3326.002200351986
2005-07,17.994907095921697
2005-08,2.0296795764687667
2005-09,4.254965665962888
2005-10,50.64010764940526
2005-11,205.73488599893858
2005-12,210.43392484163041
2006-01,205.80403634645256
2006-02,259.9147357373806
2006-03,253.14288804819853
2006-04,455.8438177471372
2006-05,1217.8305492084855
2006-06,2640.912416540489
2006-07,12.19088417216496
2006-08,0.29698216902744723
2006-09,1.0452184566070655
2006-10,41.33124314425832
2006-11,176.8115253946179
2006-12,212.76929334036208
2007-01,205.5014329279682
2007-02,273.07234215911285
2007-03,322.505917927734
2007-04,327.8643449436539
2007-05,975.4539040866034
2007-06,1396.600117223585
2007-07,11.369940856854496
2007-08,0.9652062768403498
2007-09,1.7273885333930088
2007-10,43.20755545734214
2007-11,219.22833809039884
2007-12,210.25701404844017
2008-01,165.40374434342507
2008-02,202.9842484774327
2008-03,292.3092970112967
2008-04,372.8378335576292
2008-05,911.6465022060894
2008-06,1697.9891165863487
2008-07,16.016434084710642
2008-08,1.366602481125256
2008-09,2.0729487659218018
2008-10,57.58317067702478
2008-11,204.68851045196556
2008-12,210.77272438573712
2009-01,157.74225441690038
2009-02,213.96220869748035
2009-03,271.35205939005584
2009-04,426.0565760384456
2009-05,794.268509819221
2009-06,1636.01226565197
2009-07,11.744695069324752
2009-08,0.7488017722065481
2009-09,1.367871906348113
2009-10,38.79100927373323
2009-11,219.52083338756762
2009-12,210.17486239416897
2010-01,172.22564722376154
2010-02,235.41545697459645
2010-03,275.1789273072982
2010-04,364.3223900854509
2010-05,915.0993437832076
2010-06,1278.3644844457044
2010-07,17.10336838991347
2010-08,0.7310602895471092
2010-09,2.182351239075941
2010-10,40.44570793455646
2010-11,193.71011573844646
2010-12,212.27089147010554
2011-01,200.9293180130353
2011-02,203.55249836776483
2011-03,272.43448240018796
2011-04,406.3244932757002
2011-05,1076.5877843962776
2011-06,1474.5781656581787
2011-07,25.75850576399182
2011-08,1.5422810121631017
2011-09,2.864313607352423
2011-10,58.58965539254341
2011-11,267.7966554326456
2011-12,238.80582936409672
