scenario,corr_vs_pink,corr_year_demeaned_vs_pink,moy_corr_vs_pink,moy_corr_vs_author,moy_maxmin_host,moy_maxmin_pink,moy_maxmin_author,moy_peak_month_host,moy_trough_month_host,moy_peak_month_pink,moy_peak_month_author,hike_2008_host,hike_2008_pink,hike_2008_author,mean_2006_host_usd,mean_2006_pink_usd,mean_2006_author_index,level_vs_pink,crisis_peak_host,crisis_peak_pink,crisis_peak_author,sep2007_host_usd,sep2007_pink_usd
undisturbed,-0.11609160744203653,-0.14164145720923357,-0.6144397926561866,0.944263034884513,26.91734870847987,1.0713787369398622,1.3238507386593894,6,9,9,5,4.874456322666515,1.8757409820048916,1.1247896650519895,45.82460455024471,213.5463324652778,1.1133597341514312,0.214588581415678,2007-05,2008-03,2008-05,8.547314855412054,342.1085423197492
harvest,-0.02431917175364542,-0.1018166407527525,-0.6398413997719414,0.8999831042049454,13.82396782780698,1.0713787369398622,1.4033605407983514,6,10,9,5,3.8490052887868957,1.8757409820048916,1.4399607997109936,81.45345143148509,213.5463324652778,1.1827591458759465,0.381432218906074,2008-06,2008-03,2008-04,20.442273171025185,342.1085423197492
harvest_amis,0.014382093037808739,-0.06502301219964232,-0.6548952996509063,0.8970037239490901,16.800936696919237,1.0713787369398622,1.4527741403367536,6,9,9,5,3.7079551369618406,1.8757409820048916,1.6176574953231886,81.45345143148509,213.5463324652778,1.1827591458759465,0.381432218906074,2008-06,2008-03,2008-05,14.325068058080042,342.1085423197492
