,undisturbed
2003-01,213.5463324652778
2003-02,180899.9083130958
2003-03,1738638.6097485228
2003-04,1738638.6097485228
2003-05,873062.7511846283
2003-06,380.37614188487134
2003-07,8.408050555684678
2003-08,0.48273643841575953
2003-09,1.1824136993388474
2003-10,32.116533355242545
2003-11,200.3199736386547
2003-12,256.75747071581964
2004-01,217.97880068212228
2004-02,139.34039545230934
2004-03,730.6742112205527
2004-04,1913.8951640258526
2004-05,1601.3856889181552
2004-06,793.2634970894715
2004-07,3.6087504719673085
2004-08,0.41148011693950093
2004-09,5.352128892849215
2004-10,43.56256849577288
2004-11,169.5608584812817
2004-12,130.23805341423966
2005-01,128.52589608824078
2005-02,431.585704737591
2005-03,1027.8941926386751
2005-04,1588.0995963175446
2005-05,1353.3940720430987
2005-06,685.1262500860726
2005-07,3.957071789875614
2005-08,0.44232997743499736
2005-09,4.964162580998273
2005-10,42.943414253196835
2005-11,254.03164987427817
2005-12,113.44939608759492
2006-01,98.34364461947737
2006-02,93.60645314850277
2006-03,483.77615345321726
2006-04,933.2540395081414
2006-05,1051.4393218564967
2006-06,561.4175861807441
2006-07,3.989622634906814
2006-08,0.6435367321476161
2006-09,3.8000331829745098
2006-10,67.95364426839693
2006-11,231.512009560104
2006-12,129.339384186129
2007-01,95.89794343779018
2007-02,69.77227766589549
2007-03,1140.5655068038384
2007-04,1772.4767040727586
2007-05,1240.8101569560395
2007-06,918.1262402151262
2007-07,4.107947969349762
2007-08,0.41345042525034137
2007-09,2.9256809041838383
2007-10,47.32410559104657
2007-11,271.2638872301977
2007-12,125.26554228980226
2008-01,86.1298836920357
2008-02,255.27309719699662
2008-03,783.8865050007198
2008-04,1020.5777303263919
2008-05,1147.0021995903087
2008-06,782.7977734796107
2008-07,3.8235718105682017
2008-08,0.48209160107298726
2008-09,3.079777297995919
2008-10,65.62832831384311
2008-11,222.29938872158414
2008-12,112.71754788509756
2009-01,72.94627094776466
2009-02,234.64533092126663
2009-03,974.5932746381212
2009-04,1415.2430190474126
2009-05,981.5422160277114
2009-06,563.2819479011109
2009-07,3.9204544048891448
2009-08,0.5104106344538619
2009-09,3.422643889875004
2009-10,42.99622879428287
2009-11,252.07377002166663
2009-12,139.36322556081151
2010-01,116.22710421559034
2010-02,139.28042939077108
2010-03,109.18915699924123
2010-04,917.3017361204376
2010-05,878.9834723275355
2010-06,508.14633382325337
2010-07,4.462392693365649
2010-08,0.3324780099253879
2010-09,4.227291071167745
2010-10,48.74062643913379
2010-11,167.853451472362
2010-12,77.12269084909965
2011-01,56.802074110870926
2011-02,191.66752111064744
2011-03,395.3302169224429
2011-04,728.3445607122371
2011-05,733.5731628664442
2011-06,481.2430516229319
2011-07,4.127763317256543
2011-08,0.47745655321069036
2011-09,2.490880864580119
2011-10,39.11086239790066
2011-11,207.4399981137168
2011-12,129.72449809116688
