scenario,label,corr,rmse_usd,hike_2008_model,hike_2008_obs,mean_2006_model,mean_2006_obs,pidx_min,pidx_max,failed,fallback,unconverged,floor_binds,plan_residual,runtime_s
undisturbed,"Undisturbed (repeating harvest, no AMIS)",-0.0648769566561444,213.26819618426464,4.78422641037796,1.8757409820048916,43.137105189279026,213.5463324652778,0.014474721333507199,3.1681353932617684,0,0,1583,0,0.0,14.108100096998896
harvest,Harvest anomalies only,-0.15958494855052022,205.70876797997894,4.526184162349021,1.8757409820048916,65.34548081753324,213.5463324652778,0.010512297262081263,3.1681353932617684,0,0,1628,0,0.0,19.504677922001065
harvest_amis,Harvest anomalies + AMIS restrictions (E.4),-0.08194795075594698,197.61619971440416,4.54344179089933,1.8757409820048916,65.34548081753324,213.5463324652778,0.011340150749274813,3.1681353932617684,0,0,1743,0,0.0,19.778150766998806
