region,n_psd_members,psd_members,H_mean,H_sum,H_mean_over_sum,C_mean,C_sum,C_mean_over_sum,S_mean,S_sum,S_mean_over_sum,host_H,host_C_after_Tstar,host_S_usda,stock_source,construction,alpha_i,p_sto_annual,xmin_share
USA,1,United States,61.43366666666666,61.43366666666666,1.0,31.327333333333332,31.327333333333332,1.0,17.58066666666667,17.58066666666667,1.0,61.43366666666667,35.9643145446586,17.580666666666673,USDA PSD ending_stocks,single_psd_row,3.2,0.1,0.2
EU-27,1,European Union,137.49166666666667,137.49166666666667,1.0,123.29266666666668,123.29266666666668,1.0,16.456333333333333,16.456333333333333,1.0,137.4916666666667,124.30910211002941,16.456333333333333,USDA PSD ending_stocks,single_psd_row,3.2,0.1,0.2
China,2,China|Hong Kong,56.36483333333334,112.72966666666667,0.5,53.555666666666674,107.11133333333332,0.5000000000000001,23.322999999999997,46.645999999999994,0.5,56.364833333333344,57.299648753841296,23.322999999999997,USDA PSD ending_stocks,groupby_mean_of_members,3.2,0.1,0.2
Eastern Africa,10,Eritrea|Ethiopia|Kenya|Madagascar|Mauritius|Mozambique|Somalia|Tanzania|Zambia|Zimbabwe,0.3314333333333333,3.3143333333333334,0.09999999999999999,0.6555000000000001,6.555,0.10000000000000002,0.05526666666666667,0.5526666666666666,0.10000000000000002,0.3314333333333333,3.608706006326746,0.055266666666666665,USDA PSD ending_stocks,groupby_mean_of_members,3.2,0.1,0.2
