,Argentina,Australia,Brazil,Canada,China,EU-27,India,Kazakhstan,Pakistan,Russia,Turkey,USA,Ukraine,Central America,Rest of Central Asia,Eastern Africa,Rest of Eastern Asia,Rest of Europe,Middle Africa,Northern Africa,Rest of Oceania,Rest of South America,Rest of Southern Asia,Southeast Asia,Southern Africa,Western Africa,Rest of Western Asia
Argentina,6.1669235780261245,0.0,4.69582722714162,0.0,0.0,0.0019761017435298667,0.11118248018226924,0.0,0.0,0.0,0.0,0.0029834383288754904,0.0,0.08396125287957097,0.0,0.3504186242016704,0.0,0.004907243664400887,0.14516534358634517,0.14752130225156615,0.0,1.2668058751720863,0.0608642077078403,0.11976694193627063,0.32566663086889885,0.17831469143346118,0.2043817275421371
Australia,0.0,6.5901925857274755,0.0,0.0,0.3345108301927427,0.2328933762251823,0.9999019283892385,0.0,0.057292626459947524,0.0,0.0,0.00288756570947643,0.0,0.0,0.0,0.022928876201586942,2.32254159643238,0.00957342737328398,0.0,0.873613874998628,0.829929263241655,0.0,0.31043657467051383,4.8365994412662365,0.0,0.037957787634153535,1.479740245477502
Brazil,0.007126022508092062,0.0,4.135990329318382,0.0,0.0,0.17324967318366036,0.037776180365453486,0.0,0.0,0.0,0.0,0.008226478544785167,0.0,0.006774456449908288,0.0,0.012072397807440205,0.0022486311892041797,0.0,0.0,0.11111455210901189,0.0,0.025577655807871844,0.0,0.32426133429221166,0.021756209703445002,0.022459032894016736,0.021700379159850642
Canada,0.0,0.0,0.20547807721628605,7.2091987793190135,0.07899238566962809,1.4101808970851402,0.7353456838497193,0.0,0.0,0.0,0.0,2.6478401903372166,0.0,1.3169441068589194,0.0,0.12703801821928093,1.53519112787233,0.494570247249775,0.04885946567343872,1.6505186023242682,0.01497705322095316,2.045916420198494,1.5963341924057257,2.4557705469745916,0.2957214340664294,0.35009172259798094,1.000697715527472
China,0.0,0.007837970657273182,0.0,0.003408972255770859,111.18645444958432,0.00357555077729327,0.0,0.0,0.0,0.0026151827348504146,0.0,0.011477047274931746,0.0,0.0,0.002361844484959059,0.0,0.6245902401769333,0.00205044898060211,0.0,0.0,0.0,0.0,0.02578480627119647,0.8462545759031067,0.0,0.002729865111868853,0.010525712453574157
EU-27,0.0032759712628178633,0.050667896654883304,0.02155976539904704,0.07375178964404552,0.043091325466302094,117.45565887409282,0.7201303816154855,0.0027546845700812225,0.0,0.1346385488312136,0.21450947307472035,0.3627794218259557,0.01445195471176639,0.5317777563502246,0.0,0.7539807569603091,0.15730278862263308,3.4524220429753036,0.8210585322234141,8.574147935714203,0.032106805656980354,0.08610477209943496,0.11876627603894206,0.148034741891225,0.34291786124068346,2.0953138648482574,1.2804624448959325
India,0.0,0.0,0.0,0.0,0.0,0.0,78.3163883033018,0.0,0.0,0.0,0.0,0.005288507669812361,0.0,0.0,0.0,0.0,0.0,0.004997825927475204,0.0,0.0,0.0,0.0,0.012076005102745093,0.0023166087770503173,0.0,0.0028165114841041125,0.008116237737010657
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.5017156725085682,0.22073710892316453,7.9115764287337615,0.023129347323330798,1.0528433402217081,0.6400710574110832,0.0,0.019005855653610335,0.0,2.1829031735608186,0.04680980974396897,0.07164893829622697,0.28808692115797524,0.0,0.7213927397009193,0.0,0.0,0.36614633741768343,0.008871994115097597,0.0,0.0,1.2967279418987512
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.07632824647620569,0.0,21.2332831653207,0.0,0.0,0.002177851609047296,0.0,0.0,0.0,0.00498127034839473,0.0,0.0,0.0,0.0,0.0,0.0,1.2099178900459653,0.14818027217503973,0.0,0.0,0.08746463735798304
Russia,0.0,0.0,0.0,0.0,0.0,1.4127572292178954,1.9624768214333013,0.07413294687509184,0.2988433051866013,41.913463255183686,0.7922429873597986,0.0,0.23563503420162976,0.0,0.09312867525230872,0.6975894557151435,0.17566248541187815,0.33347393766533234,0.005519078108554611,5.209790267002557,0.0,0.0,1.1257575279326457,0.0726912913126801,0.0,0.0532036453019667,3.8446320568389356
Turkey,0.0,0.0018777263120426076,0.0,0.0023690090693806527,0.003604914378758284,0.21732833039999622,0.004628897509919191,0.0,0.0,0.005288352693723169,14.177612173338009,0.008699101507568412,0.0,0.03536672467405149,0.0036111031272117703,0.24572088453699767,0.015118223851316292,0.06274228418684064,0.025188830214785622,0.382633557495467,0.0,0.0,0.06804610085284818,0.1901797403734058,0.009564165714258612,0.17090897096955404,1.2861775754605342
USA,0.0,0.008795041294480648,0.21429949963901915,0.4090860543680228,1.162528475247103,1.168863604978153,0.0,0.0,0.07551172499400327,0.0,0.023262586475706122,32.7930825088355,0.0,5.073408670729583,0.003836939497523457,0.573044549195044,4.465825633358988,0.0780312829858083,0.09282745064810935,3.5097745080792793,0.01243680207108254,2.4184210526410137,0.37864260201638544,3.0528167278556237,0.34963801086127794,2.716949938518968,2.8525830023759933
Ukraine,0.0,0.0,0.0,0.0,0.0,1.571876359968635,0.4253946911091393,0.07298295023895379,0.0,0.12131920342750266,0.002087703371910351,0.043511207483301034,12.359994376636797,0.010568215601560472,0.01514844721156896,0.29357605361112094,0.11489803689471999,1.5180344768738088,0.0,1.23704896909831,0.0,0.15573409740309602,0.5446365609665081,0.20730820686666637,0.05913953065940355,0.07780699531500646,1.3986005839286615
Central America,0.0,0.0,0.0,0.0,0.0,0.3168766767214546,0.0,0.0,0.0,0.0,0.0,0.49202763593605436,0.0,2.6709324249899318,0.0,0.0,0.02131463997073287,0.0,0.0,0.3296738934682422,0.0,0.14550806224691704,0.0,0.0,0.0,0.0,0.0
Rest of Central Asia,0.0,0.0,0.0,0.0,0.00571572452813084,0.0,0.0,0.06521163255130635,0.0,0.0040114472431749286,0.0,0.0,0.0,0.0,8.462830679827542,0.0,0.1906685288134147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002228653703096379
Eastern Africa,0.0,0.0,0.0,0.0,0.0,0.002145702162510607,0.0,0.0,0.0,0.0025778164492201226,0.0,0.0,0.0,0.0,0.0,3.2804706968752013,0.0,0.0,0.029139117846401413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rest of Eastern Asia,0.0,0.002728074946680012,0.0,0.0032490031818819577,0.2484708805943254,0.0027332269703875403,0.0,0.0,0.0,0.0025581992727106745,0.0,0.029787842420347505,0.0,0.0,0.0,0.0,1.0173372311310687,0.0,0.0,0.0,0.0,0.0,0.0,0.10364774660292482,0.0,0.0,0.0021544615463398855
Rest of Europe,0.0,0.0,0.0,0.0,0.0,0.7621765915484117,0.0,0.0,0.0,0.0,0.0,0.005689661982159851,0.004830992127564632,0.0036894773365939095,0.0,0.0,0.0,5.655479087187916,0.0,0.0025733711843831586,0.0,0.0,0.0,0.0,0.0,0.0,0.005560818632971385
Middle Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Africa,0.0,0.0,0.0,0.0,0.0,0.0064057518982706925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219739244341938,0.0,0.0074560732922427896,0.0,0.020084077013045876,0.015206499886987442,15.715200730156145,0.0,0.0,0.0,0.0,0.0,0.28450175610433803,0.044171187214775996
Rest of Oceania,0.0,0.016230638797271088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34743602786939565,0.0,0.0,0.0,0.0,0.0,0.0
Rest of South America,0.006844744813992236,0.0,1.4126921105431478,0.0,0.0,0.010384213262157369,0.0,0.0,0.0,0.0,0.0,0.060700350811956724,0.0,0.1546529934366444,0.0,0.0482379407254632,0.0,0.0035665780033638473,0.0,0.0,0.0,2.6395877350699415,0.0,0.0,0.0,0.0,0.0
Rest of Southern Asia,0.0,0.003550740659569942,0.0,0.01628541952917283,0.0,0.053487868634857834,0.005789251075385775,0.0,0.0,0.0,0.0,0.06990654030260413,0.0,0.0,0.0,0.0,0.0,0.08411682448695937,0.0,0.0,0.0,0.0,17.88249034680029,0.001852141970061993,0.0,0.0,0.022520866541100533
Southeast Asia,0.0,0.037928166434131404,0.0,0.023954263398036333,0.10494904813408046,0.0441600341320421,0.007801895469224207,0.0,0.0,0.0,0.0,0.12186254782196557,0.0,0.0,0.0,0.008870102513518868,0.18044004119328988,0.02103587521372639,0.0,0.0,0.019680115341807348,0.0,0.02116270112603595,0.0,0.005282847539915072,0.004156470894597112,0.06102350045962517
Southern Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28295577447409614,0.0,0.021306722361408962,0.035534886857290206,0.0,0.0,0.0,0.0,0.0,1.6638692829738715,0.0,0.0
Western Africa,0.0,0.0,0.0,0.0,0.0,0.1340239364073442,0.0,0.0,0.0,0.0,0.004386038010191835,0.003928312517575085,0.0,0.0,0.0,0.0,0.0,0.015230427357461784,0.2688593496018601,0.021930190050959177,0.0,0.0,0.015434790436410776,0.0,0.0,0.0,0.0
Rest of Western Asia,0.0,0.004551160512872461,0.0,0.0,0.0,0.19263715826829195,0.0,0.0,0.0,0.0,0.013153969511420742,0.006543253859385125,0.0,0.0,0.0,0.07263521731661318,0.00873075644632674,0.0,0.0,0.3156997050057149,0.0,0.0,0.00276653475787151,0.005571499078386926,0.0027667584228926517,0.0037996307339644747,8.921811022752927
