scenario,field,corr,rmse,mean_host,mean_author
undisturbed,production,,89.10135886319836,542.2487409368015,631.3500998
undisturbed,consumption,-0.1531787043177055,96.88982824389966,538.8037222723287,631.6940449
undisturbed,exports,0.5859466848534471,87.83491106524389,210.11259273041878,123.04012708333335
undisturbed,ending_stocks,-0.8589621956132285,124.25786018472661,200.8760914158032,322.93453765
harvest,production,0.9856607985138802,82.97066265889494,541.5437132422148,624.3279302000001
harvest,consumption,0.2235192509085665,97.69419885952543,531.382148082229,623.1863035333332
harvest,exports,0.05517217363437597,83.52532246034141,193.33610090150862,124.78054323333333
harvest,ending_stocks,0.7398330261440541,73.0483016310301,245.64063941054147,314.84790096666666
harvest_amis,production,0.9856607985138802,82.97066265889494,541.5437132422148,624.3279302000001
harvest_amis,consumption,0.5170299857402435,94.12664785558364,531.6403920710837,620.2246733833334
harvest_amis,exports,-0.19701457930221883,64.30405430319418,183.19888330725152,132.07770538333332
harvest_amis,ending_stocks,0.8226667420761896,80.24164198513792,248.08554728658888,325.35939761666674
