,undisturbed
2003-01,10251.13721013791
2003-02,212155.4793253083
2003-03,213546.33246527775
2003-04,22279.05034770139
2003-05,990.3394143059847
2003-06,558.0001341479784
2003-07,246.3797053491236
2003-08,143.78779385911912
2003-09,73.93473479025454
2003-10,53.05318550652175
2003-11,13.445012923365407
2003-12,36.27300329888658
2004-01,362.16961314043095
2004-02,277.7537910450487
2004-03,162.35114687041514
2004-04,340.39654577921976
2004-05,1019.2282210935956
2004-06,226.23562723118425
2004-07,257.3324439558608
2004-08,130.18891021651677
2004-09,96.24318049457597
2004-10,60.94610295005334
2004-11,153.44456646212825
2004-12,100.75371910607304
2005-01,133.7496001402408
2005-02,142.83116933294318
2005-03,139.09232609266311
2005-04,345.80771493317104
2005-05,328.6949449644261
2005-06,184.7165333837001
2005-07,166.38184966342843
2005-08,136.36102991741237
2005-09,141.08940559871976
2005-10,121.54956803560654
2005-11,177.91719895868053
2005-12,205.6228142120704
2006-01,86.60606604639052
2006-02,121.24870164441302
2006-03,125.2915364678526
2006-04,171.67824246461976
2006-05,210.93869110272732
2006-06,383.0059974658194
2006-07,170.61812880919214
2006-08,176.90985488105312
2006-09,185.60667298778228
2006-10,121.62929033650876
2006-11,62.23710297442516
2006-12,100.49040794730696
2007-01,262.8958683040529
2007-02,107.908102413786
2007-03,109.75205072602242
2007-04,241.29520966754956
2007-05,138.38369991012033
2007-06,343.81466223549336
2007-07,209.83125435538875
2007-08,212.82917912828665
2007-09,171.07290173126265
2007-10,146.94269755193145
2007-11,170.7788835166368
2007-12,227.4987179152788
2008-01,176.22228481085853
2008-02,139.8487574791482
2008-03,142.76615136861415
2008-04,372.165539229037
2008-05,265.68649969593383
2008-06,248.248996115326
2008-07,213.0741696882613
2008-08,163.4172865791392
2008-09,196.375706705405
2008-10,145.85227032723202
2008-11,81.02817444201881
2008-12,210.46067430144447
2009-01,148.43469448471538
2009-02,123.6166559724806
2009-03,138.69172798867962
2009-04,369.5876221622712
2009-05,986.4041957435326
2009-06,265.5979550471242
2009-07,237.86701707429305
2009-08,196.7776902607398
2009-09,201.85717630498075
2009-10,159.45393335442952
2009-11,106.0120127243302
2009-12,234.29258596792036
2010-01,161.62059581060245
2010-02,163.15277003571856
2010-03,187.8519835240277
2010-04,376.069717240995
2010-05,391.04996919358047
2010-06,230.0661824472836
2010-07,247.54547680112307
2010-08,203.69328340597283
2010-09,182.93538155541893
2010-10,126.73432428803224
2010-11,63.72619028917472
2010-12,139.27855331441245
2011-01,200.7443346182998
2011-02,232.07206794471333
2011-03,160.58489285383206
2011-04,158.10875643039685
2011-05,411.7023260274914
2011-06,365.23011429944097
2011-07,231.47156552466527
2011-08,210.41517612119037
2011-09,184.90757445825128
2011-10,31.713118239289347
2011-11,12.175821610197229
2011-12,79.71001508989558
