,undisturbed,harvest,harvest_amis,pink_usd
2006-01,10.003806366460356,14.72188361321396,14.72188361321396,185.92291666666668
2006-02,18.932108506987806,24.566893372749732,24.566893372749732,199.9338541666667
2006-03,43.70221645298862,46.988919522848434,46.988919522848434,193.92916666666667
2006-04,84.45197671880751,122.39698273736852,122.39698273736852,200.48984375000003
2006-05,135.65661311732782,140.67301752022846,140.67301752022846,214.834375
2006-06,109.90918085711724,177.5860178611072,177.5860178611072,217.0583333333333
2006-07,60.81419476137506,135.31984208491644,135.31984208491644,225.06458333333336
2006-08,13.828710151591276,21.006905137518807,21.006905137518807,211.16484375
2006-09,7.990380643173711,22.73563632349854,22.73563632349854,217.94791666666669
2006-10,7.912385074618349,18.257855074826928,18.257855074826928,235.85078125
2006-11,13.037297571890793,31.945661119104173,31.945661119104173,233.18203125
2006-12,11.406392049009835,27.946155443017684,27.946155443017684,227.17734375000003
2007-01,14.320699010115305,37.890904216079036,37.890904216079036,205.4746865203761
2007-02,25.518533263981432,65.50808863646681,65.50808863646681,209.56112852664572
2007-03,65.43452957303728,142.6173051248303,142.6173051248303,208.61810344827583
2007-04,116.99011846146061,217.84729240795718,217.84729240795718,207.77985893416923
2007-05,290.2813337626177,284.82604805737964,285.24648903530147,205.05556426332285
2007-06,211.86158151732437,384.62370060686555,387.5863837351145,233.66065830721
2007-07,113.61389262011869,163.29774252519303,160.5240220954176,249.7968652037617
2007-08,15.21429477138867,10.079312058012443,9.639102782505311,272.1151253918495
2007-09,6.662869616720986,2.867168429443936,2.835192170594175,342.1085423197492
2007-10,8.792934847447942,3.7816840484669108,5.027736484098854,351.11967084639497
2007-11,13.007595356971056,8.260180206392556,9.974425005026578,337.183855799373
2007-12,14.325563920346212,7.7814414483483025,9.831701125212081,386.2211598746081
2008-01,14.57147874340344,11.21979188502895,14.10435955066417,360.5796625766871
2008-02,24.819973972732118,20.69160238351668,21.937287817344767,413.3972392638037
2008-03,60.13535820554354,51.42939658512828,73.30721343676781,427.6959202453988
2008-04,128.70514577893567,99.57269745820209,185.34996609703148,352.31171779141107
2008-05,267.15908408922974,140.95464552163605,335.4079468976543,319.82355828220864
2008-06,186.26229913960591,150.6923071612884,208.21960714096917,339.08300613496937
2008-07,107.65764481768957,64.23607125496603,82.65268828403237,319.2399386503067
2008-08,15.050070816397188,10.480138414212544,25.091504636609805,320.30990797546013
2008-09,7.353007922188002,6.4406061264881345,10.837708168860736,287.5299386503068
2008-10,6.274128771501546,7.959038416348815,13.107930160077679,230.91883435582824
2008-11,11.632148370058449,13.74694483075285,23.404379202459996,220.6082208588957
2008-12,9.937064399938919,15.792574630434672,26.907896058298686,214.0911349693252
2009-01,12.407287331219134,21.082138016205988,36.958238870814846,247.8488621151272
2009-02,22.272409802694725,32.370369068302885,57.330637699869406,232.9219544846051
2009-03,59.98065954115573,52.338707782638565,88.6722936834133,239.4524765729585
2009-04,124.27664161534227,80.34310883797959,132.6548548828692,242.0439535921464
2009-05,242.62181183816523,126.09973428379493,183.5528431379936,271.06849620705043
2009-06,194.99646377492303,169.17211168091774,235.50576127998278,265.98920124944226
2009-07,98.24868586897335,111.10608951863541,161.06023733757542,233.12927264614012
2009-08,9.588346844343992,49.70877357193372,72.2799780032635,218.09870593485053
2009-09,9.735052242841537,30.829207214831,32.70052126473344,198.09250334672024
2009-10,9.503998573416855,31.474161544454876,31.312777637687148,206.07425256581885
2009-11,14.169885636648974,47.406428294631674,45.94566581745826,218.7206604194556
2009-12,13.928686607162785,54.59016162102054,53.40160921448674,213.84868362338244
2010-01,18.217711957016235,67.48386695549839,67.58138209768121,201.2
2010-02,30.5380016558801,103.95521140024863,99.16152326909557,194.0
2010-03,81.55426399496191,173.06996807817572,157.77865430255753,191.1
2010-04,140.22507110305332,250.46330987112137,236.75680746426758,192.9
2010-05,223.59781365734267,342.8587192672029,300.5066789594566,181.6
2010-06,267.8993923141086,416.7190575172228,364.4926691388906,157.7
2010-07,167.79677246507856,187.1956299770399,181.96444713454045,195.8
2010-08,19.3594025757693,56.436328727359495,33.0113277812426,246.2
2010-09,7.41425127934934,31.045177852004556,18.52308237474913,271.7
2010-10,10.863794388011511,37.84551376969975,31.46334345645564,270.2
2010-11,18.286750583666034,52.384613080807604,51.82011683735905,274.1
2010-12,12.024599111025664,55.15453224780134,46.89878008924554,306.5
2011-01,14.929746772851491,72.10708464747128,62.086509499994335,294.07423332279484
2011-02,27.198902547189522,116.0182738453926,115.13607340225934,313.43306987037624
2011-03,63.87887197530897,239.3018444491617,224.17003484946386,285.16016440088526
2011-04,109.90148076201238,299.61431534188415,296.7517034095325,302.6281378438192
2011-05,217.17030567795956,428.63577773492176,385.1878513132393,319.9160290863105
2011-06,203.02887131536593,461.4200475879291,472.7027337062559,293.8941511223522
2011-07,124.74018122238064,204.5882850854489,205.6117208480482,273.6349035725577
2011-08,22.904234369528076,21.167985396079303,28.25146525537854,294.5244388239014
2011-09,12.979867492415297,12.021620033436765,16.03132795877174,284.4398355991148
2011-10,11.78169659856012,12.6699824029359,13.14375416670461,260.2187796395827
2011-11,18.96971977543945,14.474898931006074,15.380167367811662,253.015491621878
2011-12,16.490106312417012,17.44445330607754,16.53286822981844,242.2105595953209
