scenario,field,corr,rmse,mean_model,mean_obs
undisturbed,production,2.1252372072738197e-15,146.01345703446032,662.0377673207205,519.3976666666666
undisturbed,consumption,0.07665949997506998,157.56210022703306,672.8210289619394,520.1186666666666
undisturbed,ending_stocks,0.23771359572894007,64.37459494233072,214.01993375444886,157.433
undisturbed,stock_to_use,0.34109149173184217,0.053143912743982266,0.3197769007440385,0.3010302414658393
harvest,production,0.8027377140488738,143.22703340828957,661.3811634288326,519.3976666666666
harvest,consumption,-0.26859696350899354,141.00324539243175,657.0008771400495,520.1186666666666
harvest,ending_stocks,0.9115918055742936,82.80390251472629,239.2151466293326,157.433
harvest,stock_to_use,0.8182692771239638,0.07019699698137297,0.3646200616140674,0.3010302414658393
harvest_amis,production,0.8027377140488738,143.22703340828957,661.3811634288326,519.3976666666666
harvest_amis,consumption,-0.3900475469366816,137.93265073070097,649.2031404155799,520.1186666666666
harvest_amis,ending_stocks,0.8313945405328856,104.6436410497762,259.41483373592183,157.433
harvest_amis,stock_to_use,0.6080324207308281,0.11856543181983524,0.40230534309070265,0.3010302414658393
