region,H_usda,H_fbsh,H_ratio,C_usda,C_fbsh,C_ratio,XI_usda,XI_fbsh,XI_ratio,Psi_usda,Psi_fbsh
Argentina,13.866666666666667,11.372666666666667,0.8201442307692308,6.177325571797034,2.3836450831118916,0.3858700752303832,7.699743088640542,9.007309520255488,1.1698194883338384,0.3210127063811417,0.3210127063811417
Australia,18.941,18.881666666666668,0.9968674656389139,6.664490939360665,8.808860591147244,1.3217604572199018,12.352597232652396,10.353603106948512,0.8381721602304155,0.5957944429357389,0.5957944429357389
Brazil,4.910333333333333,5.065666666666666,1.0316339691806393,9.430120688774704,11.818487851892687,1.2532700526262632,0.7743430040149515,0.4609419938839795,0.5952684940575499,0.23089135390654728,0.23089135390654728
Canada,25.21966666666666,25.219666666666665,1.0000000000000002,7.700541906616948,7.500494327467555,0.974021623208427,18.01046788734765,18.412115253899334,1.0223007735870004,0.8118043391156233,0.8118043391156233
China,56.364833333333344,112.29233333333335,1.9922410249889853,57.299648753841296,112.61352042922192,1.9653439921247764,0.7650229517571545,1.7307519047433066,2.2623529147302093,0.4070356539216386,0.4070356539216386
EU-27,137.4916666666667,122.41999999999997,0.8903812352263769,124.30910211002941,84.07550766818618,0.6763423292509073,20.036007792573862,49.442551544832796,2.467684783151171,0.13238236825785596,0.13238236825785596
India,78.352,78.352,1.0,83.61029072315569,84.19633366758958,1.007009220269002,0.03561169669819775,0.13878769102324442,3.897250170342719,0.1409316153719576,0.1409316153719576
Kazakhstan,15.35166666666667,15.352333333333334,1.000043426338074,8.077749918555714,8.350281878884418,1.0337385983815444,7.440090237932907,7.156099516965261,0.9618296671296089,0.5446648771039596,0.5446648771039596
Pakistan,22.762333333333334,22.762333333333334,1.0,21.688060169284583,22.66175340452149,1.0448953584431626,1.529050168012636,0.5243907191298874,0.34295193846481686,0.14989814555218653,0.14989814555218653
Russia,58.301,58.291,0.9998284763554656,43.22755270035783,44.83163553001653,1.0371078798001307,16.38753674481632,14.956389420643745,0.9126685513229881,0.2308327145536216,0.2308327145536216
Turkey,16.916666666666668,18.538666666666668,1.0958817733990147,15.849785981031225,18.022975825637666,1.137111620763036,2.73905449332866,2.4246612114339543,0.8852183179778083,0.12374509887266781,0.12374509887266781
USA,61.43366666666667,61.40066666666668,0.9994628352532001,35.9643145446586,35.59116069456967,0.9896243302614439,28.64058415783117,30.643081913190237,1.0699181882717126,0.4888364171333203,0.4888364171333203
Ukraine,20.22966666666667,20.236333333333334,1.0003295490121766,12.629087221203804,12.956581120512759,1.0259317156951062,7.8696722900298735,7.572008664236719,0.9621758550009426,0.19898508546055166,0.19898508546055166
Central America,0.3058717948717949,3.886333333333333,12.705759074524266,7.286743098294153,10.291810318894749,1.4124019716441067,0.09877586679789754,1.9973565376385776,20.221098557659953,0.009764835289788585,0.009764835289788585
Rest of Central Asia,2.182666666666667,10.430333333333333,4.77871105681124,4.4173249649749184,12.602755113379668,2.853028747784515,0.06397004034118026,0.036689862445374095,0.573547589616811,0.13637589976812747,0.13637589976812747
Eastern Africa,0.3314333333333333,3.2860000000000005,9.914512722518356,3.608706006326746,7.5494035112373545,2.0919973802248837,0.002913911784640141,0.23642271992469976,81.1358535872414,0.015314815496129005,0.015314815496129005
Rest of Eastern Asia,0.35316666666666663,1.2493333333333334,3.5375176970269,9.503866912225662,10.887169333534787,1.1455515353997288,0.09547661740439943,0.3560582053503389,3.7292712606503824,0.064070411790317,0.064070411790317
Rest of Europe,0.8050000000000002,21.211666666666666,26.349896480331257,6.987592919244357,28.881179076246568,4.133208589857263,0.09527207394355147,3.8130092176484216,40.022317766564235,0.04044072638448607,0.04044072638448607
Middle Africa,0.003666666666666667,0.014000000000000002,3.8181818181818183,1.189942898037145,2.687026007350665,2.2581134034103774,0.0,0.006000000000000002,,0.004995571177617032,0.004995571177617032
Northern Africa,2.685833333333333,16.011,5.9612783121315545,25.088969897502082,51.16163880256221,2.0392084255183383,0.06432290744222353,0.30870995815614954,4.799378175394834,0.06486250093095113,0.06486250093095113
Rest of Oceania,0.12122222222222225,0.36333333333333334,2.9972502291475704,1.0080733785292992,1.1010323390089638,1.092214478092145,0.005410212932423696,0.0855327583831943,15.809499450676311,0.08123306361721248,0.08123306361721248
Rest of South America,0.48185185185185186,3.785333333333333,7.855803228285933,6.305350942425973,9.07144956112845,1.4386906682847103,0.18625371061302362,1.4751430024059244,7.920073095729114,0.040670923281833686,0.040670923281833686
Rest of Southern Asia,3.0233333333333334,18.786666666666665,6.2138919514884225,8.789820334728958,23.372973734608216,2.659095731713718,0.04105291991578246,0.5551722291277305,13.52333111180964,0.09419355719629449,0.09419355719629449
Southeast Asia,0.09088518475067721,0.6616462940357781,7.280023645777405,12.015837072438384,12.089768672806535,1.0061528464411134,0.09088518475067721,0.6616462940357781,7.280023645777405,0.03617051770916282,0.03617051770916282
Southern Africa,1.0018333333333334,2.0156666666666667,2.011978040259524,2.238128302981202,3.860242958123017,1.724763925723627,0.16989869184639766,0.15272894916702154,0.898941289701636,0.15235945121903233,0.15235945121903233
Western Africa,0.03861940691456031,0.14376658916483198,3.7226513986321477,5.753240120348192,9.214987085064902,1.601703890729873,0.03861940691456031,0.14376658916483198,3.7226513986321477,0.003829199298041767,0.003829199298041767
Rest of Western Asia,0.6821904761904762,6.061,8.884615384615383,15.427072860077004,21.50873829649498,1.3942203094247665,0.04149800575647286,0.7670656755431343,18.484398504462767,0.039418952197520916,0.039418952197520916
