year,production,consumption,exports,ending_stocks,S_producer,S_consumer,stock_to_use,price_index_mean
2003,662.0377673207206,552.0914013923801,174.64030434498395,267.94028613066575,24.120030881722776,243.820255248943,0.48531870892196044,0.9934018981884852
2004,662.0377673207206,672.7944494451117,164.3404454082957,256.3667897206458,20.687875839338556,235.67891388130724,0.381047718113734,0.6456779481978975
2005,672.8136801689504,681.4768406376668,240.47787254067396,247.15472114867762,38.25149456464481,208.9032265840328,0.36267515843592235,0.5640279504678
2006,632.0989573861608,684.2991999364423,191.74424691227603,201.22820045201223,24.114982350164336,177.1132181018479,0.29406464375627256,0.3814322189060739
2007,634.494842600534,612.2494453057634,185.0210755603528,222.4244325494776,42.113732236299114,180.31070031317847,0.3632905415510775,0.47739645540430575
2008,700.0950922324615,657.3670008898289,192.26556608347482,260.9725084215284,70.87935570918012,190.09315271234829,0.3969966671102585,0.5601665853447865
2009,689.6581287473942,651.4121841644615,154.93318864629043,301.2368816713789,69.76747277528659,231.46940889609235,0.462436670658475,0.552386118693117
2010,636.6171726424362,690.6198307692227,164.23452404674615,249.9017781602999,41.49032070395976,208.41145745634014,0.36185143696490085,0.629888533334399
2011,675.3227869640091,599.2711814277609,171.81468875485496,320.72520116083416,55.46823802698891,265.25696313384526,0.5351920985032316,0.8082357133212333
