label,scenario,alpha_i,alpha_nash,zeta_penalty,n_for_months,p_sto_annual,xmin_share,hike_2008,hike_2008_author,moy_maxmin,moy_maxmin_author,last_first,mean_2006_usd,pidx_min,pidx_max,failed,unconverged,n_solves,runtime_s
default,harvest_amis,3.2,3.0,0.0,3,0.1,0.2,2.3127223446526437,1.6176574953231886,26.836954430908353,1.5139454053260382,0.6961520504255445,270.6508281570152,0.030713360744084175,3.768823001634713,0,611,1944,6.917555801000162
default,undisturbed,3.2,3.0,0.0,3,0.1,0.2,2.2879357948930994,1.1247896650519895,29.525841591177887,1.3126961726569508,0.6175014387607367,204.03677824939675,0.014011201775998563,3.1681353932617684,0,583,1944,5.926838237000084
fig4_knobs,harvest_amis,3.5,3.0,1.0,6,0.1,0.2,2.215184098448028,1.6176574953231886,13.257426851372903,1.5139454053260382,0.7886386586833294,358.1196069951457,0.15278552412225194,4.882584998325028,0,553,1944,5.841220008000164
fig4_knobs,undisturbed,3.5,3.0,1.0,6,0.1,0.2,2.1352543105086337,1.1247896650519895,27.238421778127396,1.3126961726569508,0.4093927367460973,244.287276342081,0.036069491306521644,3.6061471987660663,0,432,1944,4.434501406999516
