label,exporter,intensity,duration_months,mean_price_usd,max_price_usd,mean_price_vs_harvest,production,production_vs_harvest,exports,exports_vs_harvest,consumption,consumption_vs_harvest,ending_stocks,ending_stocks_vs_harvest,failed,unconverged,n_steps,delta_steps_on,other_exporters_delta_max
harvest_only,—,0.0,0,217.9319616383308,607.5181064971428,1.0,27.874048000401988,1.0,11.240462542570809,1.0,10.05312809447205,1.0,9.369289541466083,1.0,0,202,24,0,0.0
Ukraine_0.5_6m,Ukraine,0.5,6,216.8700572598342,607.5181064971428,0.9951273582336726,27.874048000401988,1.0,10.865749054130426,0.966663872859214,10.058810207005326,1.000565208408754,9.754138053145192,1.0410755276561652,0,213,24,12,0.0
Ukraine_0.5_12m,Ukraine,0.5,12,218.6180194731518,607.5181064971428,1.0031480367985655,27.874048000401988,1.0,5.620231271285405,0.5000000000000001,10.028400052002878,0.9975402638624719,15.027387509582155,1.6038982937900228,0,213,24,24,0.0
Ukraine_1_6m,Ukraine,1.0,6,216.63815391296907,607.5181064971428,0.9940632493020511,27.874048000401988,1.0,10.491035565690042,0.933327745718428,10.074530301548517,1.0021289102133528,10.116206956681612,1.0797197494975328,0,207,24,12,0.0
Ukraine_1_12m,Ukraine,1.0,12,218.15715914989212,607.5181064971428,1.0010333386157237,27.874048000401988,1.0,0.0,0.0,10.079850647895963,1.002658133187282,20.599651157728548,2.198635346528651,0,196,24,24,0.0
Russia_0.5_6m,Russia,0.5,6,218.81235653769082,607.5179480999568,1.0040397695351408,71.05799027862706,1.0,14.075123881278536,0.9176476195458081,36.11500807755955,0.9867567948251594,32.532353213858755,1.0743634159675102,0,209,24,12,0.0
Russia_0.5_12m,Russia,0.5,12,220.83530630789096,607.5179480999568,1.0133222527238956,71.05799027862706,1.0,7.650349525948117,0.4987753635701563,35.82629715309959,0.9788684547245756,39.4775620571733,1.3037251915654864,0,215,24,24,0.0
Russia_1_6m,Russia,1.0,6,219.14055461448933,607.5177897016804,1.005545735316072,71.05799027862706,1.0,12.837326347698651,0.8369476577017724,36.042529657520504,0.9847764941895308,34.0063288616462,1.1230406666293293,0,207,24,12,0.0
Russia_1_12m,Russia,1.0,12,221.05085440156657,607.5177897016804,1.0143113141357931,71.05799027862706,1.0,0.0,0.0,35.70564547084311,0.9755719341473688,47.011678489753024,1.5525353226246532,0,203,24,24,0.0
