,undisturbed_vw
2003-01,12973.009978789774
2003-02,211920.79174214636
2003-03,195580.40385391397
2003-04,47973.560911989254
2003-05,1510.2372909400756
2003-06,491.391579790479
2003-07,296.22500135084647
2003-08,146.29653131894153
2003-09,71.12046865102853
2003-10,53.22375609520746
2003-11,13.137016028427187
2003-12,26.554647687380605
2004-01,218.38807532441047
2004-02,253.40916841068076
2004-03,149.80630956952797
2004-04,301.2290004802736
2004-05,543.3574513702482
2004-06,303.50201908278507
2004-07,232.6462088507218
2004-08,122.23879024118357
2004-09,67.9511358080679
2004-10,53.41372694870734
2004-11,116.6440750389453
2004-12,175.64479375148207
2005-01,153.54231433249947
2005-02,134.17438434580967
2005-03,131.6393806331133
2005-04,298.45028046198644
2005-05,342.38061304308525
2005-06,125.70971016405596
2005-07,221.575166394365
2005-08,152.2812462768428
2005-09,163.01312667097898
2005-10,127.26026965673242
2005-11,153.86885582844153
2005-12,190.4379793872663
2006-01,67.31829242208688
2006-02,99.11423988775107
2006-03,127.42065315998008
2006-04,149.2332002797429
2006-05,98.48352232462335
2006-06,271.91846011033283
2006-07,229.53579681158914
2006-08,194.9231464971201
2006-09,197.8382094706575
2006-10,90.59049461849119
2006-11,57.77491327820254
2006-12,104.0271631264293
2007-01,262.6700145763773
2007-02,138.4995627036779
2007-03,120.40455534860274
2007-04,278.42345047904934
2007-05,56.866509931422065
2007-06,254.25878272892928
2007-07,247.15539302753066
2007-08,191.63044157320283
2007-09,197.6835266472105
2007-10,163.41827104575316
2007-11,180.67798893304246
2007-12,116.57351214001073
2008-01,203.44937692053074
2008-02,147.83142996320885
2008-03,139.1850546516353
2008-04,414.4067229878893
2008-05,93.15861360185443
2008-06,326.206470358298
2008-07,226.74600286194013
2008-08,179.43334170529107
2008-09,166.8030720594828
2008-10,69.60425358662411
2008-11,86.7914304357625
2008-12,276.72227890445305
2009-01,60.089176858344416
2009-02,114.51468529605737
2009-03,126.78162754239841
2009-04,392.6760839087804
2009-05,1135.0980285124112
2009-06,338.358319094729
2009-07,190.85763524565414
2009-08,144.73258827042133
2009-09,226.38058746350347
2009-10,121.5362542024016
2009-11,61.893852407718626
2009-12,167.97838455613345
2010-01,146.89151228408576
2010-02,134.17944903765076
2010-03,144.2451869255378
2010-04,421.4612030889528
2010-05,367.9612903234128
2010-06,369.8012037065356
2010-07,214.08203865080597
2010-08,206.14731260756287
2010-09,218.3445864119453
2010-10,146.49014858243876
2010-11,83.37916774360738
2010-12,296.6823590151281
2011-01,127.89312470269438
2011-02,117.74657681208788
2011-03,168.17112773100501
2011-04,566.5154375617478
2011-05,439.7017332699195
2011-06,383.2415486589959
2011-07,225.42961877467445
2011-08,212.9373300130073
2011-09,156.19468320535157
2011-10,25.962573096412076
2011-11,12.679940229570217
2011-12,91.30521331674173
