scenario,region,year,field,model,usda
harvest_amis,Eastern Africa,2008,production,3.0395245113937412,3.0719999999999996
harvest_amis,Eastern Africa,2009,production,3.705718728772425,3.9539999999999997
harvest_amis,Eastern Africa,2010,production,3.0979039142559004,3.541
harvest_amis,Eastern Africa,2011,production,3.039192115832724,3.743
harvest_amis,India,2006,consumption,81.42592932468582,73.482
harvest_amis,India,2007,consumption,81.67308152699317,76.42
harvest_amis,India,2008,consumption,93.46581452205515,70.924
harvest_amis,India,2009,consumption,85.09627714622725,78.149
harvest_amis,India,2010,consumption,77.2262707410862,81.764
harvest_amis,India,2011,consumption,69.41626994888409,81.408
harvest_amis,India,2006,ending_stocks,0.6424615821515163,4.5
harvest_amis,India,2007,ending_stocks,7.3044907985583665,5.8
harvest_amis,India,2008,ending_stocks,0.625781395070802,13.43
harvest_amis,India,2009,ending_stocks,0.6086460150086125,16.12
harvest_amis,India,2010,ending_stocks,3.075733197342911,15.36
harvest_amis,India,2011,ending_stocks,14.973437749801771,19.95
harvest_amis,India,2006,production,74.47443992346092,69.355
harvest_amis,India,2007,production,79.20361915772689,75.807
harvest_amis,India,2008,production,79.39905476531075,78.57000000000001
harvest_amis,India,2009,production,78.24699635678489,80.679
harvest_amis,India,2010,production,75.19362378157325,80.804
harvest_amis,India,2011,production,78.15810231475383,86.874
harvest_amis,Russia,2006,consumption,40.19444669927353,36.4
harvest_amis,Russia,2007,consumption,14.879610253951888,37.982
harvest_amis,Russia,2008,consumption,26.42712289681566,38.9
harvest_amis,Russia,2009,consumption,30.42116269120927,39.6
harvest_amis,Russia,2010,consumption,41.97221547488131,38.6
harvest_amis,Russia,2011,consumption,43.1693176661392,38.0
harvest_amis,Russia,2006,ending_stocks,10.398204879102376,4.663
harvest_amis,Russia,2007,ending_stocks,0.8826581569599278,4.269
harvest_amis,Russia,2008,ending_stocks,13.341729800768976,10.944
harvest_amis,Russia,2009,ending_stocks,26.73868545210182,14.722
harvest_amis,Russia,2010,ending_stocks,12.62380881806454,13.736
harvest_amis,Russia,2011,ending_stocks,14.956573010078973,10.899
harvest_amis,Russia,2006,production,53.00765057628889,44.927
harvest_amis,Russia,2007,production,55.99124098593564,49.368
