label,year,xd,xi,split_xi,price_index_mean,S_producer_end
default,2003.0,337.0359133703404,189.2987529675189,0.35965473124661373,0.9554684264248495,15.914074598942397
default,2004.0,383.1512199327212,164.44970209270912,0.3003093959090744,0.4499701660493987,10.561893510313794
default,2005.0,285.76745273135884,254.36007774261614,0.47092596357643357,0.566123459948891,12.683103973140515
default,2006.0,329.0045369395506,213.35054868759548,0.39337798121850376,0.2020034935336248,12.576759282796075
default,2007.0,326.7399644078065,215.3593359985805,0.3972691642234835,0.34966024171328325,12.726199813210744
default,2008.0,317.37573643965703,225.4294716744474,0.41530454812264683,0.32762499958634445,12.169732635907966
default,2009.0,339.7826874860863,203.41817532387438,0.3744805821397239,0.3167657342811359,11.217610762748988
default,2010.0,324.3431125842514,216.5049560838323,0.40030642360803276,0.38936820469140265,12.618283031466985
default,2011.0,358.6407551204486,186.61306861418268,0.34224990360637086,0.3293485052627697,9.613200233637338
xmin_off,2003.0,372.0175545776528,163.18007641847822,0.30489685859550797,1.0122825784183302,7.051109940670644
xmin_off,2004.0,303.1849767248833,241.3229669981097,0.44319457554301117,0.6049069890679165,4.791907154479313
xmin_off,2005.0,308.5099551199127,228.55367819572987,0.4255616355639639,0.24436125346531187,9.9770147756384
xmin_off,2006.0,284.8134080909828,259.1576270436004,0.47641806328802516,0.28052228421019,8.254720577856821
xmin_off,2007.0,249.37432615919525,289.8320486653911,0.5375159905327135,0.1776361099598827,11.297086690072172
xmin_off,2008.0,238.28599780856655,306.57897538808817,0.5626696346242035,0.14344922208818095,8.680854430219169
xmin_off,2009.0,276.0463717494499,265.974030802027,0.4907085223176019,0.11476683561349656,8.909192815543937
xmin_off,2010.0,264.42264414328565,278.24568829598877,0.5127361809473653,0.16061375755209306,8.489601313071196
xmin_off,2011.0,290.30546648232837,250.13542070026654,0.4628358561178867,0.15370820717317443,10.29745506727798
qoth_freeze,2003.0,321.2184798043791,203.60427649909155,0.38794864371574717,0.6425913864345492,17.42598463333099
qoth_freeze,2004.0,392.47078348834634,155.48978530729568,0.2837609020828732,0.6647169572157127,11.714156774490599
qoth_freeze,2005.0,297.11930617010984,234.7347307174295,0.4413517890944658,0.5847017768688753,22.10886082375294
qoth_freeze,2006.0,362.00510980555725,187.67325237218424,0.3414237584842371,0.6360064993128972,14.679239582813075
qoth_freeze,2007.0,392.41443744567704,149.12589468195193,0.27537357023078807,0.6894006265509919,15.387648391985778
qoth_freeze,2008.0,400.5902413434756,141.61435075001668,0.26118249977048913,0.7011958712174883,15.431797235295154
qoth_freeze,2009.0,407.8387628875246,136.96349183691467,0.25140037628183226,0.687457822235218,12.87828344765753
qoth_freeze,2010.0,398.8701503144668,143.286183234017,0.26428942053704374,0.6830504110599914,12.97069083597546
qoth_freeze,2011.0,393.1644360996107,150.0279836720897,0.27619675498259955,0.6483082464044935,12.027012001076688
calendar_replan,2003.0,377.3931785250175,164.85156430706698,0.3040168973258559,1.1812832810910827,0.0039981047171695
calendar_replan,2004.0,332.4129710521224,209.83856646662093,0.386976434270355,0.6585287493904526,0.0012015227754911886
calendar_replan,2005.0,313.36805512735657,228.84230732262193,0.4220544703140633,0.36016891115526856,0.03958000959859992
calendar_replan,2006.0,321.8540539182022,220.35478365501874,0.4064020509906602,0.2878264011407178,0.07948337317930969
calendar_replan,2007.0,309.0887867452665,233.22063494602844,0.43005086324830133,0.3057559470842499,0.01880261868609315
calendar_replan,2008.0,288.40012347006086,253.8516664233396,0.4681435288083484,0.26456715851112483,0.015753662087266477
calendar_replan,2009.0,263.42699997950575,278.65585410611874,0.5140466111516299,0.2017097369480746,0.18164051326448086
calendar_replan,2010.0,263.19275344615994,279.2198911611965,0.5147739344522824,0.15538647991063984,0.017736842709750716
calendar_replan,2011.0,261.071145810452,281.17458204299385,0.518537201124778,0.1506178173589917,0.02074992606559753
