scenario,region,field,corr,mean_model,mean_usda,level_ratio,n_years
harvest,Argentina,consumption,0.46606140901861703,6.035167441282094,5.675,1.0634656284197523,6
harvest,Argentina,ending_stocks,0.8957841574173817,4.1210278957252315,1.8965000000000003,2.172964880424588,6
harvest,Argentina,production,0.9513325909229607,14.735252171134947,15.100000000000001,0.9758445146446983,6
harvest,Australia,consumption,-0.5332109498657978,4.557591175545403,6.486666666666667,0.7026091226431761,6
harvest,Australia,ending_stocks,0.7327490989298119,1.8906234902069807,5.216666666666668,0.3624198383783349,6
harvest,Australia,production,0.98464037631363,17.83516957082273,20.826666666666668,0.8563621752955854,6
harvest,Canada,consumption,-0.39610970104790033,11.03353676697286,8.045333333333334,1.3714207118378596,6
harvest,Canada,ending_stocks,0.6601844633957046,17.64241515889168,6.485166666666667,2.720425868092572,6
harvest,Canada,production,0.9370028693393578,24.435318294281966,24.918666666666667,0.9806029600680333,6
harvest,China,consumption,-0.6985226584572835,58.8038721478145,109.95933333333335,0.5347783618290504,6
harvest,China,ending_stocks,-0.0031138771241112206,14.648040930724756,48.8585,0.2998053753333556,6
harvest,China,production,-0.857367995406824,113.98563489537666,113.55300000000001,1.00380998208217,6
harvest,EU-27,consumption,0.48314429766693723,89.38794882794184,124.10316666666667,0.7202712970897212,6
harvest,EU-27,ending_stocks,-0.019792461629310712,19.94244443131429,15.533999999999999,1.2837932555242881,6
harvest,EU-27,production,0.9689482693462349,136.23406366108873,135.499,1.005424864102973,6
harvest,Eastern Africa,consumption,-0.5771210129782206,5.94771887982247,6.970666666666666,0.853249648023499,6
harvest,Eastern Africa,ending_stocks,-0.34469300643391987,2.464767885911692,0.5405,4.560162601131715,6
harvest,Eastern Africa,production,0.44397833413999244,3.2502585662281356,3.4103333333333334,0.9530618413336337,6
harvest,India,consumption,-0.8648377913421412,81.83098785058391,77.0245,1.062402064934974,6
harvest,India,ending_stocks,0.4912677509842483,4.6924603051158895,12.526666666666666,0.3745976826862073,6
harvest,India,production,0.40975254414603535,77.44597271660176,78.68150000000001,0.984297105629681,6
harvest,Russia,consumption,-0.30444304324307125,31.345383156528936,38.247,0.8195514198898982,6
harvest,Russia,ending_stocks,0.7397162978860358,12.689646128756037,9.872166666666667,1.285396261755039,6
harvest,Russia,production,0.9953587373433297,59.832473084368104,52.92966666666667,1.1304146965665398,6
harvest,USA,consumption,-0.3562643127970841,18.772430311084666,31.0565,0.6044605899275406,6
harvest,USA,ending_stocks,0.756283283787898,5.057043165260117,18.142333333333333,0.2787427103419323,6
harvest,USA,production,0.9968511984062152,60.517563197291565,57.77166666666667,1.047530159489223,6
harvest,Ukraine,consumption,0.26352759562131745,9.818328173247936,12.458333333333334,0.7880932312974932,6
harvest,Ukraine,ending_stocks,0.630813553345309,6.3359276019550235,2.9311666666666665,2.1615719344817275,6
harvest,Ukraine,production,0.9723171935705934,20.213125885990348,18.967333333333332,1.0656809542366006,6
harvest_amis,Argentina,consumption,0.1973659917583479,5.815090128382081,5.675,1.0246854851774592,6
harvest_amis,Argentina,ending_stocks,0.8190952059460581,10.119896820206018,1.8965000000000003,5.336091125866605,6
harvest_amis,Argentina,production,0.9513325909229607,14.735252171134947,15.100000000000001,0.9758445146446983,6
harvest_amis,Australia,consumption,-0.6359855776728214,4.709359272167803,6.486666666666667,0.7260060542910282,6
harvest_amis,Australia,ending_stocks,0.8618924396755898,2.4462046143430256,5.216666666666668,0.4689210123341262,6
harvest_amis,Australia,production,0.98464037631363,17.83516957082273,20.826666666666668,0.8563621752955854,6
harvest_amis,Canada,consumption,-0.18781792324129412,10.931663260771396,8.045333333333334,1.358758277358062,6
harvest_amis,Canada,ending_stocks,0.3760972878432402,16.690292850326003,6.485166666666667,2.5736104726672666,6
harvest_amis,Canada,production,0.9370028693393578,24.435318294281966,24.918666666666667,0.9806029600680333,6
harvest_amis,China,consumption,-0.8924756573618153,58.57298216757069,109.95933333333335,0.5326785857277905,6
harvest_amis,China,ending_stocks,0.08930721737691827,16.750336617557167,48.8585,0.3428336239867611,6
harvest_amis,China,production,-0.857367995406824,113.98563489537666,113.55300000000001,1.00380998208217,6
harvest_amis,EU-27,consumption,0.43887813767336137,95.3340341765076,124.10316666666667,0.768183735654134,6
harvest_amis,EU-27,ending_stocks,0.7398012576535198,28.543374833654156,15.533999999999999,1.8374774580696638,6
harvest_amis,EU-27,production,0.9689482693462349,136.23406366108873,135.499,1.005424864102973,6
harvest_amis,Eastern Africa,consumption,-0.7053205761968706,5.651930389526904,6.970666666666666,0.8108163336161397,6
harvest_amis,Eastern Africa,ending_stocks,-0.4549172958141517,1.8644679841439877,0.5405,3.4495244850027524,6
harvest_amis,Eastern Africa,production,0.44397833413999244,3.2502585662281356,3.4103333333333334,0.9530618413336337,6
harvest_amis,India,consumption,-0.8224791778595479,81.38394053498861,77.0245,1.0565981023568942,6
harvest_amis,India,ending_stocks,0.389930826003777,4.538425122988997,12.526666666666666,0.3623011008240285,6
harvest_amis,India,production,0.40975254414603535,77.44597271660176,78.68150000000001,0.984297105629681,6
harvest_amis,Russia,consumption,-0.2589139491332824,32.84397928037848,38.247,0.8587334766224404,6
harvest_amis,Russia,ending_stocks,0.8039846474865999,13.1569433528461,9.872166666666667,1.3327310809359074,6
harvest_amis,Russia,production,0.9953587373433297,59.832473084368104,52.92966666666667,1.1304146965665398,6
harvest_amis,USA,consumption,-0.4258847476410482,15.445757630683767,31.0565,0.49734379697273573,6
harvest_amis,USA,ending_stocks,0.5597755875104543,3.8118623578253747,18.142333333333333,0.21010871577481993,6
harvest_amis,USA,production,0.9968511984062152,60.517563197291565,57.77166666666667,1.047530159489223,6
