year,production,consumption,exports,inflow,S_producer,S_consumer,p_consumer_mean,price_index_mean
2003,0.33143333333333336,3.094906588380358,0.14028229136028517,5.204305590115109,0.0,2.1646656684014176,1.029534811579684,0.9554684264248495
2004,0.33143333333333336,5.814950411365327,0.0,4.440412680678213,0.0,0.7901279377143012,0.2921386560593272,0.45392604796527297
2005,0.3514593837071066,4.807847593898582,0.08054798289806105,8.463209847793733,2.4631208180376504e-07,4.445490191609454,0.49973472002976255,0.504988337951099
2006,0.35869422459557954,6.991098768128635,0.0,4.317840500691076,3.352978772860351e-07,1.7722319241718933,0.10950966477326501,0.3060014192852424
2007,0.3032269881158228,5.702309437903838,0.0,7.983874082043409,0.0,4.053796568311464,0.41142316441703936,0.5207802866526228
2008,0.30395245113937414,6.962542523267205,0.0,5.072511434011478,0.0,2.163765479055738,0.11445896503087333,0.3981682708976339
2009,0.37057187287724247,5.727470329466163,0.04382395386007045,4.394609277926442,4.813875756080733e-07,0.8309044275160173,0.3045423219154518,0.4415027119130798
2010,0.30979039142559006,4.572821173616013,0.0,4.278490600555346,0.0,0.5365738544553489,0.6076957514070538,0.6204581751066698
2011,0.3039192115832724,3.9553401047795744,0.08678183165685678,5.248301084992235,0.0,1.8295348346680103,0.7359140534789015,0.7223202995491409
