grain,subst_scale,mean_cons_ratio,cons_corr,dcons_sign,dcons_n,cons_scale
wheat,0.0,0.9224753235113191,-0.17039733034946414,3,5,644.2218333333334
rice,0.0,0.8610807019790341,-0.7360137212637471,1,5,435.8543333333334
maize,0.0,0.9200193271086573,-0.6397981922974856,2,5,814.7215
wheat,0.3,0.9325399429093599,-0.05373368743520854,3,5,644.2218333333334
rice,0.3,0.8690187607313857,-0.6648053030742863,1,5,435.8543333333334
maize,0.3,0.9272074631616789,-0.7548415326683054,2,5,814.7215
wheat,0.6,0.9425998248983106,-0.005207443254038116,3,5,644.2218333333334
rice,0.6,0.8779303482011297,-0.5763079569474561,1,5,435.8543333333334
maize,0.6,0.9326009043573315,-0.8353980649494538,2,5,814.7215
