year,model_cons,psd_cons,cons_ratio,model_dcons,psd_dcons,cons_scale
2006,798.4448302864453,726.8649999999999,1.0984774755786086,,,814.7215
2007,755.4013481213302,781.1300000000001,0.9670622663594154,-5.283214222911148,6.660558239840267,814.7215
2008,726.4163118496862,794.479,0.9143304125718693,-3.5576618846616967,1.6384740061481047,814.7215
2009,772.5195750290052,831.943,0.9285727207621257,5.658775812264561,4.598381164606549,814.7215
2010,749.8131701756332,867.8639999999999,0.8639754272278067,-2.787014317576247,4.408991293343791,814.7215
2011,718.0264536072938,886.0479999999998,0.8103697018753995,-3.901543848829256,2.2319283337925726,814.7215
