crop,country,year,model_full,model_shocks,d_amis,psd,model_over_psd,psd_yoy
rice,India,2006,1.8970470078085129,1.8970470078085129,0.0,5.74,0.33049599439172694,1.2244027303754268
rice,India,2007,2.1041426882761796,2.2502188788699287,-0.1460761905937491,4.654,0.452114887897761,0.8108013937282229
rice,India,2008,2.355004867282103,2.0604372421502974,0.2945676251318057,2.09,1.1267965872163173,0.4490760636012032
rice,India,2009,1.5907844392421255,0.061953223832948066,1.5288312154091774,2.082,0.7640655327771977,0.9961722488038277
rice,India,2010,1.6943023799545307,0.7504430310037633,0.9438593489507674,2.774,0.6107795169266513,1.3323727185398657
rice,India,2011,0.7336943045314079,0.8969326285161544,-0.16323832398474647,10.376,0.07071070783841635,3.7404470079307854
rice,Vietnam,2006,1.4556239634438919,1.4556239634438919,0.0,4.522,0.32189826701545593,0.961105207226355
rice,Vietnam,2007,0.4977187631260969,1.6298772437377242,-1.1321584806116274,4.649,0.10705931665435511,1.0280849181777973
rice,Vietnam,2008,0.9769492714819418,1.369970197544065,-0.39302092606212324,5.95,0.16419315487091457,1.2798451279845129
rice,Vietnam,2009,0.918252517801437,1.5449772218594489,-0.6267247040580118,6.734,0.13636063525414865,1.131764705882353
rice,Vietnam,2010,1.0237188451999104,1.6421751567879626,-0.6184563115880521,7.0,0.14624554931427292,1.0395010395010396
rice,Vietnam,2011,0.24381627409551676,1.0614732646647265,-0.8176569905692097,7.7170000000000005,0.03159469665615093,1.1024285714285715
rice,Thailand,2006,11.08670376304902,11.08670376304902,0.0,9.557,1.160061082248511,1.2956887201735359
rice,Thailand,2007,8.951976445848135,8.599995583583787,0.3519808622643481,10.011000000000001,0.8942140091747213,1.0475044470021975
rice,Thailand,2008,7.161479025064777,8.325715930920827,-1.1642369058560504,8.57,0.8356451604509658,0.8560583358305863
rice,Thailand,2009,7.711512503274727,8.63750731370725,-0.9259948104325231,9.047,0.8523833871200095,1.055659276546091
rice,Thailand,2010,7.510368976529586,8.33457010700894,-0.824201130479354,10.647,0.7053976685009473,1.176854205814082
rice,Thailand,2011,2.6120243737986404,2.901996352820907,-0.2899719790222668,6.945,0.37610142171326716,0.6522964215271908
rice,USA,2006,1.070540896089185,1.070540896089185,0.0,2.923,0.36624731306506497,0.7986338797814208
rice,USA,2007,1.0193495302942819,1.0663168577296898,-0.04696732743540788,3.336,0.3055604107596768,1.1412931919261033
rice,USA,2008,1.0110867235851626,1.1623622344883924,-0.15127551090322977,3.032,0.33347187453336496,0.9088729016786571
rice,USA,2009,1.1700825614170636,1.429419202302502,-0.2593366408854385,3.516,0.33278798675115573,1.1596306068601583
rice,USA,2010,1.4874609714942004,1.7681700653478831,-0.2807090938536827,3.516,0.42305488381518785,1.0
rice,USA,2011,0.36575134036291934,0.6619351213967112,-0.29618378103379184,3.2,0.1142972938634123,0.9101251422070535
rice,China,2006,0.8963675080691547,0.8963675080691547,0.0,1.34,0.6689309761710109,1.1019736842105263
rice,China,2007,0.5939135262741324,0.8070649508140393,-0.21315142453990688,1.372,0.43288157891700607,1.0238805970149254
rice,China,2008,0.25052885867169383,0.7391237819955956,-0.48859492332390175,0.747,0.33537999822181236,0.5444606413994169
rice,China,2009,0.21712245599676155,1.0606551178734083,-0.8435326618766468,0.65,0.33403454768732543,0.8701472556894244
rice,China,2010,0.2094953985720872,0.9483532918412466,-0.7388578932691594,0.5,0.4189907971441744,0.7692307692307692
rice,China,2011,0.2216771163604791,1.0009711139018256,-0.7792939975413464,0.441,0.5026691980963245,0.882
