grain,subst_scale,leg,p0,corr,hike,obs_hike
wheat,0.0,full,288.25333650592216,0.6882178566437398,1.6128125812589682,1.5680654345750178
wheat,0.0,shocks,288.25333650592216,0.5287163946368575,1.0926497777729285,1.5680654345750178
wheat,0.0,tau,288.25333650592216,0.6526357449604896,1.5460258056306513,1.5680654345750178
wheat,0.3,full,288.25333650592216,0.7003762225996171,1.6453061051764446,1.5680654345750178
wheat,0.3,shocks,288.25333650592216,0.43113661752287585,1.0671667118563033,1.5680654345750178
wheat,0.3,tau,288.25333650592216,0.6824990342230216,1.5712573329694577,1.5680654345750178
wheat,0.6,full,288.25333650592216,0.7501395244223686,1.6892796004717665,1.5680654345750178
wheat,0.6,shocks,288.25333650592216,0.294784313434349,1.037937143862624,1.5680654345750178
wheat,0.6,tau,288.25333650592216,0.7103646010939735,1.6562237579955494,1.5680654345750178
rice,0.0,full,418.85429849443585,0.6066003548319732,0.9887935461339341,0.9084333831654942
rice,0.0,shocks,418.85429849443585,0.012651992312312394,0.994710031781624,0.9084333831654942
rice,0.0,tau,418.85429849443585,0.6202680745043943,0.9759133374656678,0.9084333831654942
rice,0.3,full,418.85429849443585,0.5385664675843308,1.0809705567700745,0.9084333831654942
rice,0.3,shocks,418.85429849443585,0.11566642964906783,0.9770095799946764,0.9084333831654942
rice,0.3,tau,418.85429849443585,0.5611185169336826,1.0595974169069295,0.9084333831654942
rice,0.6,full,418.85429849443585,0.4572122141646498,1.1755112275709156,0.9084333831654942
rice,0.6,shocks,418.85429849443585,0.2210990976816071,0.9535045365189688,0.9084333831654942
rice,0.6,tau,418.85429849443585,0.48678666725807024,1.149966364934841,0.9084333831654942
maize,0.0,full,237.23046885035322,0.20374363293854944,1.0068364672088352,1.093327158547758
maize,0.0,shocks,237.23046885035322,-0.32866402718038756,1.0343765562825378,1.093327158547758
maize,0.0,tau,237.23046885035322,0.21219754512287348,1.0434435518795846,1.093327158547758
maize,0.3,full,237.23046885035322,0.22840411664036195,1.0078832724100686,1.093327158547758
maize,0.3,shocks,237.23046885035322,-0.3419423223944392,1.021554136918367,1.093327158547758
maize,0.3,tau,237.23046885035322,0.21588527281504685,1.0444357661475496,1.093327158547758
maize,0.6,full,237.23046885035322,0.18148238805879036,1.0097189305808367,1.093327158547758
maize,0.6,shocks,237.23046885035322,-0.367711728402272,1.004473833279622,1.093327158547758
maize,0.6,tau,237.23046885035322,0.16788881802754851,1.0449550522078712,1.093327158547758
