country,mean_offer_window,mean_export_window,mean_cut_window,mean_stock
USA,49.56745805099762,2.1873019309164516,0.0,142.7189102039166
Argentina,2.485827998587544,0.3228997913344726,0.5333333333333333,7.752237611382599
Brazil,12.030605561270457,0.2934281129505712,0.0,19.098930629289693
China,8.09841639894808,0.15975297300896094,0.5,74.61138974383857
India,1.0759495802653822,0.0662527651776695,0.6333333333333334,10.232836825750958
Ukraine,1.151393248319218,0.061760302768313076,0.0,6.282441615599808
Thailand,0.22655126861256095,0.014665321757714579,0.0,1.889526177971839
Canada,0.04714106591522286,0.003052857911952678,0.0,6.636610844206331
Russia,0.06789813695858289,0.0020116875310529944,0.0,2.540122391025621
Indonesia,1.920016618351829,0.0018587442096949386,0.0,3.032470525303898
Nigeria,0.44862456494002895,0.00045102462940321174,0.0,3.7615397528902403
Kazakhstan,0.05709779355712294,0.0004381722244769358,0.0,0.20299602216029328
Australia,0.1191472028603075,0.00019773124215793502,0.0,0.15927914800844
Vietnam,0.0,0.0,0.5,2.27782335186875
EU,0.0,0.0,0.0,30.420040208708
Egypt,0.0,0.0,0.08333333333333333,2.8577837691063888
Mexico,0.0,0.0,0.0,12.94432318572494
RestOfWorld,0.0,0.0,0.0,56.12117222373021
