crop,year,country,my_month,model_stock,model_cons,psd_stock,psd_cons,stock_ratio,cons_ratio,psd_dstock,model_dstock,psd_dcons,model_dcons
maize,2006,Argentina,2,0.5386298640604088,7.177834034928106,1.676,6.7,0.3213782005133704,1.0713185126758367,,,,
maize,2007,Argentina,2,0.0,6.526066787377092,2.098,6.8,0.0,0.9597157040260429,6.160583941605839,-7.8632096943125385,1.4598540145985353,-9.514850329211884
maize,2008,Argentina,2,0.7997166422339889,6.097136586170924,0.88,6.4,0.9087689116295328,0.9526775915892068,-17.781021897810223,11.674695507065532,-5.839416058394154,-6.261754762133834
maize,2009,Argentina,2,0.7345880789775988,6.304090530820823,2.48,6.9,0.2962048705554834,0.913636308814612,23.357664233576646,-0.95078194534876,7.299270072992702,3.021225469341594
maize,2010,Argentina,2,1.617951975483526,5.984961337711828,4.038,7.3,0.40068151943623725,0.8198577174947709,22.744525547445264,12.895823306655876,5.839416058394154,-4.658820337357602
maize,2011,Argentina,2,1.6233305039349015,5.690261931436544,0.896,7.0,1.8117527945702026,0.812894561633792,-45.86861313868614,0.07851866352372894,-4.379562043795619,-4.302181113507785
maize,2006,Australia,8,0.0963446889813549,0.3379345220823817,0.012,0.265,,,,,,
maize,2007,Australia,8,0.19669593514447836,0.30280935744702814,0.038,0.32,,,,,,
maize,2008,Australia,8,0.23795057177398252,0.28705497066279173,0.05,0.35000000000000003,,,,,,
maize,2009,Australia,8,0.22229163816721606,0.2967984228014184,0.044,0.325,,,,,,
maize,2010,Australia,8,0.22471887824070905,0.2817737272134401,0.031,0.325,,,,,,
maize,2011,Australia,8,0.2751319856862684,0.26789919312237753,0.027,0.35000000000000003,,,,,,
maize,2006,Brazil,2,11.813593336166637,49.07472904658877,3.094,41.5,3.8182266762012405,1.1825235914840668,,,,
maize,2007,Brazil,2,12.685094225574154,44.66744109918548,10.581,44.0,1.1988558950547354,1.0151691158905791,15.9864768683274,1.8608559916174752,5.338078291814946,-9.410579247124462
maize,2008,Brazil,2,13.382062704697601,41.686018995475195,10.086,45.5,1.326795826363038,0.9161762416587955,-1.0569395017793577,1.4881889233952599,3.202846975088968,-6.3660258442212525
maize,2009,Brazil,2,17.945490210053862,43.100959590283495,6.4910000000000005,48.5,2.764672655993508,0.888679579181103,-7.676156583629893,9.743973321045395,6.405693950177936,3.021225469341566
maize,2010,Brazil,2,21.103185001929134,40.91907873228769,6.2780000000000005,50.0,3.3614503029514387,0.8183815746457538,-0.4548042704626336,6.742408808274602,3.202846975088968,-4.658820337357596
maize,2011,Brazil,2,25.802445559517043,38.90422391079488,4.212,51.5,6.125936742525414,0.7554218235105803,-4.411387900355873,10.034008308016887,3.202846975088968,-4.302181113507767
maize,2006,Canada,8,2.1281754372634656,12.61185607864558,1.337,11.442,1.5917542537497873,1.1022422722116396,,,,
maize,2007,Canada,8,1.849114274691906,11.479214444760427,1.457,13.769,1.2691244163980138,0.8336999378865877,0.9970227792009978,-2.318586132284646,19.33393339333933,-9.41057924712445
