crop,year,country,my_month,model_stock,model_cons,psd_stock,psd_cons,stock_ratio,cons_ratio,psd_dstock,model_dstock,psd_dcons,model_dcons
wheat,2006,Argentina,11,2.668759268613239,5.173974208223297,0.587,5.3500000000000005,4.546438277024257,0.9670979828454759,,,,
wheat,2007,Argentina,11,4.693270518584586,4.657456029091117,2.352,5.65,1.9954381456567118,0.8243285007240915,31.101321585903086,35.67420704795325,5.286343612334799,-9.101641923034006
wheat,2008,Argentina,11,2.384415050244458,5.059006014080904,1.2590000000000001,5.325,1.8938959890742317,0.950048077761672,-19.259911894273124,-40.68467785621371,-5.726872246696039,7.075770660612983
wheat,2009,Argentina,11,2.391658480565384,5.386012679281972,2.338,5.825,1.022950590489899,0.924637369833815,19.013215859030836,0.12763753869472938,8.81057268722467,5.762231985921909
wheat,2010,Argentina,11,3.6973591341792202,5.509036914981648,4.107,5.95,0.9002578851179012,0.9258885571397727,31.171806167400884,23.00794103284293,2.2026431718061676,2.1678279418445077
wheat,2011,Argentina,11,4.814384656686216,5.043043056334204,0.736,5.95,6.541283500932359,0.8475702615687737,-59.40088105726873,19.683269119066008,0.0,-8.211345526827206
wheat,2006,Australia,9,0.0,6.350205150835587,4.1530000000000005,7.4,0.0,0.8581358311939982,,,,
wheat,2007,Australia,9,0.0,5.92693996817789,3.736,6.615,0.0,0.895984878031427,-6.428571428571432,0.0,-12.10174717368962,-6.525156978278983
wheat,2008,Australia,9,0.2557650232041196,5.782570163525074,3.109,7.415,0.08226600939341254,0.7798476282569217,-9.665981500513878,3.9429345817695722,12.332990750256933,-2.2256393317494707
wheat,2009,Australia,9,1.1719773987194086,6.156346945011876,5.067,5.17,0.2312961118451566,1.1907827746638058,30.184994861253855,14.124548440626244,-34.60945529290853,5.762231985921919
wheat,2010,Australia,9,1.1966194213850612,6.296966717506189,8.184000000000001,5.815,0.14621449430413747,1.0828833564069111,48.0524152106886,0.37988729700389284,9.943473792394663,2.1678279418444966
wheat,2011,Australia,9,1.5215092718254,5.7643241043326645,7.051,6.505,0.21578631000218407,0.8861374487828847,-17.4665981500514,5.008579400416322,10.6372045220966,-8.2113455268272
wheat,2006,Brazil,9,0.005788310180997458,8.391059403041652,1.85,10.3,0.0031288163140526797,0.8146659614603545,,,,
