year,grain,model_price,obs_price,leg,model_yoy_pct,obs_yoy_pct
2006,maize,253.01054672306952,135.5,full,,
2007,maize,190.45832891044785,171.5,full,-24.723166137847862,26.568265682656822
2008,maize,230.51331569323423,217.0,full,21.030840190569954,26.530612244897966
2009,maize,202.02992669559112,171.6,full,-12.356504834431625,-20.921658986175117
2010,maize,238.52083920408612,185.9,full,18.0621322322597,8.333333333333348
2011,maize,222.66533522639884,262.7,full,-6.647429226978696,41.31253362022591
2006,rice,444.7646585142508,339.0,full,,
2007,rice,476.1374088397922,342.1,full,7.0537866993171106,0.9144542772861364
2008,rice,495.2308725739151,632.3,full,4.010074272602959,84.82899736919028
2009,rice,457.6179678602831,575.4,full,-7.595024219338864,-8.998892930570923
2010,rice,498.4185671084029,488.9,full,8.915864785400384,-15.033020507473061
2011,rice,481.95639929833555,489.0,full,-3.3028801285580722,0.020454080589082935
2006,wheat,322.47525862928836,213.5,full,,
2007,wheat,299.54489134550636,267.4,full,-7.110736923275818,25.24590163934426
2008,wheat,263.7475924660223,317.1,full,-11.950562307602208,18.586387434554986
2009,wheat,260.10158934573496,232.3,full,-1.3823834698157622,-26.74235257016714
2010,wheat,310.40422560343495,223.6,full,19.33961125890553,-3.745157124408105
2011,wheat,259.2943155111948,284.8,full,-16.465597397355335,27.370304114490175
2006,maize,253.01054672306952,135.5,shocks,,
2007,maize,184.91745941135872,171.5,shocks,-26.913141840779264,26.568265682656822
2008,maize,211.9525544149644,217.0,shocks,14.620087843335906,26.530612244897966
2009,maize,202.64141789061628,171.6,shocks,-4.393028689863588,-20.921658986175117
2010,maize,232.50905758071636,185.9,shocks,14.739158460795165,8.333333333333348
2011,maize,212.4775128444113,262.7,shocks,-8.615382533797,41.31253362022591
2006,rice,444.7646585142508,339.0,shocks,,
2007,rice,397.8850098825669,342.1,shocks,-10.54032682998841,0.9144542772861364
2008,rice,388.05958075782297,632.3,shocks,-2.4694142480119696,84.82899736919028
2009,rice,459.2111452090451,575.4,shocks,18.335216543880616,-8.998892930570923
2010,rice,439.2040896634116,488.9,shocks,-4.3568314389507705,-15.033020507473061
2011,rice,406.36310635445886,489.0,shocks,-7.477385589492291,0.020454080589082935
2006,wheat,322.47525862928836,213.5,shocks,,
2007,wheat,275.0401298958612,267.4,shocks,-14.709695539141421,25.24590163934426
2008,wheat,211.80288932723093,317.1,shocks,-22.99200505488921,18.586387434554986
2009,wheat,256.99424017978185,232.3,shocks,21.3365129229806,-26.74235257016714
2010,wheat,295.61129762769633,223.6,shocks,15.026429160785737,-3.745157124408105
2011,wheat,233.6630632100668,284.8,shocks,-20.955976620233706,27.370304114490175
2006,maize,218.5701282622917,135.5,tau,,
2007,maize,222.78956755596334,171.5,tau,1.9304739065752807,26.568265682656822
2008,maize,241.42863259547397,217.0,tau,8.366219856694412,26.530612244897966
2009,maize,216.7525255777112,171.6,tau,-10.220870139752169,-20.921658986175117
2010,maize,226.45019238218657,185.9,tau,4.474073267948397,8.333333333333348
2011,maize,225.81186269846984,262.7,tau,-0.28188524681815874,41.31253362022591
2006,rice,445.7477087818218,339.0,tau,,
2007,rice,501.77557619097155,342.1,tau,12.56941231672679,0.9144542772861364
2008,rice,535.3341575303812,632.3,tau,6.687966280494595,84.82899736919028
2009,rice,458.29250534730716,575.4,tau,-14.391320094066995,-8.998892930570923
2010,rice,503.1625474087662,488.9,tau,9.790699506956857,-15.033020507473061
2011,rice,492.4688450424432,489.0,tau,-2.1252977633956394,0.020454080589082935
2006,wheat,271.8745610333921,213.5,tau,,
2007,wheat,291.76248989599975,267.4,tau,7.315112082209474,25.24590163934426
2008,wheat,328.0426623323173,317.1,tau,12.43483096447724,18.586387434554986
2009,wheat,262.2227458235216,232.3,tau,-20.064437973045745,-26.74235257016714
2010,wheat,298.29373700591054,223.6,tau,13.75585900037255,-3.745157124408105
2011,wheat,289.5127094517151,284.8,tau,-2.9437519011743185,27.370304114490175
