crop,country,window,y0,m0,y1,m1,n_steps,mean_cut,offer_full,offer_shocks,offer_ratio,ship_full,ship_shocks,ship_ratio,ship_sum_full,ship_sum_shocks
maize,Argentina,assert_May2007,2007,5,2007,5,2,0.7,3.5247125434438034,11.719881751418242,0.3007464254506896,0.7634174246667988,0.8319398896579584,0.9176353173552819,1.5268348493335977,1.6638797793159168
maize,Argentina,quota_May07_Jan08,2007,5,2008,1,18,0.6999999999999998,1.8914456048443853,5.4485894920745785,0.34714408336242775,0.5074982641342972,0.5963966868683216,0.850940783724286,9.13496875441735,10.735140363629789
maize,USA,unrestricted_control,2007,5,2008,6,28,0.0,46.04312984277317,39.65198944325564,1.1611808257102367,1.7897471409561354,2.0367652803944054,0.8787203700809174,50.11291994677179,57.02942785104335
maize,Ukraine,quota_2010_11,2010,10,2011,6,18,0.6999999999999998,1.378941200596911,3.599290390853231,0.38311473953342945,0.04192347650822884,0.09584949654977058,0.4373885937570862,0.7546225771481192,1.7252909378958705
