grain,subst_scale,leg,corr,hike_2008,hike_2010,obs_2008,obs_2010
wheat,0.0,full,0.6871963698005545,2.086534098791583,1.3141872908546142,1.8165638656251262,1.1590269664976314
rice,0.0,full,0.6757655371214287,1.5434381597067155,0.8445853735249156,1.83714665456457,0.7931662874839874
maize,0.0,full,0.7921112767257185,2.052576960050763,1.5152893790028272,1.836259971402727,1.4418926403601735
wheat,0.0,shocks,0.424272720046744,1.1455368459886932,1.793107513097555,1.8165638656251262,1.1590269664976314
rice,0.0,shocks,-0.13173043794960443,0.9176616532345674,1.0514438779537634,1.83714665456457,0.7931662874839874
maize,0.0,shocks,0.40641082185752325,1.267917124978484,1.0991315522594962,1.836259971402727,1.4418926403601735
wheat,0.0,tau,0.5160073115696797,1.6122309506160541,1.2837984899286878,1.8165638656251262,1.1590269664976314
rice,0.0,tau,0.643953788377386,1.5493390111328056,0.8236661407822373,1.83714665456457,0.7931662874839874
maize,0.0,tau,0.20648178152339397,1.0653582882193575,0.9157753499891478,1.836259971402727,1.4418926403601735
wheat,0.3,full,0.6884918369096028,2.1553243110462903,1.38144927862973,1.8165638656251262,1.1590269664976314
rice,0.3,full,0.6825630434636618,1.5886809425136106,0.8395895036301553,1.83714665456457,0.7931662874839874
maize,0.3,full,0.7309018644423919,2.1231659648121513,1.4545615736059756,1.836259971402727,1.4418926403601735
wheat,0.3,shocks,0.4421009102546265,1.161769349218096,1.890907878970097,1.8165638656251262,1.1590269664976314
rice,0.3,shocks,-0.11776665545886363,0.936930878318672,1.1278371201512691,1.83714665456457,0.7931662874839874
maize,0.3,shocks,0.44589238025744,1.2751047842878829,1.1293055048698812,1.836259971402727,1.4418926403601735
wheat,0.3,tau,0.4996458979453356,1.6169840113955192,1.2958205789658266,1.8165638656251262,1.1590269664976314
rice,0.3,tau,0.6476667634525962,1.5561836203778106,0.8226696297863472,1.83714665456457,0.7931662874839874
maize,0.3,tau,0.2798259251664817,1.0720122618946162,0.9184476725047105,1.836259971402727,1.4418926403601735
wheat,0.6,full,0.6809897932184849,2.23658147233476,1.4300616313911492,1.8165638656251262,1.1590269664976314
rice,0.6,full,0.6482582721429375,1.5192150551335502,0.8291072053141425,1.83714665456457,0.7931662874839874
maize,0.6,full,0.6335106673816892,2.19403584976082,1.198726793248701,1.836259971402727,1.4418926403601735
wheat,0.6,shocks,0.45530525039367425,1.1800965816298972,1.997947377695946,1.8165638656251262,1.1590269664976314
rice,0.6,shocks,-0.09095954054134206,0.9579180617864852,1.2205056830159864,1.83714665456457,0.7931662874839874
maize,0.6,shocks,0.49416091763215386,1.277315710256565,1.171204667628634,1.836259971402727,1.4418926403601735
wheat,0.6,tau,0.4764680316524397,1.627588661009483,1.2992179858200457,1.8165638656251262,1.1590269664976314
rice,0.6,tau,0.6479472165324038,1.5643483936277076,0.8184525856598712,1.83714665456457,0.7931662874839874
maize,0.6,tau,0.33570705999548967,1.0919545945157463,0.9158810777067407,1.836259971402727,1.4418926403601735
