year,model_ending_stock,psd_ending_stocks
2006,514.8696059133516,108.75600000000001
2007,547.4138541962635,125.362
2008,585.7400263279874,136.049
2009,591.2446659405946,131.485
2010,592.7856871587167,114.858
2011,635.2584044812247,122.84800000000001
