crop,year,country,my_month,model_stock,model_cons,psd_stock,psd_cons,stock_ratio,cons_ratio,psd_dstock,model_dstock,psd_dcons,model_dcons
rice,2006,Argentina,8,0.0,0.20012289991442295,0.08,0.325,,,,,,
rice,2007,Argentina,8,0.06470538042155802,0.243378788903318,0.131,0.325,,,,,,
rice,2008,Argentina,8,0.09624388836055776,0.24392355233167776,0.12,0.33,,,,,,
rice,2009,Argentina,8,0.08279600641445446,0.2564903525827541,0.035,0.31,,,,,,
rice,2010,Argentina,8,0.13647419702697053,0.24776552093934553,0.075,0.38,,,,,,
rice,2011,Argentina,8,0.09689706086109316,0.2750612434049584,0.095,0.4,,,,,,
rice,2006,Australia,8,0.0009704766246781925,0.27501895737262594,0.23,0.435,,,,,,
rice,2007,Australia,8,0.003262057353191565,0.15972316536059275,0.052000000000000005,0.343,,,,,,
rice,2008,Australia,8,0.0046547199748023325,0.17833707146343122,0.026000000000000002,0.27,,,,,,
rice,2009,Australia,8,0.00521107310899902,0.23388411162116057,0.046,0.291,,,,,,
rice,2010,Australia,8,0.07078212634135621,0.23303574182036957,0.027,0.308,,,,,,
rice,2011,Australia,8,0.06785556064579265,0.242739495899953,0.04,0.325,,,,,,
rice,2006,Brazil,2,1.239025853905377,6.075146655311036,1.5150000000000001,8.4,0.817838847462295,0.7232317446798852,,,,
rice,2007,Brazil,2,1.3789130358829729,5.974521221990602,1.236,8.35,1.1156254335622757,0.7155115235916889,-3.3644859813084134,1.686912052789822,-0.602954476937,-1.2134511102856043
rice,2008,Brazil,2,1.4926499999999998,5.834712316046625,1.512,8.4,0.9872023809523808,0.6946086090531696,3.3283087126921926,1.3715642341516667,0.602954476937,-1.6859681150916745
rice,2009,Brazil,2,1.350211836039804,5.777881245473537,1.1500000000000001,8.477,1.1740972487302643,0.681595050781354,-4.365390413023816,-1.7176745729297043,0.9285498944829662,-0.6853309686233063
rice,2010,Brazil,2,1.4926499999999998,6.057712740446288,1.403,8.2,1.0638987883107625,0.7387454561519864,3.050949653301175,1.7176745729297043,-3.3403678022309444,3.374513053635822
rice,2011,Brazil,2,1.3166378190585761,6.515313540288645,1.1400000000000001,7.928,1.1549454553145404,0.8218104869183457,-3.1715405486885735,-2.122546649881504,-3.280072354537225,5.518249018297945
rice,2006,Canada,8,0.006786954929542899,0.18590368157449755,0.0,0.341,,,,,,
rice,2007,Canada,8,0.007662737333995159,0.1583951308468257,0.0,0.388,,,,,,
rice,2008,Canada,8,0.007846102064673979,0.16572386749192125,0.0,0.326,,,,,,
rice,2009,Canada,8,0.008072632733834873,0.18555573954172638,0.0,0.358,,,,,,
rice,2010,Canada,8,0.008063688387449279,0.18830729588803974,0.0,0.322,,,,,,
rice,2011,Canada,8,0.008006980321783746,0.19530669421258906,0.0,0.34700000000000003,,,,,,
rice,2006,China,12,40.99214409222387,120.3814983861451,35.915,127.2,1.1413655601343136,0.9463954275640337,,,,
rice,2007,China,12,45.77111915196287,114.59281392612857,38.0,127.455,1.2045031355779703,0.8990844919864154,1.5726393438913466,3.604606332096428,0.19233718594354246,-4.366193252371424
rice,2008,China,12,50.45899133715502,111.39677381881248,39.5,132.782,1.2774428186621525,0.8389448405567959,1.131395211432623,3.535890761423055,4.017961527534397,-2.4106563153093563
rice,2009,China,12,50.649763623845466,113.75658689543434,42.0,134.576,1.2059467529487016,0.8452962407519494,1.885658685721038,0.14389256775708173,1.353148672873404,1.7799208098440396
rice,2010,China,12,50.03714878210273,113.19681649538822,44.5,135.598,1.1244303097101738,0.8347970950558873,1.885658685721038,-0.4620729989335215,0.7708572707227753,-0.422214366742602
rice,2011,China,12,47.88274965583804,113.66227382750989,50.0,137.867,0.9576549931167608,0.8244342288401858,4.148449108586283,-1.6249845699803331,1.7114238231603969,0.3510774644591099
rice,2006,EU,8,0.0,2.1345893243638727,1.165,2.85,0.0,0.7489787103031132,,,,
rice,2007,EU,8,0.0,2.073221577303057,1.553,2.85,0.0,0.7274461674747569,13.042016806722687,0.0,0.0,-2.062781413808928
rice,2008,EU,8,0.0,2.0864552850631113,1.5150000000000001,2.9,0.0,0.719467339676935,-1.2773109243697418,0.0,1.6806722689075575,0.44483051294299736
rice,2009,EU,8,0.0,2.1241362127254906,1.641,3.0,0.0,0.7080454042418302,4.235294117647056,0.0,3.361344537815129,1.2665858037774556
rice,2010,EU,8,0.0,2.209613935852773,1.71,3.1,0.0,0.7127786889847655,2.319327731092436,0.0,3.361344537815129,2.8732007773876482
rice,2011,EU,8,0.0,2.192391271135633,1.6280000000000001,3.15,0.0,0.6959972289319469,-2.7563025210083985,0.0,1.6806722689075575,-0.5789130997358082
rice,2006,Egypt,9,2.3327386807675055,3.276956565673249,0.376,3.54,,0.9256939451054376,,,,
rice,2007,Egypt,9,2.395252081249963,3.175980918143634,0.6910000000000001,3.61,3.4663561233718707,0.8797731075190123,8.482944344703771,1.6834847526694108,1.8850987432675004,-2.719272375124278
rice,2008,Egypt,9,2.5748679204217826,3.076879306275743,0.5640000000000001,4.2700000000000005,4.56536865323011,0.7205806337882301,-3.4201077199281866,4.837051324196221,17.773788150807913,-2.6688046283992226
rice,2009,Egypt,9,2.5597799493332802,3.1820396393694876,0.498,3.94,,0.8076242739516466,-1.7773788150807914,-0.40631879053417463,-8.886894075403964,2.8319658822372906
rice,2010,Egypt,9,1.7150808085345683,3.1699127800756246,0.122,3.3000000000000003,,0.9605796303259467,-10.125673249551168,-22.74773269655418,-17.23518850987432,-0.32657610306632945
rice,2011,Egypt,9,2.535853708993344,2.8300291593833,0.487,3.62,,0.7817760108793647,9.829443447037702,22.10339947375518,8.61759425493716,-9.153059803204432
rice,2006,India,9,18.807207505839262,89.15918029792613,11.43,86.69500000000001,1.6454249786386057,1.0284235572746538,,,,
