year,month,grain,model_price,subst_scale,leg,obs_price
2006,1,wheat,236.9826549742188,0.6,subst_on,185.92291666666668
2006,2,wheat,243.35617353919514,0.6,subst_on,199.9338541666667
2006,3,wheat,249.54637370826367,0.6,subst_on,193.92916666666667
2006,4,wheat,281.1059083941365,0.6,subst_on,200.48984375000003
2006,5,wheat,286.01999030830734,0.6,subst_on,214.834375
2006,6,wheat,255.69528806698298,0.6,subst_on,217.05833333333337
2006,7,wheat,239.9062692798321,0.6,subst_on,225.06458333333336
2006,8,wheat,236.9267080174626,0.6,subst_on,211.16484375
2006,9,wheat,274.5094131850322,0.6,subst_on,217.94791666666669
2006,10,wheat,858.1464286501694,0.6,subst_on,235.85078125
2006,11,wheat,860.3059967109957,0.6,subst_on,233.18203125
2006,12,wheat,618.499460018791,0.6,subst_on,227.17734375000003
2007,1,wheat,446.57529586939245,0.6,subst_on,205.47468652037617
2007,2,wheat,334.74046814193076,0.6,subst_on,209.56112852664577
2007,3,wheat,332.47149515250345,0.6,subst_on,208.61810344827583
2007,4,wheat,565.2018493865405,0.6,subst_on,207.77985893416923
2007,5,wheat,641.4204885821364,0.6,subst_on,205.05556426332285
2007,6,wheat,421.8848180282862,0.6,subst_on,233.66065830721
2007,7,wheat,315.05471677106334,0.6,subst_on,249.79686520376177
2007,8,wheat,264.46874827385244,0.6,subst_on,272.1151253918495
2007,9,wheat,247.63790154627532,0.6,subst_on,342.1085423197492
2007,10,wheat,242.86904864478925,0.6,subst_on,351.11967084639497
2007,11,wheat,320.44886047989615,0.6,subst_on,337.183855799373
2007,12,wheat,382.75743939848735,0.6,subst_on,386.22115987460813
2008,1,wheat,381.58060776574155,0.6,subst_on,360.5796625766871
2008,2,wheat,435.32847726959847,0.6,subst_on,413.3972392638037
2008,3,wheat,423.9855714743207,0.6,subst_on,427.6959202453988
2008,4,wheat,474.19796726865377,0.6,subst_on,352.31171779141107
2008,5,wheat,400.33657703045617,0.6,subst_on,319.82355828220864
2008,6,wheat,302.723229006568,0.6,subst_on,339.08300613496937
2008,7,wheat,254.95701913182901,0.6,subst_on,319.2399386503067
2008,8,wheat,231.46969629547291,0.6,subst_on,320.30990797546013
2008,9,wheat,217.86359207007217,0.6,subst_on,287.5299386503068
2008,10,wheat,208.98389469731876,0.6,subst_on,230.91883435582824
2008,11,wheat,204.36641341054678,0.6,subst_on,220.60822085889572
2008,12,wheat,202.29643748728938,0.6,subst_on,214.09113496932517
2009,1,wheat,201.58973820724373,0.6,subst_on,247.8488621151272
2009,2,wheat,201.12764737344855,0.6,subst_on,232.9219544846051
2009,3,wheat,200.1439360970614,0.6,subst_on,239.45247657295852
2009,4,wheat,200.49381150796083,0.6,subst_on,242.0439535921464
2009,5,wheat,201.58268235765001,0.6,subst_on,271.06849620705043
2009,6,wheat,203.29158531735854,0.6,subst_on,265.98920124944226
2009,7,wheat,205.15966427967513,0.6,subst_on,233.12927264614015
2009,8,wheat,206.21591333838325,0.6,subst_on,218.09870593485053
2009,9,wheat,204.25254151000178,0.6,subst_on,198.09250334672024
2009,10,wheat,200.4269446954862,0.6,subst_on,206.07425256581885
2009,11,wheat,198.8933459266512,0.6,subst_on,218.7206604194556
2009,12,wheat,198.27168331026883,0.6,subst_on,213.84868362338244
2010,1,wheat,198.11628538044647,0.6,subst_on,201.2
2010,2,wheat,197.7247970560832,0.6,subst_on,194.0
2010,3,wheat,196.7942170398066,0.6,subst_on,191.1
2010,4,wheat,197.1083726587825,0.6,subst_on,192.9
2010,5,wheat,198.36705749689202,0.6,subst_on,181.6
2010,6,wheat,200.43623706255502,0.6,subst_on,157.7
2010,7,wheat,203.11018825368623,0.6,subst_on,195.8
2010,8,wheat,205.57818422701243,0.6,subst_on,246.2
2010,9,wheat,205.18671938208513,0.6,subst_on,271.7
2010,10,wheat,201.40619384024728,0.6,subst_on,270.2
2010,11,wheat,200.07851156946253,0.6,subst_on,274.1
2010,12,wheat,199.29521754216302,0.6,subst_on,306.5
2011,1,wheat,199.03466180216554,0.6,subst_on,294.07423332279484
2011,2,wheat,198.51691885729662,0.6,subst_on,313.43306987037624
2011,3,wheat,197.5040091593006,0.6,subst_on,285.16016440088526
2011,4,wheat,197.51731146655368,0.6,subst_on,302.6281378438192
2011,5,wheat,198.405585523742,0.6,subst_on,319.9160290863105
2011,6,wheat,200.31927281877225,0.6,subst_on,293.8941511223522
2011,7,wheat,202.78437985537545,0.6,subst_on,273.6349035725577
2011,8,wheat,204.36727195556233,0.6,subst_on,294.5244388239014
2011,9,wheat,204.29066489348645,0.6,subst_on,284.43983559911476
2011,10,wheat,203.90911760806114,0.6,subst_on,260.2187796395827
2011,11,wheat,203.64196777677265,0.6,subst_on,253.01549162187797
2011,12,wheat,203.59881635725168,0.6,subst_on,242.21055959532092
2006,1,rice,348.4940715274944,0.6,subst_on,323.87897671367665
2006,2,rice,354.6456257785759,0.6,subst_on,335.21974417841915
2006,3,rice,354.2882805576311,0.6,subst_on,337.4434240734667
2006,4,rice,366.2432228044702,0.6,subst_on,336.1092161364382
2006,5,rice,363.35643185400977,0.6,subst_on,342.44670383732375
2006,6,rice,363.10038696562094,0.6,subst_on,347.44998360118075
2006,7,rice,354.6432942939738,0.6,subst_on,350.67431944899965
2006,8,rice,400.05374892039146,0.6,subst_on,347.6723515906855
2006,9,rice,408.9045247677377,0.6,subst_on,343.78091177435226
2006,10,rice,381.1993440056888,0.6,subst_on,334.66382420465726
2006,11,rice,371.42878821216175,0.6,subst_on,329.43817645129553
2006,12,rice,386.4046129499593,0.6,subst_on,339.1111839947524
2007,1,rice,996.7119108873683,0.6,subst_on,328.0554534313726
2007,2,rice,902.6735710852815,0.6,subst_on,330.15165441176475
2007,3,rice,698.6510477406255,0.6,subst_on,334.02962622549023
2007,4,rice,546.5723394010705,0.6,subst_on,331.7238051470589
2007,5,rice,452.8613213534496,0.6,subst_on,332.8767156862746
2007,6,rice,922.0776593652676,0.6,subst_on,338.85088848039226
2007,7,rice,748.3212908604876,0.6,subst_on,344.61544117647065
2007,8,rice,538.6435875101114,0.6,subst_on,343.25291053921575
2007,9,rice,436.2126089389776,0.6,subst_on,340.6326593137256
2007,10,rice,386.6432625210697,0.6,subst_on,345.0346813725491
2007,11,rice,363.1909430168887,0.6,subst_on,358.4503676470589
2007,12,rice,353.20939825484413,0.6,subst_on,378.04984681372554
2008,1,rice,634.6347405466383,0.6,subst_on,365.2597354660104
2008,2,rice,1063.627382862559,0.6,subst_on,452.00406028914176
2008,3,rice,803.1443003013442,0.6,subst_on,577.6471854813902
2008,4,rice,562.8944230970176,0.6,subst_on,882.0302983697322
2008,5,rice,444.75357123175047,0.6,subst_on,876.973454321747
2008,6,rice,386.21449744704296,0.6,subst_on,736.1597969855428
2008,7,rice,356.66162447284273,0.6,subst_on,711.653552752999
2008,8,rice,342.7598886927036,0.6,subst_on,674.4079513995692
2008,9,rice,337.71295501624354,0.6,subst_on,664.9749923100583
2008,10,rice,336.3652226028678,0.6,subst_on,592.5259766225776
2008,11,rice,335.76803846462667,0.6,subst_on,536.8034450938172
2008,12,rice,333.9941773322496,0.6,subst_on,517.159550907413
2009,1,rice,330.7752826007003,0.6,subst_on,601.3189189189189
2009,2,rice,328.90738013541807,0.6,subst_on,612.5158918918919
2009,3,rice,328.3766371818423,0.6,subst_on,609.924
2009,4,rice,329.12620349049246,0.6,subst_on,569.9051891891893
2009,5,rice,329.9636244923762,0.6,subst_on,552.5913513513514
2009,6,rice,330.1085050852615,0.6,subst_on,595.6167567567568
2009,7,rice,329.5470150856853,0.6,subst_on,593.0248648648649
2009,8,rice,329.67592026155205,0.6,subst_on,545.6450810810811
2009,9,rice,331.12636853455876,0.6,subst_on,537.8694054054054
2009,10,rice,332.97172481214835,0.6,subst_on,511.1210810810811
2009,11,rice,334.273703230818,0.6,subst_on,562.7515675675676
2009,12,rice,334.23725213781086,0.6,subst_on,612.7232432432432
2010,1,rice,332.48496502833774,0.6,subst_on,568.8
2010,2,rice,331.30351166479505,0.6,subst_on,535.0
2010,3,rice,330.89022341518694,0.6,subst_on,502.2
2010,4,rice,331.33380755858934,0.6,subst_on,466.0
2010,5,rice,331.8640551491041,0.6,subst_on,451.3
2010,6,rice,331.8828471547537,0.6,subst_on,440.0
2010,7,rice,331.35868291692884,0.6,subst_on,441.8
2010,8,rice,330.96988087498937,0.6,subst_on,452.8
2010,9,rice,332.4307627842659,0.6,subst_on,476.5
2010,10,rice,333.69482299342235,0.6,subst_on,486.0
2010,11,rice,334.3752066447529,0.6,subst_on,514.5
2010,12,rice,333.2002357849215,0.6,subst_on,532.0
2011,1,rice,329.89796101621937,0.6,subst_on,465.4055248618784
2011,2,rice,327.8908827405107,0.6,subst_on,471.88950276243094
2011,3,rice,327.26118029358656,0.6,subst_on,443.7922651933702
2011,4,rice,327.85512508729147,0.6,subst_on,436.1375690607735
2011,5,rice,328.6281500053048,0.6,subst_on,433.5259668508287
2011,6,rice,328.67744507950476,0.6,subst_on,462.7038674033149
2011,7,rice,327.879010071469,0.6,subst_on,484.7674033149171
2011,8,rice,327.42085388994894,0.6,subst_on,509.71270718232046
2011,9,rice,329.2423099738792,0.6,subst_on,539.2508287292817
2011,10,rice,330.75298855158644,0.6,subst_on,539.7911602209945
2011,11,rice,331.48911822595323,0.6,subst_on,554.1099447513812
2011,12,rice,331.71046943227435,0.6,subst_on,527.5436464088398
2006,1,maize,138.67992294842287,0.6,subst_on,114.15791632485644
2006,2,maize,141.35708587948517,0.6,subst_on,119.04881050041016
2006,3,maize,142.81085729590723,0.6,subst_on,117.04799015586543
2006,4,maize,143.53432658473022,0.6,subst_on,119.7157506152584
2006,5,maize,143.20887733499697,0.6,subst_on,122.93929450369151
2006,6,maize,143.2083291148868,0.6,subst_on,121.60541427399508
2006,7,maize,143.11822760880602,0.6,subst_on,126.71862182116487
2006,8,maize,258.8256878992289,0.6,subst_on,129.6086956521739
2006,9,maize,214.6399291014542,0.6,subst_on,135.27768662838392
2006,10,maize,180.5097837922616,0.6,subst_on,158.06480721903196
2006,11,maize,173.24188977899612,0.6,subst_on,182.85274815422477
2006,12,maize,192.43652647771307,0.6,subst_on,178.29532403609517
2007,1,maize,444.7061969242058,0.6,subst_on,172.65241295051928
2007,2,maize,459.1060780783311,0.6,subst_on,185.74801466096525
2007,3,maize,313.96953778190885,0.6,subst_on,178.6240073304826
2007,4,maize,236.51390448816454,0.6,subst_on,159.9758704948076
2007,5,maize,195.81079884357007,0.6,subst_on,167.8332315210751
2007,6,maize,175.10140019417275,0.6,subst_on,173.0714722052535
2007,7,maize,166.15532892877957,0.6,subst_on,153.7947464874771
2007,8,maize,172.9972541180587,0.6,subst_on,158.40439828955408
2007,9,maize,170.28886031915658,0.6,subst_on,166.99511301160663
2007,10,maize,158.59839891071425,0.6,subst_on,172.02382406841784
2007,11,maize,153.63278215407303,0.6,subst_on,179.46212583995117
2007,12,maize,157.92077398123666,0.6,subst_on,188.89095907147225
2008,1,maize,161.51053756171265,0.6,subst_on,201.04840878529808
2008,2,maize,163.6698361000267,0.6,subst_on,214.08202599731064
2008,3,maize,164.97796251021666,0.6,subst_on,227.99103541013
2008,4,maize,165.78928218000277,0.6,subst_on,239.6629314208875
