crop,n_country_years,median_stock_ratio,mean_stock_ratio,median_cons_ratio,dstock_sign,dstock_n,mean_ratio_world,china_psd_share,mean_ratio_ex_china,my_month,best_month,best_ratio,best_corr,mean_ratio_ex_china_india
wheat,83,0.46012718281215326,0.7308516843527505,0.9189371372471815,35,83,1.022154417479786,0.28375289980729734,1.0857832573867796,5,3,0.9994393022697042,0.9846199914177529,
maize,56,1.7028705307676717,2.000488439759052,0.9264980041431607,42,80,1.081023093333535,0.35078293228630625,1.4879012520031598,8,8,1.081023093333535,0.3515310250351621,
rice,53,1.0638987883107625,1.442709103750544,0.8344842752461543,36,64,1.0479560263664742,0.44251462818647375,1.1418851481016608,8,8,1.0479560263664742,0.9173759840350182,1.1714025993265011
