country,mean_offer_window,mean_export_window,mean_cut_window,mean_stock
USA,11.47041429640348,1.341793813945317,0.0,17.964050201946932
Canada,10.584699731258834,1.2723443095083933,0.0,8.215700561672142
EU,29.423056335028075,1.2292320292525694,0.0,70.3931175945087
Australia,2.9138466743431413,0.6575738596619081,0.25,3.624455429076608
Kazakhstan,2.8817261023003495,0.3688917166897397,0.0,6.010261554504673
Argentina,0.9027545234433741,0.25823116922837663,0.5,3.180444435748189
Russia,0.3718759365911915,0.22733767230312227,0.9499999999999998,20.51674019674784
Ukraine,5.215463592855825,0.2241179178681297,0.42000000000000004,10.382040067650337
China,4.718562423798484,0.022271891350532848,0.25,45.08377863376785
India,0.32340516157299365,0.012637419772408107,0.9499999999999998,28.81554947843809
Thailand,0.0,0.0,0.0,0.025298083336374105
Vietnam,0.0,0.0,0.0,0.025134022064581103
Brazil,0.0,0.0,0.0,1.1418253506838758
Egypt,0.0,0.0,0.5,1.5865703375627205
Indonesia,0.0,0.0,0.0,0.1071951949810313
Mexico,0.0,0.0,0.0,0.8735023906170944
Nigeria,0.0,0.0,0.0,0.08736103842377656
RestOfWorld,0.0,0.0,0.0,27.2670474004833
