year,month,model_price,world_stock,obs_price,grain,subst_scale,leg
2006,1,210.27932285759124,213.26273610623446,185.92291666666668,wheat,0.0,full
2006,2,203.67563950718534,160.36216463907334,199.9338541666667,wheat,0.0,full
2006,3,198.40753441405303,123.914901767305,193.92916666666667,wheat,0.0,full
2006,4,206.42740052080538,110.14239804598608,200.48984375000003,wheat,0.0,full
2006,5,196.90052022219965,121.8421362968788,214.834375,wheat,0.0,full
2006,6,195.3358802628871,149.9165430144832,217.05833333333337,wheat,0.0,full
2006,7,191.61358937912433,257.56818365397066,225.06458333333336,wheat,0.0,full
2006,8,187.11514647286293,357.888066243552,211.16484375,wheat,0.0,full
2006,9,188.6222842846184,382.8757887699273,217.94791666666669,wheat,0.0,full
2006,10,211.65230160315306,342.5017638449267,235.85078125,wheat,0.0,full
2006,11,247.39019231958304,294.28249641025707,233.18203125,wheat,0.0,full
2006,12,252.75668292844026,251.66221446313682,227.17734375000003,wheat,0.0,full
2007,1,262.23871870789026,208.9236866600618,205.47468652037617,wheat,0.0,full
2007,2,269.737104216709,163.82789567462981,209.56112852664577,wheat,0.0,full
2007,3,270.58395700704364,132.55928575807667,208.61810344827583,wheat,0.0,full
2007,4,309.19521837148307,119.77890971711751,207.77985893416923,wheat,0.0,full
2007,5,321.0973287992954,134.81529600503592,205.05556426332285,wheat,0.0,full
2007,6,329.18878841643186,165.879386043281,233.66065830721,wheat,0.0,full
2007,7,341.61814047794735,274.32891890996325,249.79686520376177,wheat,0.0,full
2007,8,369.43147771946377,375.6268938748136,272.1151253918495,wheat,0.0,full
2007,9,360.45567357587584,404.83376757819593,342.1085423197492,wheat,0.0,full
2007,10,368.7739432012626,368.9587948954216,351.11967084639497,wheat,0.0,full
2007,11,390.28511971701846,325.67185808454656,337.183855799373,wheat,0.0,full
2007,12,398.0435016001335,288.08149610093835,386.22115987460813,wheat,0.0,full
2008,1,412.7165872855711,247.77331017186214,360.5796625766871,wheat,0.0,full
2008,2,424.4423255391528,200.23039081798677,413.3972392638037,wheat,0.0,full
2008,3,428.3418367147495,169.29275219889257,427.6959202453988,wheat,0.0,full
2008,4,471.02357531812015,155.28325450948824,352.31171779141107,wheat,0.0,full
2008,5,507.69257591763926,164.60696987164332,319.82355828220864,wheat,0.0,full
2008,6,531.1553551902472,197.83961597167595,339.08300613496937,wheat,0.0,full
2008,7,525.8153719922841,333.6315934892927,319.2399386503067,wheat,0.0,full
2008,8,519.3610808997687,455.92547983670124,320.30990797546013,wheat,0.0,full
2008,9,480.0276198425693,484.39614483410094,287.5299386503068,wheat,0.0,full
2008,10,435.5127525747767,442.57685849790585,230.91883435582824,wheat,0.0,full
2008,11,400.7282919622444,393.8242961387784,220.60822085889572,wheat,0.0,full
2008,12,373.5717812420644,351.922121009457,214.09113496932517,wheat,0.0,full
2009,1,349.5575257934224,309.2596018305624,247.8488621151272,wheat,0.0,full
2009,2,327.47827534635206,259.6293582326988,232.9219544846051,wheat,0.0,full
2009,3,303.30346127597045,225.15795419497726,239.45247657295852,wheat,0.0,full
2009,4,291.84296988590216,207.47931544103164,242.0439535921464,wheat,0.0,full
2009,5,295.0919398850298,211.05536956792545,271.06849620705043,wheat,0.0,full
2009,6,304.85424114893107,238.5606255704319,265.98920124944226,wheat,0.0,full
2009,7,308.612719010373,360.5077638366749,233.12927264614015,wheat,0.0,full
2009,8,329.12712683983926,474.4547424724135,218.09870593485053,wheat,0.0,full
