crop,country,year,model_full,model_shocks,d_amis,psd,model_over_psd,psd_yoy
wheat,Russia,2006,13.34349185093418,13.34349185093418,0.0,10.790000000000001,1.2366535543034456,1.011815453863466
wheat,Russia,2007,9.098442505435221,10.979298687693383,-1.880856182258162,12.22,0.7445533965167939,1.1325301204819276
wheat,Russia,2008,11.519827943226282,11.094359987031115,0.42546795619516686,18.393,0.6263158779549982,1.5051554828150573
wheat,Russia,2009,13.050024524758216,17.179883370178892,-4.129858845420676,18.556,0.7032778898878107,1.008862067090741
wheat,Russia,2010,9.962995207850183,10.353326074417023,-0.39033086656684013,3.983,2.501379665541095,0.21464755335201552
wheat,Russia,2011,3.8750720186688636,6.113572688005832,-2.2385006693369687,21.627,0.1791775104577086,5.42982676374592
wheat,Ukraine,2006,4.412187369231535,4.412187369231535,0.0,3.366,1.3108102701222624,0.5209719857607181
wheat,Ukraine,2007,1.7913383938582128,1.899701772903353,-0.10836337904514015,1.236,1.4493029076522757,0.3672014260249554
wheat,Ukraine,2008,2.3800398033158094,2.56813658403509,-0.1880967807192806,13.037,0.18256038991453627,10.547734627831716
wheat,Ukraine,2009,3.4369884675410916,5.648955866283744,-2.2119673987426527,9.337,0.36810415203396074,0.7161923755465214
wheat,Ukraine,2010,3.4914354039780173,3.899256428770274,-0.40782102479225646,4.3020000000000005,0.8115842408131141,0.4607475634572133
wheat,Ukraine,2011,1.6543189930908886,1.2674415019573382,0.3868774911335504,5.436,0.304326525586992,1.2635983263598325
wheat,USA,2006,22.202804195443804,22.202804195443804,0.0,24.725,0.8979900584608211,0.9059763291927743
wheat,USA,2007,21.725660896354476,22.39631168128522,-0.6706507849307428,34.363,0.6322399352895404,1.3898078867542971
wheat,USA,2008,24.735318224638647,28.362004764152495,-3.626686539513848,27.635,0.8950721268188401,0.8042080144341298
wheat,USA,2009,24.619402639513762,22.945781963959423,1.6736206755543392,23.931,1.028766145982774,0.8659670707436222
wheat,USA,2010,25.325333712970973,24.052056424561304,1.2732772884096697,35.147,0.7205546337659252,1.4686807906063264
wheat,USA,2011,11.616909328017295,15.85023221184227,-4.233322883824975,28.606,0.4061004449422252,0.8138959228383646
wheat,Argentina,2006,12.125936510018633,12.125936510018633,0.0,10.721,1.1310452858892486,1.1127140633108459
wheat,Argentina,2007,10.15873198588,11.722517951085292,-1.5637859652052928,11.208,0.9063822257209135,1.0454248670832944
wheat,Argentina,2008,8.783294265760134,9.518792184110094,-0.7354979183499601,6.7940000000000005,1.2928016287548032,0.6061741613133477
wheat,Argentina,2009,5.823215223458725,6.692139161792106,-0.8689239383333813,5.099,1.1420308341750784,0.7505151604356786
wheat,Argentina,2010,7.345954814867113,9.362215552653048,-2.0162607377859345,9.494,0.7737470839337596,1.8619337124926456
wheat,Argentina,2011,6.575654458097951,8.71043706664357,-2.1347826085456187,12.925,0.5087546969514856,1.3613861386138615
wheat,Australia,2006,12.435126419451507,12.435126419451507,0.0,8.728,1.4247395072698794,0.5450911816137897
wheat,Australia,2007,6.8379193066078665,6.861208121594464,-0.023288814986597295,7.487,0.9133056373190686,0.857813932172319
wheat,Australia,2008,9.81439614395267,10.088296303377136,-0.2739001594244659,14.747,0.6655181490440544,1.969680780018699
wheat,Australia,2009,9.848623453312905,12.740068270281427,-2.891444816968521,14.827,0.6642357491949084,1.0054248321692547
wheat,Australia,2010,10.753320095024336,14.765552253771,-4.012232158746665,18.6,0.5781354889798029,1.2544681999055778
wheat,Australia,2011,9.61463255011033,12.112144505375824,-2.4975119552654945,24.661,0.38987196586149503,1.3258602150537635
wheat,EU,2006,4.647890607175951,4.647890607175951,0.0,13.946,0.3332776858723613,0.8904923057276036
