crop,country,year,model_full,model_shocks,d_amis,psd,model_over_psd,psd_yoy
maize,USA,2006,74.0268197628587,74.0268197628587,0.0,53.987,1.3711971356596715,0.9960517333628531
maize,USA,2007,49.542662297486736,49.65685035302868,-0.11418805554194478,61.913000000000004,0.8001980569102891,1.1468131216774409
maize,USA,2008,47.93119978675624,57.05985675274844,-9.1286569659922,46.965,1.0205727624136323,0.7585644371941273
maize,USA,2009,39.783071193744426,31.05273806163057,8.730333132113856,50.27,0.7913879290579754,1.0703715532843607
maize,USA,2010,35.20355826436325,29.286137131926353,5.9174211324369,46.508,0.7569355436562151,0.925164113785558
maize,USA,2011,15.418032791586004,9.700233286370892,5.717799505215112,39.096000000000004,0.39436343338413143,0.8406295691063903
maize,Argentina,2006,15.124775739422923,15.124775739422923,0.0,15.374,0.9837892376364591,1.6207041956567572
maize,Argentina,2007,11.882936121013477,13.778771848877795,-1.895835727864318,14.799,0.8029553429970591,0.9625991934434759
maize,Argentina,2008,6.668769518036644,8.435101583959153,-1.7663320659225086,10.324,0.6459482291782879,0.6976147036961957
maize,Argentina,2009,6.265290442591963,12.454326196693865,-6.189035754101901,16.504,0.37962254257101086,1.5986051917861295
maize,Argentina,2010,9.093286751553046,11.933308136648463,-2.840021385095417,16.349,0.5561983455595477,0.990608337372758
maize,Argentina,2011,5.63623170218586,8.910931748954729,-3.274700046768869,17.149,0.32866241192990026,1.0489326564315862
maize,Brazil,2006,11.031812627422696,11.031812627422696,0.0,10.836,1.018070563623357,2.3957550298474466
maize,Brazil,2007,16.207567497081087,16.46320642447241,-0.255638927391324,7.791,2.0802936076345895,0.7189922480620156
maize,Brazil,2008,8.234918504612459,11.584713222674118,-3.349794718061659,7.136,1.1539964272158714,0.9159286356051854
maize,Brazil,2009,3.7526615183087886,7.696781753311285,-3.9441202350024964,11.599,0.3235331940950762,1.625420403587444
maize,Brazil,2010,4.976446739085224,7.691194131423557,-2.7147473923383325,8.404,0.5921521583871042,0.7245452194154668
maize,Brazil,2011,3.1494330604117353,7.194182469932121,-4.044749409520386,24.337,0.1294092558824726,2.8958829128986197
maize,Ukraine,2006,2.014765293292883,2.014765293292883,0.0,1.027,1.9617967802267606,0.41680194805194803
maize,Ukraine,2007,2.0201197262757145,1.994262561659765,0.025857164615949557,2.074,0.9740210830644719,2.0194741966893868
maize,Ukraine,2008,1.215126773367337,1.795954519757992,-0.580827746390655,5.497,0.2210527148203269,2.650433944069431
maize,Ukraine,2009,0.8466180859068726,2.1497810698178674,-1.3031629839109948,5.072,0.16691996961886288,0.9226851009641623
maize,Ukraine,2010,0.9583207888148852,1.7921651814414503,-0.8338443926265651,5.008,0.19135798498699785,0.9873817034700315
maize,Ukraine,2011,0.65775711192703,1.7918152774821499,-1.1340581655551198,15.208,0.04325073066327131,3.036741214057508
maize,EU,2006,0.01320603300409378,0.01320603300409378,0.0,0.604,0.0218642930531354,1.3187772925764192
maize,EU,2007,0.015514776057383816,0.014053903988589338,0.0014608720687944773,0.508,0.030540897750755542,0.8410596026490067
maize,EU,2008,0.10023285434491876,0.12007576622332525,-0.01984291187840649,1.873,0.0535146045621563,3.687007874015748
maize,EU,2009,0.4137197662814117,0.15510532407325983,0.2586144422081519,1.569,0.2636837261194466,0.8376935397757608
maize,EU,2010,0.341241944296367,0.2410780891435491,0.1001638551528179,1.096,0.31135213895653924,0.6985340981516891
maize,EU,2011,0.3759017953244663,0.25646842170337536,0.11943337362109097,3.287,0.11436014460738252,2.9990875912408756
