year,month,model_price,world_stock,leg,obs_price
2006,1,210.27932285759124,213.26273610623446,full,185.92291666666668
2006,2,203.67563950718534,160.36216463907334,full,199.9338541666667
2006,3,198.40753441405303,123.914901767305,full,193.92916666666667
2006,4,206.42740052080538,110.14239804598608,full,200.48984375000003
2006,5,196.90052022219965,121.8421362968788,full,214.834375
2006,6,195.3358802628871,149.9165430144832,full,217.05833333333337
2006,7,191.61358937912433,257.56818365397066,full,225.06458333333336
2006,8,187.11514647286293,357.888066243552,full,211.16484375
2006,9,188.6222842846184,382.8757887699273,full,217.94791666666669
2006,10,211.65230160315306,342.5017638449267,full,235.85078125
2006,11,247.39019231958304,294.28249641025707,full,233.18203125
2006,12,252.75668292844026,251.66221446313682,full,227.17734375000003
2007,1,262.23871870789026,208.9236866600618,full,205.47468652037617
2007,2,269.737104216709,163.82789567462981,full,209.56112852664577
2007,3,270.58395700704364,132.55928575807667,full,208.61810344827583
2007,4,309.19521837148307,119.77890971711751,full,207.77985893416923
2007,5,321.0973287992954,134.81529600503592,full,205.05556426332285
2007,6,329.18878841643186,165.879386043281,full,233.66065830721
2007,7,341.61814047794735,274.32891890996325,full,249.79686520376177
2007,8,369.43147771946377,375.6268938748136,full,272.1151253918495
2007,9,360.45567357587584,404.83376757819593,full,342.1085423197492
2007,10,368.7739432012626,368.9587948954216,full,351.11967084639497
2007,11,390.28511971701846,325.67185808454656,full,337.183855799373
2007,12,398.0435016001335,288.08149610093835,full,386.22115987460813
2008,1,412.7165872855711,247.77331017186214,full,360.5796625766871
2008,2,424.4423255391528,200.23039081798677,full,413.3972392638037
2008,3,428.3418367147495,169.29275219889257,full,427.6959202453988
2008,4,471.02357531812015,155.28325450948824,full,352.31171779141107
2008,5,507.69257591763926,164.60696987164332,full,319.82355828220864
2008,6,531.1553551902472,197.83961597167595,full,339.08300613496937
2008,7,525.8153719922841,333.6315934892927,full,319.2399386503067
2008,8,519.3610808997687,455.92547983670124,full,320.30990797546013
2008,9,480.0276198425693,484.39614483410094,full,287.5299386503068
2008,10,435.5127525747767,442.57685849790585,full,230.91883435582824
2008,11,400.7282919622444,393.8242961387784,full,220.60822085889572
2008,12,373.5717812420644,351.922121009457,full,214.09113496932517
2009,1,349.5575257934224,309.2596018305624,full,247.8488621151272
2009,2,327.47827534635206,259.6293582326988,full,232.9219544846051
2009,3,303.30346127597045,225.15795419497726,full,239.45247657295852
2009,4,291.84296988590216,207.47931544103164,full,242.0439535921464
2009,5,295.0919398850298,211.05536956792545,full,271.06849620705043
2009,6,304.85424114893107,238.5606255704319,full,265.98920124944226
2009,7,308.612719010373,360.5077638366749,full,233.12927264614015
2009,8,329.12712683983926,474.4547424724135,full,218.09870593485053
2009,9,311.36798557195505,502.2437008465589,full,198.09250334672024
2009,10,287.209941825433,458.5764829883907,full,206.07425256581885
2009,11,268.2188327979357,407.2356339138102,full,218.7206604194556
2009,12,254.67874196896707,362.2957940073079,full,213.84868362338244
2010,1,243.69687382357984,318.0712989348201,full,201.2
2010,2,229.17430382665586,265.90745728263204,full,194.0
2010,3,214.835312780776,227.98645139487368,full,191.1
2010,4,217.41501639774492,206.26162905820004,full,192.9
2010,5,220.98575501201586,205.41138809629166,full,181.6
2010,6,234.8066383084901,227.58000802409146,full,157.7
2010,7,252.2356135576679,335.70147496093546,full,195.8
2010,8,297.82816513968965,429.71126664390465,full,246.2
2010,9,324.0484598105983,448.3299733862981,full,271.7
2010,10,342.00209235809234,409.51534399602735,full,270.2
2010,11,365.5231204434369,367.0845239307785,full,274.1
2010,12,389.0348197058098,330.94826966940593,full,306.5
2011,1,413.2118540734051,291.7105575443269,full,294.07423332279484
2011,2,440.91531173377064,243.81213889826228,full,313.43306987037624
2011,3,460.8007755296468,212.01296596426116,full,285.16016440088526
2011,4,486.14245027310693,197.59628542724164,full,302.6281378438192
2011,5,508.7353187213082,203.74627202171973,full,319.9160290863105
2011,6,524.9331161234777,231.3310569168141,full,293.8941511223522
2011,7,521.0059227846484,348.6349634926554,full,273.6349035725577
2011,8,520.2830153544701,459.5062470716815,full,294.5244388239014
2011,9,496.49940015721364,488.1948577713482,full,284.43983559911476
2011,10,463.277815876924,448.39902840189893,full,260.2187796395827
2011,11,431.4502894850477,401.7392734502509,full,253.01549162187797
2011,12,406.9302733918595,361.0613939226803,full,242.21055959532092
2006,1,210.27932285759124,213.26273610623446,shocks,185.92291666666668
2006,2,203.67563950718534,160.36216463907334,shocks,199.9338541666667
2006,3,198.40753441405303,123.914901767305,shocks,193.92916666666667
2006,4,206.42740052080538,110.14239804598608,shocks,200.48984375000003
2006,5,196.90052022219965,121.8421362968788,shocks,214.834375
2006,6,195.3358802628871,149.9165430144832,shocks,217.05833333333337
2006,7,191.61358937912433,257.56818365397066,shocks,225.06458333333336
2006,8,187.11514647286293,357.888066243552,shocks,211.16484375
2006,9,188.6222842846184,382.8757887699273,shocks,217.94791666666669
2006,10,211.65230160315306,342.5017638449267,shocks,235.85078125
2006,11,247.39019231958304,294.28249641025707,shocks,233.18203125
2006,12,252.75668292844026,251.66221446313682,shocks,227.17734375000003
2007,1,262.23871870789026,208.9236866600618,shocks,205.47468652037617
2007,2,269.57762245863637,163.82721539361998,shocks,209.56112852664577
