year,my_month,model_ending_stock,model_my_end_stock,psd_ending_stocks,psd_consumption,psd_stu,model_stu,model_my_stu,model_my_end_ex_china,psd_ending_ex_china,psd_consumption_ex_china,model_my_stu_ex_china,psd_stu_ex_china,china_model_stock,china_psd_stock,china_psd_share
2006,5,242.3818651750457,126.28486094850233,134.77800000000005,492.91700000000003,0.27342940089305107,0.491729571459385,0.2561990374616869,96.74886046273447,96.21000000000005,390.91700000000003,0.2474920775068223,0.24611362514293328,29.536000485767854,38.568,0.2861594622267728
2007,5,276.7330794525966,139.44439167938197,129.21599999999998,497.22700000000003,0.2598732570837866,0.5565528007380866,0.28044412648424555,105.75717546435442,89.94199999999998,391.22700000000003,0.2703217709011761,0.2298972207950882,33.68721621502755,39.274,0.3039406884596335
2008,5,339.75266196426384,166.63491550088773,170.28500000000003,509.148,0.33445088657914795,0.6672964677544915,0.3272818816942966,125.53332181778735,123.85200000000003,403.648,0.31099701179688083,0.30683169494212786,41.101593683100376,46.433,0.2726781572070352
2009,5,351.7823878303979,212.2456075386673,203.78500000000003,525.772,0.38759196001308555,0.6690778280897383,0.4036837403640119,162.01423839065242,149.55400000000003,417.27200000000005,0.38827009334595275,0.35840890354492994,50.23136914801486,54.231,0.266118703535589
2010,5,321.28954443390194,207.42026883789063,199.61700000000002,531.548,0.37553899177496675,0.604441262941262,0.3902192630541186,158.85815817957953,140.80700000000002,420.048,0.37819048818130196,0.3352164514531673,48.5621106583111,58.81,0.29461418616650886
2011,5,349.15470393897084,203.21831331978586,200.12099999999998,564.1,0.3547615670980322,0.6189588795230825,0.3602522838500015,154.48587979508608,144.28599999999997,440.6,0.3506261456992421,0.3274761688606445,48.73243352469979,55.835,0.2790062012482448
