year,month,model_price,world_stock,obs_price,grain,subst_scale,leg
2021,1,323.8846720989116,220.76321033068461,264.5185913705584,wheat,0.0,full
2021,2,335.2170164102446,165.08250193362585,264.6100253807106,wheat,0.0,full
2021,3,351.3233027141791,128.3523035344803,249.70628172588837,wheat,0.0,full
2021,4,371.21966565476384,123.03280173849456,256.9295685279188,wheat,0.0,full
2021,5,388.0060956520404,146.10525722578495,271.8333121827411,wheat,0.0,full
2021,6,404.1448694838456,179.00488838817017,261.1355329949239,wheat,0.0,full
2021,7,427.83502967954826,309.07423225635824,269.0902918781726,wheat,0.0,full
2021,8,445.03448735033106,425.39228659440266,296.70336294416245,wheat,0.0,full
2021,9,462.5883036638611,449.8885697735473,308.6812182741117,wheat,0.0,full
2021,10,491.8773733829922,404.4922642227608,324.31643401015225,wheat,0.0,full
2021,11,495.4536170762307,355.51144005173444,346.9920685279188,wheat,0.0,full
2021,12,496.3425818902829,314.4171123882689,344.5233502538071,wheat,0.0,full
2022,1,511.80534042491587,267.59221004546635,318.59213953488376,wheat,0.0,full
2022,2,521.6079778799764,211.60722004777838,332.4698837209302,wheat,0.0,full
2022,3,546.8003707628977,174.12293317073477,414.03355813953493,wheat,0.0,full
2022,4,580.9458447032779,157.73494344283188,421.6961162790698,wheat,0.0,full
2022,5,679.7402845908322,171.04068376874915,444.6837906976744,wheat,0.0,full
2022,6,706.9226321039606,206.75940461977797,391.30130232558145,wheat,0.0,full
2022,7,702.5998283365328,336.4417071101513,325.65872093023256,wheat,0.0,full
2022,8,703.5719454306017,463.55197124022254,325.99927906976745,wheat,0.0,full
2022,9,681.4652889518977,499.4415118490955,356.8197906976745,wheat,0.0,full
2022,10,640.5994942946879,456.4098928836073,372.9111627906977,wheat,0.0,full
2022,11,600.2418155021729,405.1670999899941,359.8848139534884,wheat,0.0,full
2022,12,559.3561397220159,360.034106156566,328.894023255814,wheat,0.0,full
2023,1,529.9205755780728,309.1541427627963,333.46462984723854,wheat,0.0,full
2023,2,504.3344254225538,248.31440730743412,346.0878965922444,wheat,0.0,full
2023,3,480.38310746053526,209.01230453953121,324.2601645123384,wheat,0.0,full
2023,4,462.62101948017755,191.96287259398545,331.53607520564043,wheat,0.0,full
2023,5,462.7257450133508,199.18298009163425,322.3316098707403,wheat,0.0,full
2023,6,478.19578078276606,229.58339598607097,302.87074030552293,wheat,0.0,full
2023,7,501.3663278539617,359.11073094697576,302.87074030552293,wheat,0.0,full
2023,8,519.5157770357937,483.72189753875966,276.8352526439483,wheat,0.0,full
2023,9,517.8022006268845,515.8612157590786,275.87097532314925,wheat,0.0,full
2023,10,503.7397751707916,465.02436521060633,261.31915393654526,wheat,0.0,full
2023,11,491.7257064168842,404.5658228227717,248.6082256169213,wheat,0.0,full
2023,12,512.5008879787379,351.65425107990836,255.18284371327852,wheat,0.0,full
2021,1,277.588759534558,220.50622622222517,264.5185913705584,wheat,0.0,shocks
2021,2,258.8521594449575,163.26940353947793,264.6100253807106,wheat,0.0,shocks
2021,3,248.3396934500792,124.69190584585563,249.70628172588837,wheat,0.0,shocks
2021,4,248.92076918959253,118.42042321318772,256.9295685279188,wheat,0.0,shocks
2021,5,244.40478304134604,139.66128790633283,271.8333121827411,wheat,0.0,shocks
2021,6,243.8238198323034,168.3299633745416,261.1355329949239,wheat,0.0,shocks
2021,7,242.2533159819808,293.7112031220897,269.0902918781726,wheat,0.0,shocks
2021,8,235.45316748257923,405.0751473109433,296.70336294416245,wheat,0.0,shocks
2021,9,227.46539190260637,424.6606998116608,308.6812182741117,wheat,0.0,shocks
2021,10,244.67907136934673,374.2883421817918,324.31643401015225,wheat,0.0,shocks
2021,11,270.3935794006699,320.173013519223,346.9920685279188,wheat,0.0,shocks
2021,12,284.45106382449586,274.6049568438643,344.5233502538071,wheat,0.0,shocks
2022,1,273.01207355893166,226.48959524672375,318.59213953488376,wheat,0.0,shocks
2022,2,276.30190232816693,169.5657748020464,332.4698837209302,wheat,0.0,shocks
