leg,window,grain,model_hike_ratio,obs_hike_ratio,sign_match
full,2007/08,wheat,0.8178847381566773,1.4852459016393444,False
full,2007/08,rice,1.1134672305759368,1.8651917404129792,True
full,2007/08,maize,0.911081844922222,1.6014760147601477,False
full,2010/11,wheat,0.9968963133344521,1.2260008609556607,False
full,2010/11,rice,1.053185043305562,0.8498435870698645,False
full,2010/11,maize,1.1021403554825824,1.530885780885781,True
shocks,2007/08,wheat,0.6568035334788758,1.4852459016393444,False
shocks,2007/08,rice,0.8725054325452638,1.8651917404129792,False
shocks,2007/08,maize,0.8377222102403312,1.6014760147601477,False
shocks,2010/11,wheat,0.9092151755876179,1.2260008609556607,False
shocks,2010/11,rice,0.8849156005773152,0.8498435870698645,True
shocks,2010/11,maize,1.0485394104333816,1.530885780885781,True
tau,2007/08,wheat,1.2065956486897151,1.4852459016393444,True
tau,2007/08,rice,1.2009801665462039,1.8651917404129792,True
tau,2007/08,maize,1.104582014545699,1.6014760147601477,True
tau,2010/11,wheat,1.104071687383519,1.2260008609556607,True
tau,2010/11,rice,1.074573202259191,0.8498435870698645,False
tau,2010/11,maize,1.0417957626865604,1.530885780885781,True
