crop,ablation,twin_price_drift,twin_free_err,amis_lift,amis_lift_floor,p_tau,p_base,spring_autumn,offer_ratio,ship_ratio,offer_base
wheat,baseline,0.0,0.0,0.6752521443011714,0.05,357.74395137010754,213.54633246527783,1.0,0.06345987315702543,0.5709617901712226,14.56557884124338
wheat,trade_w=1.0,0.0,0.0,1.4252558878313661,0.05,517.9045001362094,213.54633246527783,1.0,0.07055540544792761,0.5994503499798037,14.56557884124338
wheat,trade_w=0.0,0.0,0.0,0.7595995512623961,0.05,375.7560307796333,213.54633246527783,1.0,0.06020845107084251,0.5636517410687508,14.56557884124338
wheat,ask_rival=0.0,0.0,0.0,0.2690970965852262,0.05,271.01103051810753,213.54633246527783,1.0,0.055466703204856346,0.551865142007591,14.56557884124338
wheat,block_kappa=0.0,0.0,0.0,0.31344088942820836,0.05,280.4804848473264,213.54633246527783,1.0,0.05801499776889033,0.5551399671907735,14.56557884124338
wheat,unmet_kappa=0.0,0.0,0.0,0.675561044682977,0.05,357.80991591373925,213.54633246527783,1.0,0.06345604424615457,0.5710954327383181,14.56557884124338
wheat,foresight_phi=0.0,0.0,0.0,0.6752521443011714,0.05,357.74395137010754,213.54633246527783,1.0,0.06345987315702543,0.5709617901712226,14.56557884124338
wheat,foresight_phi=1.0,0.0,0.0,0.6752521443011714,0.05,357.74395137010754,213.54633246527783,1.0,0.06345987315702543,0.5709617901712226,14.56557884124338
wheat,ask_alpha=0.0,0.0,0.0,1.3374422843277793,0.05,499.1522271674585,213.54633246527783,1.0,0.07906298636344675,0.618983291620869,14.56557884124338
wheat,rebuild_lambda=0.0,0.0,0.0,1.119827524539303,0.05,452.6813933243169,213.54633246527783,1.0,0.0584477862021417,0.6621880149631553,18.85085399124309
maize,baseline,0.0,0.0,0.01875088991446061,0.0,137.98412509711596,135.44442165709597,1.0,0.2999811352223078,0.9985500298772161,11.097256760728442
maize,trade_w=1.0,0.0,0.0,-0.2671461440932873,0.0,99.26096667245746,135.44442165709597,1.0,0.2999312430851516,1.0002793146269526,11.097256760728442
maize,trade_w=0.0,0.0,0.0,0.34303507811703926,0.0,181.9066094207551,135.44442165709597,1.0,0.30015355537967603,0.9925739572971025,11.097256760728442
maize,ask_rival=0.0,0.0,0.0,-0.18746125212673992,0.0,110.05384077967463,135.44442165709597,1.0,0.2999682854488409,0.9989954080325475,11.097256760728442
maize,block_kappa=0.0,0.0,0.0,-0.12182431858950449,0.0,118.94399728197074,135.44442165709597,1.0,0.2999511561621296,0.9995891168492191,11.097256760728442
maize,unmet_kappa=0.0,0.0,0.0,0.011185153262303738,0.0,136.9593882718547,135.44442165709597,1.0,0.29998112819482475,0.9985502734523309,11.097256760728442
maize,foresight_phi=0.0,0.0,0.0,0.01875088991446061,0.0,137.98412509711596,135.44442165709597,1.0,0.2999811352223078,0.9985500298772161,11.097256760728442
maize,foresight_phi=1.0,0.0,0.0,0.01875088991446061,0.0,137.98412509711596,135.44442165709597,1.0,0.2999811352223078,0.9985500298772161,11.097256760728442
maize,ask_alpha=0.0,0.0,0.0,0.8392867467282406,0.0,249.1211296721681,135.44442165709597,1.0,0.3000644113693657,0.9956636626901539,11.097256760728442
maize,rebuild_lambda=0.0,0.0,0.0,0.01381564660472856,0.0,137.31567392129224,135.44442165709597,1.0,0.2999845038956781,1.003304876435635,13.230930409040347
rice,baseline,0.0,0.0,0.9241709191262906,0.05,652.2761134996979,338.99073466710394,1.0,0.5594150014908076,0.7870391599473431,7.6782000989422405
rice,trade_w=1.0,0.0,0.0,1.6306232802916445,0.05,891.7569184184514,338.99073466710394,1.0,0.5838723558003255,0.7469559007413227,7.6782000989422405
rice,trade_w=0.0,0.0,0.0,0.23873791351115914,0.05,419.9206753611433,338.99073466710394,1.0,0.5496813249590236,0.882794788657815,7.6782000989422405
rice,ask_rival=0.0,0.0,0.0,0.21841300239074535,0.05,413.03071880839065,338.99073466710394,1.0,0.5292877571049435,0.9397200866688922,7.6782000989422405
rice,block_kappa=0.0,0.0,0.0,0.6647766294840936,0.05,564.3438526854379,338.99073466710394,1.0,0.5491917960761814,0.8525003098090695,7.6782000989422405
rice,unmet_kappa=0.0,0.0,0.0,0.9216475212721202,0.05,651.4207050072553,338.99073466710394,1.0,0.5593784587507777,0.7877462310041932,7.6782000989422405
rice,foresight_phi=0.0,0.0,0.0,0.9241709191262906,0.05,652.2761134996979,338.99073466710394,1.0,0.5594150014908076,0.7870391599473431,7.6782000989422405
rice,foresight_phi=1.0,0.0,0.0,0.9241709191262906,0.05,652.2761134996979,338.99073466710394,1.0,0.5594150014908076,0.7870391599473431,7.6782000989422405
rice,ask_alpha=0.0,0.0,0.0,0.9702853526972719,0.05,667.9084792146822,338.99073466710394,1.0,0.5609698099343221,0.7647329781138132,7.6782000989422405
rice,rebuild_lambda=0.0,0.0,0.0,0.6623179789919471,0.05,563.5103929488156,338.99073466710394,1.0,0.5405751102263673,0.24153225488473262,8.114658695005465
