crop,ablation,max_abs_delta,worst_metric
wheat,trade_w=1.0,0.8529011094704537,hike_2007_08
wheat,trade_w=0.0,0.8376319947399551,hike_2007_08
wheat,ask_rival=0.0,0.7409118532692576,hike_2007_08
wheat,block_kappa=0.0,0.3618112548729631,amis_lift
wheat,unmet_kappa=0.0,0.3368281402643374,hike_2010_11
wheat,foresight_phi=0.0,0.019578212766497405,hike_2007_08
wheat,foresight_phi=1.0,0.015085933466042478,hike_2010_11
wheat,ask_alpha=0.0,0.6621901400266077,amis_lift
wheat,rebuild_lambda=0.0,0.4445753802381316,amis_lift
maize,trade_w=1.0,1.0643778739836784,hike_2007_08
maize,trade_w=0.0,1.1186872180528822,hike_2010_11
maize,ask_rival=0.0,0.5933013165527601,hike_2010_11
maize,block_kappa=0.0,0.3192654872914107,hike_2010_11
maize,unmet_kappa=0.0,0.2999582809080128,hike_2010_11
maize,foresight_phi=0.0,0.30365066961829457,hike_2007_08
maize,foresight_phi=1.0,0.2530900544628951,hike_2007_08
maize,ask_alpha=0.0,0.8205358568137799,amis_lift
maize,rebuild_lambda=0.0,0.37284733583895413,hike_2007_08
rice,trade_w=1.0,0.7064523611653539,amis_lift
rice,trade_w=0.0,0.883613043025431,hike_2007_08
rice,ask_rival=0.0,0.7079128747180807,hike_2007_08
rice,block_kappa=0.0,0.3444970594014636,hike_2007_08
rice,unmet_kappa=0.0,0.0071063267416759945,hike_2010_11
rice,foresight_phi=0.0,0.0510138512286642,hike_2010_11
rice,foresight_phi=1.0,0.035135487808755306,hike_2010_11
rice,ask_alpha=0.0,0.1447945643257782,hike_2007_08
rice,rebuild_lambda=0.0,0.5455069050626105,ship_ratio
