crop,leg,ablation,override,corr,hike_2007_08,hike_2010_11,obs_hike_2007_08,obs_hike_2010_11,assert_twin_identity,assert_amis_raises_price,assert_no_spring_spike,assert_amis_cuts_exports,amis_lift,offer_ratio,ship_ratio,spring_autumn,twin_price_drift,twin_free_err
wheat,full,baseline,-,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.6752521443011714,0.06345987315702543,0.5709617901712226,1.0,0.0,0.0
wheat,shocks,baseline,-,0.3997194741797231,1.2014672319865163,1.8533119200721646,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.6752521443011714,0.06345987315702543,0.5709617901712226,1.0,0.0,0.0
wheat,full,trade_w=1.0,trade_w=1.0,0.18815630666958663,1.414475375163737,1.8439917592382493,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,1.4252558878313661,0.07055540544792761,0.5994503499798037,1.0,0.0,0.0
wheat,shocks,trade_w=1.0,trade_w=1.0,-0.3783212692862791,0.5825056507521366,1.0086465284284802,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,1.4252558878313661,0.07055540544792761,0.5994503499798037,1.0,0.0,0.0
wheat,full,trade_w=0.0,trade_w=0.0,0.5618128611605904,1.4297444898942355,1.0291038470951674,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.7595995512623961,0.06020845107084251,0.5636517410687508,1.0,0.0,0.0
wheat,shocks,trade_w=0.0,trade_w=0.0,0.40442480115929424,1.152512097564433,1.5332925077706558,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.7595995512623961,0.06020845107084251,0.5636517410687508,1.0,0.0,0.0
wheat,full,ask_rival=0.0,ask_rival=0.0,0.6851645834191433,1.526464631364933,1.520828077195657,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.2690970965852262,0.055466703204856346,0.551865142007591,1.0,0.0,0.0
wheat,shocks,ask_rival=0.0,ask_rival=0.0,0.3997194741797231,1.2014672319865163,1.8533119200721646,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.2690970965852262,0.055466703204856346,0.551865142007591,1.0,0.0,0.0
wheat,full,block_kappa=0.0,block_kappa=0.0,0.6896854096395911,1.9205255690350216,1.366772416629285,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.31344088942820836,0.05801499776889033,0.5551399671907735,1.0,0.0,0.0
wheat,shocks,block_kappa=0.0,block_kappa=0.0,0.3997194741797231,1.2014672319865163,1.8533119200721646,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.31344088942820836,0.05801499776889033,0.5551399671907735,1.0,0.0,0.0
wheat,full,unmet_kappa=0.0,unmet_kappa=0.0,0.6839631157978171,2.240701549377304,1.4466746672167639,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.675561044682977,0.06345604424615457,0.5710954327383181,1.0,0.0,0.0
wheat,shocks,unmet_kappa=0.0,unmet_kappa=0.0,0.4751715834241689,1.1722738304230935,1.5164837798078274,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.675561044682977,0.06345604424615457,0.5710954327383181,1.0,0.0,0.0
wheat,full,foresight_phi=0.0,foresight_phi=0.0,0.7240241431171899,2.2766036739501656,1.4577151216615414,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.6752521443011714,0.06345987315702543,0.5709617901712226,1.0,0.0,0.0
wheat,shocks,foresight_phi=0.0,foresight_phi=0.0,0.40754541702641195,1.2210454447530141,1.8543026129105098,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.6752521443011714,0.06345987315702543,0.5709617901712226,1.0,0.0,0.0
wheat,full,foresight_phi=1.0,foresight_phi=1.0,0.7211708282757121,2.272860358413522,1.4321817574592894,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.6752521443011714,0.06345987315702543,0.5709617901712226,1.0,0.0,0.0
wheat,shocks,foresight_phi=1.0,foresight_phi=1.0,0.40284502576158665,1.1912832466210879,1.8603570231745388,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,0.6752521443011714,0.06345987315702543,0.5709617901712226,1.0,0.0,0.0
wheat,full,ask_alpha=0.0,ask_alpha=0.0,0.5156038150879391,2.2886509840689118,0.984009898024272,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,1.3374422843277793,0.07906298636344675,0.618983291620869,1.0,0.0,0.0
wheat,shocks,ask_alpha=0.0,ask_alpha=0.0,0.5704718137126634,1.1923828959744749,1.3292795182009907,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,1.3374422843277793,0.07906298636344675,0.618983291620869,1.0,0.0,0.0
wheat,full,rebuild_lambda=0.0,rebuild_lambda=0.0,0.6420386879813637,2.1293572158089282,1.4925308171018843,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,1.119827524539303,0.0584477862021417,0.6621880149631553,1.0,0.0,0.0
wheat,shocks,rebuild_lambda=0.0,rebuild_lambda=0.0,0.42618803195970173,1.1359022013984617,1.5739029420865063,1.8165638656251262,1.1590269664976314,PASS,PASS,PASS,PASS,1.119827524539303,0.0584477862021417,0.6621880149631553,1.0,0.0,0.0
maize,full,baseline,-,0.7115343015231028,1.9716551959162116,1.698938753871961,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01875088991446061,0.2999811352223078,0.9985500298772161,1.0,0.0,0.0
maize,shocks,baseline,-,0.27125639641127436,1.1128294093387223,1.0100061964277562,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01875088991446061,0.2999811352223078,0.9985500298772161,1.0,0.0,0.0
maize,full,trade_w=1.0,trade_w=1.0,0.45448050196140716,0.9072773219325332,1.2284218087698129,1.836259971402727,1.4418926403601735,PASS,FAIL,PASS,PASS,-0.2671461440932873,0.2999312430851516,1.0002793146269526,1.0,0.0,0.0
maize,shocks,trade_w=1.0,trade_w=1.0,-0.37314895983665497,0.763066732184319,1.0054890512136208,1.836259971402727,1.4418926403601735,PASS,FAIL,PASS,PASS,-0.2671461440932873,0.2999312430851516,1.0002793146269526,1.0,0.0,0.0
maize,full,trade_w=0.0,trade_w=0.0,0.4226734328856742,1.5701715036642838,1.6664301669369812,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.34303507811703926,0.30015355537967603,0.9925739572971025,1.0,0.0,0.0
maize,shocks,trade_w=0.0,trade_w=0.0,0.24572209198778736,1.1565158028830984,2.1286934144806384,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.34303507811703926,0.30015355537967603,0.9925739572971025,1.0,0.0,0.0
maize,full,ask_rival=0.0,ask_rival=0.0,0.4142311902200062,1.425011609818163,1.1056374373192008,1.836259971402727,1.4418926403601735,PASS,FAIL,PASS,PASS,-0.18746125212673992,0.2999682854488409,0.9989954080325475,1.0,0.0,0.0
maize,shocks,ask_rival=0.0,ask_rival=0.0,0.27125639641127436,1.1128294093387223,1.0100061964277562,1.836259971402727,1.4418926403601735,PASS,FAIL,PASS,PASS,-0.18746125212673992,0.2999682854488409,0.9989954080325475,1.0,0.0,0.0
maize,full,block_kappa=0.0,block_kappa=0.0,0.5718287128139442,1.6666409707752494,1.3796732665805502,1.836259971402727,1.4418926403601735,PASS,FAIL,PASS,PASS,-0.12182431858950449,0.2999511561621296,0.9995891168492191,1.0,0.0,0.0
maize,shocks,block_kappa=0.0,block_kappa=0.0,0.27125639641127436,1.1128294093387223,1.0100061964277562,1.836259971402727,1.4418926403601735,PASS,FAIL,PASS,PASS,-0.12182431858950449,0.2999511561621296,0.9995891168492191,1.0,0.0,0.0
maize,full,unmet_kappa=0.0,unmet_kappa=0.0,0.7803752325658119,2.048848126566062,1.4937539121885348,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.011185153262303738,0.29998112819482475,0.9985502734523309,1.0,0.0,0.0
maize,shocks,unmet_kappa=0.0,unmet_kappa=0.0,0.3038616039271029,1.1802141335150256,1.309964477335769,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.011185153262303738,0.29998112819482475,0.9985502734523309,1.0,0.0,0.0
maize,full,foresight_phi=0.0,foresight_phi=0.0,0.7813865896555319,2.2753058655345066,1.625627954241324,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01875088991446061,0.2999811352223078,0.9985500298772161,1.0,0.0,0.0
maize,shocks,foresight_phi=0.0,foresight_phi=0.0,0.36589614001418325,1.3249839330881963,1.0262765696239453,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01875088991446061,0.2999811352223078,0.9985500298772161,1.0,0.0,0.0
maize,full,foresight_phi=1.0,foresight_phi=1.0,0.7648541782637341,2.2247452503791068,1.5956045707357005,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01875088991446061,0.2999811352223078,0.9985500298772161,1.0,0.0,0.0
maize,shocks,foresight_phi=1.0,foresight_phi=1.0,0.37421580851584363,1.3325466280139577,1.0162703036103091,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01875088991446061,0.2999811352223078,0.9985500298772161,1.0,0.0,0.0
maize,full,ask_alpha=0.0,ask_alpha=0.0,0.599940962474573,2.424409478504091,1.0067375819536448,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.8392867467282406,0.3000644113693657,0.9956636626901539,1.0,0.0,0.0
maize,shocks,ask_alpha=0.0,ask_alpha=0.0,0.666229771370837,1.217967424956785,1.4852387142681152,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.8392867467282406,0.3000644113693657,0.9956636626901539,1.0,0.0,0.0
maize,full,rebuild_lambda=0.0,rebuild_lambda=0.0,0.5583814193862524,1.5988078600772575,1.5884239746751694,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01381564660472856,0.2999845038956781,1.003304876435635,1.0,0.0,0.0
maize,shocks,rebuild_lambda=0.0,rebuild_lambda=0.0,0.2727032586712525,1.2162837178264962,1.3173243658115046,1.836259971402727,1.4418926403601735,PASS,PASS,PASS,PASS,0.01381564660472856,0.2999845038956781,1.003304876435635,1.0,0.0,0.0
rice,full,baseline,-,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9241709191262906,0.5594150014908076,0.7870391599473431,1.0,0.0,0.0
rice,shocks,baseline,-,-0.11472000503282512,0.931929747921667,1.0625552638117364,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9241709191262906,0.5594150014908076,0.7870391599473431,1.0,0.0,0.0
rice,full,trade_w=1.0,trade_w=1.0,0.7506335470357091,2.326750607735307,0.9998549480409025,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,1.6306232802916445,0.5838723558003255,0.7469559007413227,1.0,0.0,0.0
rice,shocks,trade_w=1.0,trade_w=1.0,-0.5378779205101268,0.672199056414936,0.8097730405461954,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,1.6306232802916445,0.5838723558003255,0.7469559007413227,1.0,0.0,0.0
rice,full,trade_w=0.0,trade_w=0.0,0.24865080638882564,0.8382818872969193,0.4065598575608796,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.23873791351115914,0.5496813249590236,0.882794788657815,1.0,0.0,0.0
rice,shocks,trade_w=0.0,trade_w=0.0,-0.08741171492396935,0.8855860558148514,0.9793830813844332,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.23873791351115914,0.5496813249590236,0.882794788657815,1.0,0.0,0.0
rice,full,ask_rival=0.0,ask_rival=0.0,0.34185122446599775,1.0139820556042696,0.9109607989970506,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.21841300239074535,0.5292877571049435,0.9397200866688922,1.0,0.0,0.0
rice,shocks,ask_rival=0.0,ask_rival=0.0,-0.11472000503282512,0.931929747921667,1.0625552638117364,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.21841300239074535,0.5292877571049435,0.9397200866688922,1.0,0.0,0.0
rice,full,block_kappa=0.0,block_kappa=0.0,0.6883795886715365,1.3773978709208867,0.8308121042114173,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.6647766294840936,0.5491917960761814,0.8525003098090695,1.0,0.0,0.0
rice,shocks,block_kappa=0.0,block_kappa=0.0,-0.11472000503282512,0.931929747921667,1.0625552638117364,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.6647766294840936,0.5491917960761814,0.8525003098090695,1.0,0.0,0.0
rice,full,unmet_kappa=0.0,unmet_kappa=0.0,0.6771744825194739,1.7283987169276092,0.8204634566767923,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9216475212721202,0.5593784587507777,0.7877462310041932,1.0,0.0,0.0
rice,shocks,unmet_kappa=0.0,unmet_kappa=0.0,-0.11966882877972786,0.9383991886262083,1.0696615905534124,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9216475212721202,0.5593784587507777,0.7877462310041932,1.0,0.0,0.0
rice,full,foresight_phi=0.0,foresight_phi=0.0,0.6777655685314068,1.7272805095288242,0.8200327360065492,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9241709191262906,0.5594150014908076,0.7870391599473431,1.0,0.0,0.0
rice,shocks,foresight_phi=0.0,foresight_phi=0.0,-0.12796094839854386,0.9520920837341046,1.1135691150404006,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9241709191262906,0.5594150014908076,0.7870391599473431,1.0,0.0,0.0
rice,full,foresight_phi=1.0,foresight_phi=1.0,0.6773216090162648,1.7163488694771534,0.8204901308840465,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9241709191262906,0.5594150014908076,0.7870391599473431,1.0,0.0,0.0
rice,shocks,foresight_phi=1.0,foresight_phi=1.0,-0.09514038105187184,0.9126192553280273,1.027419776002981,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9241709191262906,0.5594150014908076,0.7870391599473431,1.0,0.0,0.0
rice,full,ask_alpha=0.0,ask_alpha=0.0,0.6438849394566021,1.8666894946481285,0.8129261333706872,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9702853526972719,0.5609698099343221,0.7647329781138132,1.0,0.0,0.0
rice,shocks,ask_alpha=0.0,ask_alpha=0.0,-0.1642971716099426,0.8979019595067675,1.0772242037587108,1.83714665456457,0.7931662874839874,PASS,PASS,PASS,PASS,0.9702853526972719,0.5609698099343221,0.7647329781138132,1.0,0.0,0.0
