crop,ask_rival,p_tau,p_base,lift,floor,passes
wheat,0.0,271.01103051810753,213.54633246527783,0.2690970965852262,0.05,True
wheat,0.1,275.42473887247843,213.54633246527783,0.28976571825349384,0.05,True
wheat,0.2,280.30151356396226,213.54633246527783,0.3126027983156239,0.05,True
wheat,0.3,286.67552393028217,213.54633246527783,0.3424511702953035,0.05,True
wheat,0.4,295.68975081568976,213.54633246527783,0.3846632129061185,0.05,True
wheat,0.5,305.4031053500754,213.54633246527783,0.4301491476082049,0.05,True
wheat,0.6,317.2112694859492,213.54633246527783,0.48544470805897366,0.05,True
wheat,0.7,333.4665202585546,213.54633246527783,0.5615651948167997,0.05,True
wheat,0.8,357.74395137010754,213.54633246527783,0.6752521443011714,0.05,True
wheat,1.0,423.31031116027754,213.54633246527783,0.9822879010535424,0.05,True
wheat,1.2,474.42788228428526,213.54633246527783,1.221662516079157,0.05,True
maize,0.0,110.05384077967463,135.44442165709597,-0.18746125212673992,0.0,False
maize,0.1,112.40624194678381,135.44442165709597,-0.17009323402508092,0.0,False
maize,0.2,114.94183325786999,135.44442165709597,-0.1513727043785701,0.0,False
maize,0.3,117.77084002616631,135.44442165709597,-0.13048585844069527,0.0,False
maize,0.4,120.98572644433257,135.44442165709597,-0.10675002363233843,0.0,False
maize,0.5,124.52781651712552,135.44442165709597,-0.080598410819812,0.0,False
maize,0.6,128.49966432493142,135.44442165709597,-0.051273852752286575,0.0,False
maize,0.7,132.9372966764308,135.44442165709597,-0.018510359821332756,0.0,False
maize,0.8,137.98412509711596,135.44442165709597,0.01875088991446061,0.0,True
maize,1.0,150.13701191998305,135.44442165709597,0.10847689467849952,0.0,True
maize,1.2,165.9068046020299,135.44442165709597,0.22490688484798138,0.0,True
rice,0.0,413.03071880839065,338.99073466710394,0.21841300239074535,0.05,True
rice,0.1,429.0385987630967,338.99073466710394,0.26563517785942325,0.05,True
rice,0.2,450.7654356734391,338.99073466710394,0.32972789393816404,0.05,True
rice,0.3,478.67026597524756,338.99073466710394,0.4120452774183101,0.05,True
rice,0.4,515.4120386027414,338.99073466710394,0.5204310498600704,0.05,True
rice,0.5,561.0626304478874,338.99073466710394,0.65509724328856,0.05,True
rice,0.6,606.5930846691514,338.99073466710394,0.7894090387598309,0.05,True
rice,0.7,635.0276933605733,338.99073466710394,0.8732892330646851,0.05,True
rice,0.8,652.2761134996979,338.99073466710394,0.9241709191262906,0.05,True
rice,1.0,667.4447844626545,338.99073466710394,0.9689174841846324,0.05,True
rice,1.2,675.8649766548841,338.99073466710394,0.9937564881193517,0.05,True
