Commodity,rice,rice,rice,rice
Attribute,Beginning Stocks TY,Domestic Consumption TY,Ending Stocks TY,Production TY
Country,World,World,World,World
1960,16084.0,154856.0,10305.0,149943.0
1961,10305.0,148168.0,8320.0,146289.0
1962,8320.0,148611.0,12328.0,154132.0
1963,12328.0,163703.0,16025.0,168112.0
1964,16025.0,177685.0,16980.0,179763.0
1965,16980.0,170241.0,17868.0,172082.0
1966,17868.0,176892.0,18333.0,178080.0
1967,18333.0,184400.0,21045.0,187851.0
1968,21045.0,189813.0,24256.0,193948.0
1969,24256.0,196814.0,26100.0,199963.0
1970,26100.0,208474.0,28494.0,211921.0
1971,28494.0,214474.0,28473.0,214674.0
1972,28473.0,211680.0,23907.0,207962.0
1973,23907.0,221170.0,28909.0,226337.0
1974,28909.0,225264.0,28490.0,224478.0
1975,28490.0,230911.0,39050.0,241727.0
1976,39050.0,233130.0,38473.0,234323.0
1977,38473.0,242552.0,44460.0,249197.0
1978,44460.0,250627.0,54524.0,260928.0
1979,54524.0,254686.0,53771.0,254835.0
1980,53771.0,268758.0,52267.0,268733.0
1981,52267.0,277072.0,50088.0,276838.0
1982,50088.0,276398.0,56411.0,283892.0
1983,56411.0,291182.0,69017.0,306029.0
1984,69017.0,296771.0,87407.0,315617.0
1985,87407.0,305216.0,97380.0,316653.0
1986,97380.0,306471.0,102938.0,314738.0
1987,102938.0,310472.0,104865.0,313807.0
1988,104865.0,321752.0,111286.0,330710.0
1989,111286.0,333835.0,120213.0,343910.0
1990,120213.0,342113.0,126210.0,349748.0
1991,126210.0,349131.0,126344.0,351780.0
1992,126344.0,353803.0,122887.0,352444.0
1993,122887.0,357493.0,118688.0,353316.0
1994,118688.0,361992.0,117316.0,362679.0
1995,117316.0,364815.0,117660.0,367350.0
1996,117660.0,373601.0,119760.0,378631.0
1997,119760.0,375392.0,127033.0,385571.0
1998,127033.0,386061.0,133231.0,393211.0
1999,133231.0,395113.0,142216.0,407527.0
2000,142216.0,391157.0,145821.0,397741.0
2001,145821.0,409515.0,132181.0,397879.0
2002,132181.0,402792.0,102130.0,376223.0
2003,102130.0,408234.0,81007.0,390628.0
2004,81007.0,403139.0,73746.0,399135.0
2005,73746.0,409534.0,76294.0,416295.0
2006,76294.0,415449.0,75193.0,418320.0
2007,75193.0,423794.0,80759.0,432304.0
2008,80759.0,432892.0,93496.0,448488.0
2009,93496.0,432237.0,95857.0,438859.0
2010,95857.0,440841.0,101085.0,449377.0
2011,101085.0,452063.0,111071.0,467581.0
2012,111071.0,459264.0,122022.0,474076.0
2013,122022.0,469229.0,127304.0,480053.0
2014,127304.0,470127.0,134954.0,481368.0
2015,134954.0,464396.0,142621.0,475640.0
2016,142621.0,475369.0,150520.0,490484.0
2017,150520.0,478431.0,163785.0,493339.0
2018,163785.0,482145.0,176940.0,496516.0
2019,176940.0,488821.0,182497.0,496817.0
2020,182497.0,495208.0,188647.0,507581.0
2021,188647.0,513101.0,183923.0,512501.0
2022,183923.0,519621.0,180078.0,515636.0
2023,180078.0,518133.0,179461.0,522604.0
2024,179461.0,523549.0,190227.0,539701.0
2025,190227.0,535041.0,189280.0,539385.0
