Commodity,wheat,wheat,wheat,wheat
Attribute,Beginning Stocks TY,Domestic Consumption TY,Ending Stocks TY,Production TY
Country,World,World,World,World
1960,70295.0,173708.0,72657.0,191320.0
1961,72750.0,178535.0,60290.0,180080.0
1962,60290.0,181126.0,63801.0,196410.0
1963,63801.0,178624.0,60688.0,186126.0
1964,60688.0,194604.0,69031.0,215298.0
1965,69031.0,218700.0,48975.0,207006.0
1966,48975.0,216392.0,77560.0,252718.0
1967,77560.0,220923.0,86339.0,235710.0
1968,86339.0,237409.0,109228.0,266861.0
1969,109228.0,255114.0,95321.0,249045.0
1970,95321.0,265052.0,73065.0,253969.0
1971,73065.0,270216.0,79323.0,281406.0
1972,79323.0,286221.0,66415.0,275018.0
1973,66415.0,288787.0,72161.0,303395.0
1974,72161.0,287081.0,67395.0,284478.0
1975,67395.0,286211.0,75612.0,293197.0
1976,75613.0,304969.0,115311.0,350624.0
1977,115311.0,333589.0,99789.0,316739.0
1978,99789.0,338832.0,122107.0,366796.0
1979,122107.0,362955.0,109337.0,350918.0
1980,109337.0,376821.0,99116.0,358000.0
1981,99116.0,376186.0,101072.0,373028.0
1982,101072.0,380934.0,116007.0,392354.0
1983,116007.0,391106.0,134885.0,402079.0
1984,134885.0,405931.0,148932.0,406351.0
1985,148932.0,406006.0,158657.0,404981.0
1986,158657.0,433285.0,170154.0,434060.0
1987,170154.0,453104.0,139398.0,408472.0
1988,139398.0,438667.0,118897.0,400901.0
1989,118897.0,450802.0,120840.0,435488.0
1990,120840.0,473064.0,150821.0,486637.0
1991,150821.0,473586.0,134850.0,436803.0
1992,136949.0,478452.0,154462.0,474949.0
1993,154462.0,476167.0,167123.0,475625.0
1994,167123.0,469625.0,152765.0,438580.0
1995,152765.0,466383.0,146407.0,451337.0
1996,146407.0,482194.0,153636.0,482780.0
1997,153636.0,493076.0,186026.0,515995.0
1998,186026.0,489297.0,193283.0,487410.0
1999,185283.0,466926.0,192420.0,464393.0
2000,192420.0,464639.0,188200.0,450084.0
2001,188200.0,467672.0,184905.0,459638.0
2002,184905.0,476477.0,150961.0,436536.0
2003,150961.0,465739.0,124946.0,444670.0
2004,124946.0,481792.0,129431.0,479335.0
2005,129431.0,488163.0,130598.0,486249.0
2006,130598.0,492917.0,119987.0,471164.0
2007,119987.0,497227.0,116370.0,490877.0
2008,116370.0,509148.0,150866.0,532340.0
2009,150866.0,525772.0,186681.0,547811.0
2010,186681.0,531548.0,186136.0,513633.0
2011,186136.0,564100.0,184558.0,560561.0
2012,184558.0,569089.0,166858.0,526861.0
2013,166858.0,574737.0,186747.0,573549.0
2014,186747.0,577739.0,208847.0,575204.0
2015,208847.0,584079.0,228290.0,578556.0
2016,231077.0,622093.0,254228.0,626283.0
2017,254228.0,626066.0,269400.0,623627.0
2018,269400.0,624954.0,268009.0,606769.0
2019,268009.0,631792.0,284747.0,620509.0
2020,284747.0,671767.0,274554.0,646075.0
2021,274554.0,679362.0,261642.0,642341.0
2022,261642.0,672943.0,258383.0,655983.0
2023,258383.0,687456.0,254256.0,656975.0
2024,254256.0,691669.0,248281.0,678660.0
2025,248281.0,705189.0,264038.0,698167.0
