crop,max_abs_dprice,max_rel_dprice,n_steps_bit_identical,n_steps,max_abs_dtrade,corr_shipped,corr_nodest,h0708_shipped,h0708_nodest,h1011_shipped,h1011_nodest
wheat,5.684341886080802e-14,1.5061043945156954e-16,141,144,2.220446049250313e-16,0.6871963698005548,0.6871963698005545,2.0865340987915837,2.0865340987915837,1.3141872908546148,1.3141872908546146
maize,1.1368683772161603e-13,4.745018330437351e-16,74,144,1.3583752178636388e-14,0.7921112767257183,0.7921112767257182,2.052576960050763,2.052576960050763,1.5152893790028268,1.5152893790028272
rice,5.684341886080802e-14,1.8433247947022513e-16,142,144,1.1102230246251565e-16,0.6757655371214288,0.6757655371214288,1.5434381597067155,1.5434381597067155,0.8445853735249157,0.8445853735249157
