crop,alloc,mp_alpha,mp_form,ask_rival,corr,h0708,h1011,obs_h0708,obs_h1011,markup_p95,markup_max,markup_min,twin_consistent
wheat,shipped,0.0,-,0.8,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,1.0,1.0,1.0,0.0
wheat,shipped,0.0,-,0.0,0.6851645834191433,1.526464631364933,1.520828077195657,1.82,1.16,1.0,1.0,1.0,0.0
wheat,shipped,3.2,exp,0.0,0.248525001950147,1.6225536594661847,1.1874590071048328,1.82,1.16,1.9005900948693082,4.0,0.25,0.0
wheat,shipped,3.2,exp,0.8,0.457631982529147,2.655940963012095,1.2469906337730166,1.82,1.16,1.9622412233097237,4.0,0.25,0.0
wheat,source,0.0,-,0.8,0.7275870580340043,2.2803563880141575,1.452580760137164,1.82,1.16,1.0,1.0,1.0,0.7044238875013775
wheat,source,0.0,-,0.0,0.6769393069220997,1.5141452489254124,1.5311053565611272,1.82,1.16,1.0,1.0,1.0,0.7044238875013775
wheat,source,3.2,exp,0.0,0.33624599894444857,1.4175504541944817,1.2116930448822405,1.82,1.16,2.0409096079359825,4.0,0.25,0.7044238875013775
wheat,source,3.2,exp,0.8,0.5659207254614357,2.362459245808196,1.2657695006550023,1.82,1.16,2.17379994606482,4.0,0.25,0.7044238875013775
wheat,agrimate,0.0,-,0.8,0.7446539145365513,2.3073315422651652,1.4534114129394018,1.82,1.16,1.0,1.0,1.0,1.5620825330467483
wheat,agrimate,0.0,-,0.0,0.7154302903840958,1.5469462480036589,1.5066292306511067,1.82,1.16,1.0,1.0,1.0,1.5620825330467483
wheat,agrimate,3.2,exp,0.0,0.4113075986240215,1.426175677707762,1.2106103167968794,1.82,1.16,2.019681307099771,4.0,0.25,1.5620825330467483
wheat,shipped,1.0,exp,0.0,0.47997477006962136,1.4504084409020317,1.438566783237977,1.82,1.16,1.2064057013271858,2.618707860065395,0.4772841656794137,0.0
wheat,source,1.0,exp,0.0,0.47642803015412166,1.4319332081445553,1.4657200520383036,1.82,1.16,1.209125818718158,2.618910594278706,0.47403773123823284,0.7044238875013775
maize,shipped,0.0,-,0.8,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,1.0,1.0,1.0,0.0
maize,shipped,0.0,-,0.0,0.4142311902200062,1.425011609818163,1.1056374373192008,1.84,1.44,1.0,1.0,1.0,0.0
maize,shipped,2.7,exp,0.0,0.30580688346379864,1.5400551533085332,1.6314989044924662,1.84,1.44,1.9458061953148746,4.0,0.25,0.0
maize,shipped,2.7,exp,0.8,0.3878135392725743,2.194370405990594,1.8621931309614768,1.84,1.44,1.9299892134019168,4.0,0.25,0.0
maize,source,0.0,-,0.8,0.7118846871136802,1.9668002467287127,1.6606297614979757,1.84,1.44,1.0,1.0,1.0,0.6466329611161541
maize,source,0.0,-,0.0,0.4071924741917055,1.4211247708820152,1.131939632060766,1.84,1.44,1.0,1.0,1.0,0.6466329611161541
maize,source,2.7,exp,0.0,0.28215057391561005,1.4647656761556207,1.7852264476187298,1.84,1.44,1.985959888850792,4.0,0.25,0.6466329611161541
