crop,mp_alpha,split_node,share_before,share_after,world_offers_rel_gap,max_abs_dprice,max_rel_dprice,mean_rel_dprice,p_mean_before,p_mean_after,d_corr,d_h0708,d_h1011
wheat,0.0,EU,0.14821676135089393,0.07410838067544696,0.0,1.1368683772161603e-13,3.8579958952977994e-16,9.26255690400298e-17,337.11874089113434,337.1187408911344,-2.220446049250313e-16,-8.881784197001252e-16,0.0
wheat,3.0,EU,0.15232258649467142,0.07583167600610177,-0.015791787643245736,26.826310037486166,0.08274786333156903,0.01914551173915019,397.7642276969382,392.9969992591435,-0.006261298250655689,-0.01936792821603106,0.0012651189277861352
maize,0.0,USA,0.4831335272960067,0.24156676364800334,-2.220446049250313e-16,1.4210854715202004e-13,7.274609573780535e-16,2.3099290739312266e-16,201.67888898563297,201.67888898563297,1.1102230246251565e-16,0.0,1.5543122344752192e-15
maize,3.0,USA,0.3889611299358942,0.22018969943777247,0.044551654980150124,106.57203871056015,0.5832511473089024,0.1268633714226272,205.87016850921054,208.60004513900563,0.11285282707619348,0.1717404398943807,0.12457290401428245
rice,0.0,China,0.08835939294200934,0.04417969647100467,-4.440892098500626e-16,3.979039320256561e-13,1.2903273562915758e-15,1.5293271788962957e-16,618.480385980775,618.480385980775,-1.1102230246251565e-16,-4.440892098500626e-16,-1.1102230246251565e-16
rice,3.0,China,0.08215417771754797,0.04118593789618867,0.004330088023336343,43.97651720424619,0.05286538916020638,0.008891577031979295,688.7107040581336,695.3043636343342,-0.0012213773515750148,-0.002989110651334226,-0.00020399079983723922
