crop,variant,biggest,cut_frac,cut_mmt,offers_conc,offers_spread,offers_rel_gap,p_base,p_conc,p_spread,lift_conc,lift_spread,conc_premium
wheat,shipped,EU,0.1,31.01354378859145,1535.6488710993674,1543.736711145722,-0.005239131769012604,192.48267469188204,200.1025870166549,204.50616456905755,0.039587523069130715,0.06246530965149044,-0.02153273746873119
wheat,shipped,EU,0.25,77.53385947147862,1507.07594102154,1524.9359011835293,-0.011711941563004561,192.48267469188204,212.03359946675104,223.59961507848593,0.10157238726116669,0.16166099331492845,-0.05172645582451063
wheat,shipped,EU,0.5,155.06771894295724,1453.6375340104555,1489.9427965844761,-0.024366883518780916,192.48267469188204,233.8201712596576,259.3562260563676,0.21475957061562467,0.34742634095008196,-0.09845938609223925
maize,shipped,USA,0.1,200.62133081062822,3072.1765452117,3080.331277998601,-0.0026473557714867314,105.32583866687905,128.61083249424078,129.1035492007851,0.22107579794362442,0.22575382104584407,-0.0038164458653110467
maize,shipped,USA,0.25,501.5533270265705,3017.304997133321,3029.05076297235,-0.0038777051816401694,105.32583866687905,180.75597630557013,183.76581417018835,0.7161598577653763,0.7447363011406589,-0.01637866040650393
maize,shipped,USA,0.5,1003.106654053141,2823.3210297420937,2793.4952507765606,0.010676867611370338,105.32583866687905,292.79792096238106,299.00303287347623,1.7799248946731132,1.8388383767743144,-0.020752672143365403
rice,shipped,China,0.1,14.983966901986918,285.39141918430386,302.5644278909938,-0.056758188087057355,337.19787829687147,341.14749908004234,376.16536433178135,0.011713065346436125,0.11556266673956528,-0.09309167874598079
rice,shipped,China,0.25,37.459917254967294,266.32075038906146,304.3153366013438,-0.12485268286709993,337.19787829687147,347.3565319278194,444.2396631678037,0.030126683128190335,0.3174450130338362,-0.2180875308366791
rice,shipped,China,0.5,74.91983450993459,233.52812406576697,297.9567876869607,-0.21623492494114196,337.19787829687147,358.4955850409595,596.0980157346256,0.06316085632465751,0.7677988329743184,-0.39859624494949397
