crop,d_price,d_stock,d_trade,d_exp,corr,h0708,h1011,ref_corr,ref_h0708,ref_h1011,d_corr,d_h0708,d_h1011
wheat,30.968992631447236,1.5351047168337715,0.24055864271484256,0.2611525869719984,0.7276078137259876,2.2836110438142887,1.4529876249647522,0.728,2.28,1.45,-0.00039218627401238493,0.0036110438142888945,0.0029876249647522446
maize,17.08639755460581,2.0878496693813418,0.5951632272461009,0.7966257220856938,0.7780537067430627,2.2029163727926697,1.5921039407895334,0.778,2.2,1.59,5.370674306270917e-05,0.0029163727926695415,0.002103940789533354
rice,110.31250551690493,1.5935480351265543,0.20994633576332367,0.24948594943756053,0.6783563866631985,1.721259593314591,0.8205200939912837,0.678,1.72,0.82,0.00035638666319848245,0.0012595933145911342,0.000520093991283721
