crop,window,corr,h0708,h1011,L1_share_dist_0607_vs_1011
wheat,2006-2007,0.6871963698005548,2.0865340987915837,1.3141872908546148,0.2857874775061407
wheat,2010-2011,0.6792342657477587,1.9782429786979498,1.5474909153946343,0.2857874775061407
wheat,2019-2021,0.7846730751962796,2.694494147426606,1.8036553566067526,0.2857874775061407
maize,2006-2007,0.7921112767257183,2.052576960050763,1.5152893790028268,0.44695755646936897
maize,2010-2011,0.8015787950553737,2.2113198537511276,1.6550927424160071,0.44695755646936897
maize,2019-2021,0.7323641646122925,2.3606425888815443,1.3607252061092656,0.44695755646936897
rice,2006-2007,0.6757655371214288,1.5434381597067155,0.8445853735249157,0.3184290447292896
rice,2010-2011,0.6910101464525634,1.5894303154291358,0.8427278482897225,0.3184290447292896
rice,2019-2021,0.7186202553389407,1.615293291050544,0.8531234507226632,0.3184290447292896
